NodeId;X;Y;Z;TagId;Range;TimeStamp
mobilepub;4.00;4.00;0.00;1127;3.67;1706703709.9709914
mobilepub;0.00;4.00;0.00;C02A;4.30;1706703709.9710867
mobilepub;2.00;8.00;0.00;120F;7.07;1706703709.9711194
mobilepub;4.00;4.00;0.00;1127;3.61;1706703710.0709841
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703710.0710838
mobilepub;2.00;8.00;0.00;120F;7.35;1706703710.0711188
mobilepub;4.00;4.00;0.00;1127;3.63;1706703710.170991
mobilepub;0.00;4.00;0.00;C02A;4.26;1706703710.1710894
mobilepub;2.00;8.00;0.00;120F;7.06;1706703710.1711116
mobilepub;4.00;4.00;0.00;1127;3.66;1706703710.2709854
mobilepub;0.00;4.00;0.00;C02A;4.24;1706703710.2710798
mobilepub;2.00;8.00;0.00;120F;6.99;1706703710.2710984
mobilepub;4.00;4.00;0.00;1127;3.65;1706703710.37099
mobilepub;0.00;4.00;0.00;C02A;4.24;1706703710.3710876
mobilepub;2.00;8.00;0.00;120F;7.18;1706703710.3711178
mobilepub;4.00;4.00;0.00;1127;3.66;1706703710.4709845
mobilepub;0.00;4.00;0.00;C02A;4.25;1706703710.4710948
mobilepub;2.00;8.00;0.00;120F;7.36;1706703710.471122
mobilepub;4.00;4.00;0.00;1127;3.61;1706703710.5688896
mobilepub;0.00;4.00;0.00;C02A;4.27;1706703710.568987
mobilepub;2.00;8.00;0.00;120F;7.47;1706703710.5690162
mobilepub;0.00;4.00;0.00;C02A;4.27;1706703710.6709847
mobilepub;4.00;4.00;0.00;1127;3.62;1706703710.6710892
mobilepub;2.00;8.00;0.00;120F;7.35;1706703710.6711178
mobilepub;4.00;4.00;0.00;1127;3.68;1706703710.77099
mobilepub;0.00;4.00;0.00;C02A;4.26;1706703710.7710874
mobilepub;2.00;8.00;0.00;120F;7.02;1706703710.7711227
mobilepub;4.00;4.00;0.00;1127;3.66;1706703710.870987
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703710.8710895
mobilepub;2.00;8.00;0.00;120F;7.05;1706703710.8711112
mobilepub;4.00;4.00;0.00;1127;3.65;1706703710.9709907
mobilepub;0.00;4.00;0.00;C02A;4.24;1706703710.9710872
mobilepub;2.00;8.00;0.00;120F;7.06;1706703710.9711173
mobilepub;4.00;4.00;0.00;1127;3.63;1706703711.070984
mobilepub;0.00;4.00;0.00;C02A;4.26;1706703711.0710804
mobilepub;2.00;8.00;0.00;120F;7.02;1706703711.0710993
mobilepub;4.00;4.00;0.00;1127;3.62;1706703711.170989
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703711.171082
mobilepub;2.00;8.00;0.00;120F;7.00;1706703711.171103
mobilepub;4.00;4.00;0.00;1127;3.65;1706703711.2709846
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703711.271084
mobilepub;2.00;8.00;0.00;120F;7.08;1706703711.2711103
mobilepub;4.00;4.00;0.00;1127;3.63;1706703711.3709915
mobilepub;0.00;4.00;0.00;C02A;4.23;1706703711.3710938
mobilepub;2.00;8.00;0.00;120F;7.00;1706703711.3711452
mobilepub;4.00;4.00;0.00;1127;3.64;1706703711.4709847
mobilepub;0.00;4.00;0.00;C02A;4.26;1706703711.4710786
mobilepub;2.00;8.00;0.00;120F;7.39;1706703711.471111
mobilepub;4.00;4.00;0.00;1127;3.62;1706703711.5709903
mobilepub;0.00;4.00;0.00;C02A;4.25;1706703711.5711033
mobilepub;2.00;8.00;0.00;120F;7.17;1706703711.571137
mobilepub;4.00;4.00;0.00;1127;3.67;1706703711.6713142
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703711.6714158
mobilepub;2.00;8.00;0.00;120F;7.42;1706703711.671438
mobilepub;4.00;4.00;0.00;1127;3.65;1706703711.77099
mobilepub;0.00;4.00;0.00;C02A;4.25;1706703711.7710853
mobilepub;2.00;8.00;0.00;120F;7.12;1706703711.7711048
mobilepub;4.00;4.00;0.00;1127;3.64;1706703711.8710506
mobilepub;0.00;4.00;0.00;C02A;4.23;1706703711.8711479
mobilepub;2.00;8.00;0.00;120F;7.05;1706703711.8711827
mobilepub;4.00;4.00;0.00;1127;3.61;1706703711.9709895
mobilepub;0.00;4.00;0.00;C02A;4.19;1706703711.971081
mobilepub;2.00;8.00;0.00;120F;6.98;1706703711.971102
mobilepub;4.00;4.00;0.00;1127;3.64;1706703712.070985
mobilepub;0.00;4.00;0.00;C02A;4.24;1706703712.0710845
mobilepub;2.00;8.00;0.00;120F;7.09;1706703712.0711062
mobilepub;4.00;4.00;0.00;1127;3.67;1706703712.1709988
mobilepub;0.00;4.00;0.00;C02A;4.27;1706703712.171095
mobilepub;2.00;8.00;0.00;120F;7.06;1706703712.171129
mobilepub;4.00;4.00;0.00;1127;3.61;1706703712.2690487
mobilepub;0.00;4.00;0.00;C02A;4.23;1706703712.269148
mobilepub;2.00;8.00;0.00;120F;7.46;1706703712.269171
mobilepub;0.00;4.00;0.00;C02A;4.23;1706703712.3709908
mobilepub;4.00;4.00;0.00;1127;3.63;1706703712.3710907
mobilepub;2.00;8.00;0.00;120F;6.97;1706703712.3711097
mobilepub;4.00;4.00;0.00;1127;3.64;1706703712.4709857
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703712.4710882
mobilepub;2.00;8.00;0.00;120F;6.97;1706703712.471124
mobilepub;4.00;4.00;0.00;1127;3.64;1706703712.5709896
mobilepub;0.00;4.00;0.00;C02A;4.23;1706703712.5710878
mobilepub;2.00;8.00;0.00;120F;7.05;1706703712.5711076
mobilepub;4.00;4.00;0.00;1127;3.66;1706703712.670985
mobilepub;0.00;4.00;0.00;C02A;4.27;1706703712.671083
mobilepub;2.00;8.00;0.00;120F;7.14;1706703712.6711156
mobilepub;4.00;4.00;0.00;1127;3.63;1706703712.770998
mobilepub;0.00;4.00;0.00;C02A;4.26;1706703712.771094
mobilepub;2.00;8.00;0.00;120F;7.14;1706703712.771127
mobilepub;4.00;4.00;0.00;1127;3.64;1706703712.8709853
mobilepub;0.00;4.00;0.00;C02A;4.23;1706703712.871083
mobilepub;2.00;8.00;0.00;120F;7.03;1706703712.8711157
mobilepub;4.00;4.00;0.00;1127;3.62;1706703712.97099
mobilepub;0.00;4.00;0.00;C02A;4.20;1706703712.971101
mobilepub;2.00;8.00;0.00;120F;6.98;1706703712.971125
mobilepub;4.00;4.00;0.00;1127;3.66;1706703713.0685396
mobilepub;0.00;4.00;0.00;C02A;4.23;1706703713.068644
mobilepub;2.00;8.00;0.00;120F;7.46;1706703713.0686784
mobilepub;0.00;4.00;0.00;C02A;4.27;1706703713.1709895
mobilepub;4.00;4.00;0.00;1127;3.65;1706703713.1711001
mobilepub;2.00;8.00;0.00;120F;7.12;1706703713.1711226
mobilepub;4.00;4.00;0.00;1127;3.65;1706703713.2694757
mobilepub;0.00;4.00;0.00;C02A;4.24;1706703713.2695758
mobilepub;2.00;8.00;0.00;120F;7.54;1706703713.2695994
mobilepub;0.00;4.00;0.00;C02A;4.23;1706703713.3709888
mobilepub;4.00;4.00;0.00;1127;3.61;1706703713.3710825
mobilepub;2.00;8.00;0.00;120F;7.16;1706703713.3711045
mobilepub;4.00;4.00;0.00;1127;3.64;1706703713.4717925
mobilepub;0.00;4.00;0.00;C02A;4.25;1706703713.4719865
mobilepub;2.00;8.00;0.00;120F;7.43;1706703713.4720516
mobilepub;4.00;4.00;0.00;1127;3.65;1706703713.5715654
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703713.5716686
mobilepub;2.00;8.00;0.00;120F;7.42;1706703713.5716915
mobilepub;4.00;4.00;0.00;1127;3.63;1706703713.671015
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703713.671208
mobilepub;2.00;8.00;0.00;120F;7.16;1706703713.6712723
mobilepub;4.00;4.00;0.00;1127;3.60;1706703713.7709916
mobilepub;0.00;4.00;0.00;C02A;4.29;1706703713.771109
mobilepub;2.00;8.00;0.00;120F;7.08;1706703713.7711313
mobilepub;4.00;4.00;0.00;1127;3.62;1706703713.870994
mobilepub;0.00;4.00;0.00;C02A;4.24;1706703713.8711174
mobilepub;2.00;8.00;0.00;120F;7.08;1706703713.871154
mobilepub;4.00;4.00;0.00;1127;3.62;1706703713.9710226
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703713.9712222
mobilepub;2.00;8.00;0.00;120F;7.13;1706703713.9712944
mobilepub;4.00;4.00;0.00;1127;3.64;1706703714.0712962
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703714.0714793
mobilepub;2.00;8.00;0.00;120F;7.08;1706703714.071626
mobilepub;4.00;4.00;0.00;1127;3.65;1706703714.1710556
mobilepub;0.00;4.00;0.00;C02A;4.26;1706703714.1711626
mobilepub;2.00;8.00;0.00;120F;7.02;1706703714.1712039
mobilepub;4.00;4.00;0.00;1127;3.64;1706703714.2709858
mobilepub;0.00;4.00;0.00;C02A;4.19;1706703714.2710803
mobilepub;2.00;8.00;0.00;120F;7.04;1706703714.271099
mobilepub;4.00;4.00;0.00;1127;3.65;1706703714.3709884
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703714.3710883
mobilepub;2.00;8.00;0.00;120F;7.09;1706703714.371117
mobilepub;4.00;4.00;0.00;1127;3.65;1706703714.4709833
mobilepub;0.00;4.00;0.00;C02A;4.23;1706703714.4710817
mobilepub;2.00;8.00;0.00;120F;7.02;1706703714.4711154
mobilepub;4.00;4.00;0.00;1127;3.66;1706703714.5709896
mobilepub;0.00;4.00;0.00;C02A;4.28;1706703714.5710902
mobilepub;2.00;8.00;0.00;120F;7.12;1706703714.5711234
mobilepub;4.00;4.00;0.00;1127;3.66;1706703714.6709852
mobilepub;0.00;4.00;0.00;C02A;4.25;1706703714.6710944
mobilepub;2.00;8.00;0.00;120F;7.17;1706703714.671113
mobilepub;4.00;4.00;0.00;1127;3.67;1706703714.7709904
mobilepub;0.00;4.00;0.00;C02A;4.23;1706703714.7710865
mobilepub;2.00;8.00;0.00;120F;7.11;1706703714.771123
mobilepub;4.00;4.00;0.00;1127;3.64;1706703714.8709855
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703714.8710952
mobilepub;2.00;8.00;0.00;120F;6.98;1706703714.87112
mobilepub;4.00;4.00;0.00;1127;3.68;1706703714.9709888
mobilepub;0.00;4.00;0.00;C02A;4.22;1706703714.9710839
mobilepub;2.00;8.00;0.00;120F;7.13;1706703714.971125
mobilepub;4.00;4.00;0.00;1127;3.64;1706703715.0709844
