P5;Erro
5.8;0.1203
5.8;0.1203
5.77;0.150300000000001
5.8;0.1203
5.84;0.0803
5.82;0.1003
5.81;0.1103
5.82;0.1003
5.84;0.0803
5.84;0.0803
5.83;0.0903
5.83;0.0903
5.84;0.0803
5.83;0.0903
5.78;0.1403
5.82;0.1003
5.78;0.1403
5.79;0.1303
5.79;0.1303
5.8;0.1203
5.8;0.1203
5.78;0.1403
5.84;0.0803
5.83;0.0903
5.81;0.1103
5.78;0.1403
5.79;0.1303
5.76;0.1603
5.81;0.1103
5.82;0.1003
5.78;0.1403
5.8;0.1203
5.85;0.070300000000001
5.84;0.0803
5.82;0.1003
5.84;0.0803
5.83;0.0903
5.83;0.0903
5.86;0.0603
5.82;0.1003
5.84;0.0803
5.79;0.1303
5.87;0.0503
5.79;0.1303
5.85;0.070300000000001
5.83;0.0903
5.81;0.1103
5.84;0.0803
5.85;0.070300000000001
5.87;0.0503
5.86;0.0603
5.82;0.1003
5.89;0.030300000000001
5.86;0.0603
5.85;0.070300000000001
5.81;0.1103
5.89;0.030300000000001
5.8;0.1203
5.82;0.1003
5.86;0.0603
5.86;0.0603
5.82;0.1003
5.84;0.0803
5.82;0.1003
5.79;0.1303
5.82;0.1003
5.85;0.070300000000001
5.81;0.1103
5.87;0.0503
5.86;0.0603
5.86;0.0603
5.82;0.1003
5.83;0.0903
5.83;0.0903
5.85;0.070300000000001
5.78;0.1403
5.84;0.0803
5.88;0.0403
5.85;0.070300000000001
5.87;0.0503
5.8;0.1203
5.85;0.070300000000001
5.82;0.1003
5.87;0.0503
5.83;0.0903
5.87;0.0503
5.85;0.070300000000001
5.87;0.0503
5.88;0.0403
5.87;0.0503
5.83;0.0903
5.82;0.1003
5.83;0.0903
5.81;0.1103
5.84;0.0803
5.87;0.0503
5.87;0.0503
5.83;0.0903
5.87;0.0503
5.81;0.1103
5.82;0.1003
5.81;0.1103
5.87;0.0503
5.8;0.1203
5.83;0.0903
5.86;0.0603
5.81;0.1103
5.82;0.1003
5.86;0.0603
5.84;0.0803
5.84;0.0803
5.88;0.0403
5.85;0.070300000000001
5.82;0.1003
5.85;0.070300000000001
5.81;0.1103
5.82;0.1003
5.83;0.0903
5.82;0.1003
5.82;0.1003
5.84;0.0803
5.8;0.1203
5.83;0.0903
5.84;0.0803
5.78;0.1403
5.85;0.070300000000001
5.84;0.0803
5.83;0.0903
5.86;0.0603
5.84;0.0803
5.84;0.0803
5.92;0.0003
5.85;0.070300000000001
5.88;0.0403
5.85;0.070300000000001
5.91;0.0103
5.89;0.030300000000001
5.88;0.0403
5.91;0.0103
5.86;0.0603
