NodeId;X;Y;Z;TagId;Range;TimeStamp
mobilepub;0.00;4.00;0.00;C02A;3.18;1706703310.2695544
mobilepub;4.00;4.00;0.00;1127;4.22;1706703310.2696483
mobilepub;2.00;8.00;0.00;120F;7.06;1706703310.269682
mobilepub;0.00;4.00;0.00;C02A;3.16;1706703310.3695815
mobilepub;4.00;4.00;0.00;1127;4.21;1706703310.3696916
mobilepub;2.00;8.00;0.00;120F;7.03;1706703310.369721
mobilepub;0.00;4.00;0.00;C02A;3.19;1706703310.4695435
mobilepub;4.00;4.00;0.00;1127;4.15;1706703310.469637
mobilepub;2.00;8.00;0.00;120F;6.98;1706703310.469656
mobilepub;0.00;4.00;0.00;C02A;3.20;1706703310.5695508
mobilepub;4.00;4.00;0.00;1127;4.16;1706703310.5696661
mobilepub;2.00;8.00;0.00;120F;6.99;1706703310.5697048
mobilepub;0.00;4.00;0.00;C02A;3.18;1706703310.669564
mobilepub;4.00;4.00;0.00;1127;4.18;1706703310.6696622
mobilepub;2.00;8.00;0.00;120F;6.97;1706703310.6696942
mobilepub;0.00;4.00;0.00;C02A;3.13;1706703310.76955
mobilepub;4.00;4.00;0.00;1127;4.20;1706703310.7696517
mobilepub;2.00;8.00;0.00;120F;6.98;1706703310.7696788
mobilepub;0.00;4.00;0.00;C02A;3.12;1706703310.8700128
mobilepub;4.00;4.00;0.00;1127;4.12;1706703310.8701057
mobilepub;2.00;8.00;0.00;120F;7.00;1706703310.8701391
mobilepub;0.00;4.00;0.00;C02A;3.12;1706703310.9699743
mobilepub;4.00;4.00;0.00;1127;4.17;1706703310.9700856
mobilepub;2.00;8.00;0.00;120F;7.04;1706703310.9701273
mobilepub;0.00;4.00;0.00;C02A;3.15;1706703311.0695503
mobilepub;4.00;4.00;0.00;1127;4.13;1706703311.06967
mobilepub;2.00;8.00;0.00;120F;6.92;1706703311.069728
mobilepub;0.00;4.00;0.00;C02A;3.17;1706703311.1697552
mobilepub;4.00;4.00;0.00;1127;4.17;1706703311.169863
mobilepub;2.00;8.00;0.00;120F;6.93;1706703311.1699052
mobilepub;0.00;4.00;0.00;C02A;3.15;1706703311.269546
mobilepub;4.00;4.00;0.00;1127;4.19;1706703311.2696445
mobilepub;2.00;8.00;0.00;120F;6.92;1706703311.2696674
mobilepub;0.00;4.00;0.00;C02A;3.16;1706703311.3695524
mobilepub;4.00;4.00;0.00;1127;4.23;1706703311.3696449
mobilepub;2.00;8.00;0.00;120F;6.97;1706703311.369664
mobilepub;0.00;4.00;0.00;C02A;3.18;1706703311.4695625
mobilepub;4.00;4.00;0.00;1127;4.22;1706703311.4696586
mobilepub;2.00;8.00;0.00;120F;6.84;1706703311.46969
mobilepub;0.00;4.00;0.00;C02A;3.19;1706703311.5695584
mobilepub;4.00;4.00;0.00;1127;4.18;1706703311.5696511
mobilepub;2.00;8.00;0.00;120F;6.84;1706703311.569684
mobilepub;0.00;4.00;0.00;C02A;3.14;1706703311.6695755
mobilepub;4.00;4.00;0.00;1127;4.16;1706703311.6696837
mobilepub;2.00;8.00;0.00;120F;6.89;1706703311.6697023
mobilepub;0.00;4.00;0.00;C02A;3.17;1706703311.7695684
mobilepub;4.00;4.00;0.00;1127;4.18;1706703311.7696674
mobilepub;2.00;8.00;0.00;120F;6.96;1706703311.7696946
mobilepub;0.00;4.00;0.00;C02A;3.16;1706703311.8695683
mobilepub;4.00;4.00;0.00;1127;4.16;1706703311.8696659
mobilepub;2.00;8.00;0.00;120F;6.82;1706703311.869685
mobilepub;0.00;4.00;0.00;C02A;3.14;1706703311.9695446
mobilepub;4.00;4.00;0.00;1127;4.14;1706703311.969639
mobilepub;2.00;8.00;0.00;120F;6.95;1706703311.9696596
mobilepub;0.00;4.00;0.00;C02A;3.12;1706703312.0695448
mobilepub;4.00;4.00;0.00;1127;4.22;1706703312.0696557
mobilepub;2.00;8.00;0.00;120F;6.86;1706703312.0696852
mobilepub;0.00;4.00;0.00;C02A;3.14;1706703312.1695755
mobilepub;4.00;4.00;0.00;1127;4.18;1706703312.1696844
mobilepub;2.00;8.00;0.00;120F;6.82;1706703312.1697078
mobilepub;0.00;4.00;0.00;C02A;3.11;1706703312.2695544
mobilepub;4.00;4.00;0.00;1127;4.16;1706703312.2696543
mobilepub;2.00;8.00;0.00;120F;6.88;1706703312.2696736
mobilepub;0.00;4.00;0.00;C02A;3.17;1706703312.369609
mobilepub;4.00;4.00;0.00;1127;4.21;1706703312.3697026
mobilepub;2.00;8.00;0.00;120F;6.95;1706703312.369723
mobilepub;0.00;4.00;0.00;C02A;3.13;1706703312.469547
mobilepub;4.00;4.00;0.00;1127;4.13;1706703312.4696426
mobilepub;2.00;8.00;0.00;120F;6.97;1706703312.4696696
mobilepub;0.00;4.00;0.00;C02A;3.17;1706703312.5695527
mobilepub;4.00;4.00;0.00;1127;4.20;1706703312.5696564
mobilepub;2.00;8.00;0.00;120F;6.94;1706703312.569684
mobilepub;0.00;4.00;0.00;C02A;3.13;1706703312.6695697
mobilepub;4.00;4.00;0.00;1127;4.16;1706703312.6696677
mobilepub;2.00;8.00;0.00;120F;6.90;1706703312.6696894
mobilepub;0.00;4.00;0.00;C02A;3.16;1706703312.769584
mobilepub;4.00;4.00;0.00;1127;4.16;1706703312.7696788
mobilepub;2.00;8.00;0.00;120F;6.83;1706703312.769703
mobilepub;0.00;4.00;0.00;C02A;3.14;1706703312.869547
mobilepub;4.00;4.00;0.00;1127;4.17;1706703312.8696415
mobilepub;2.00;8.00;0.00;120F;6.90;1706703312.8696735
mobilepub;0.00;4.00;0.00;C02A;3.15;1706703312.969555
mobilepub;4.00;4.00;0.00;1127;4.20;1706703312.9696515
mobilepub;2.00;8.00;0.00;120F;6.92;1706703312.9696908
mobilepub;0.00;4.00;0.00;C02A;3.16;1706703313.0695274
mobilepub;4.00;4.00;0.00;1127;4.16;1706703313.0696244
mobilepub;2.00;8.00;0.00;120F;6.83;1706703313.0696447
mobilepub;0.00;4.00;0.00;C02A;3.12;1706703313.1695504
mobilepub;4.00;4.00;0.00;1127;4.15;1706703313.169648
mobilepub;2.00;8.00;0.00;120F;6.94;1706703313.1696815
mobilepub;0.00;4.00;0.00;C02A;3.16;1706703313.2698536
mobilepub;4.00;4.00;0.00;1127;4.21;1706703313.2699585
mobilepub;2.00;8.00;0.00;120F;6.82;1706703313.2699978
