ID,Range,Timestamp
D62A,4.21,1693530435243 
D62A,4.22,1693530435275 
D62A,4.21,1693530435375 
D62A,4.21,1693530435476 
D62A,4.19,1693530435575 
D62A,4.24,1693530435675 
D62A,4.22,1693530435775 
D62A,4.18,1693530435875 
D62A,4.22,1693530435975 
D62A,4.18,1693530436075 
D62A,4.22,1693530436175 
D62A,4.19,1693530436275 
D62A,4.18,1693530436375 
D62A,4.18,1693530436475 
D62A,4.23,1693530436575 
D62A,4.22,1693530436676 
D62A,4.22,1693530436776 
D62A,4.21,1693530436876 
D62A,4.20,1693530436976 
D62A,4.22,1693530437076 
D62A,4.18,1693530437176 
D62A,4.22,1693530437276 
D62A,4.16,1693530437376 
D62A,4.20,1693530437476 
D62A,4.22,1693530437576 
D62A,4.22,1693530437676 
D62A,4.19,1693530437776 
D62A,4.18,1693530437876 
D62A,4.20,1693530437976 
D62A,4.23,1693530438076 
D62A,4.22,1693530438176 
D62A,4.22,1693530438276 
D62A,4.19,1693530438376 
D62A,4.16,1693530438476 
D62A,4.21,1693530438576 
D62A,4.23,1693530438676 
D62A,4.25,1693530438776 
D62A,4.18,1693530438876 
D62A,4.22,1693530438976 
D62A,4.19,1693530439076 
D62A,4.19,1693530439176 
D62A,4.23,1693530439276 
D62A,4.20,1693530439376 
D62A,4.24,1693530439476 
D62A,4.21,1693530439576 
D62A,4.21,1693530439676 
D62A,4.21,1693530439776 
D62A,4.21,1693530439876 
D62A,4.22,1693530439976 
D62A,4.22,1693530440076 
D62A,4.22,1693530440176 
D62A,4.16,1693530440276 
D62A,4.22,1693530440376 
D62A,4.20,1693530440476 
D62A,4.24,1693530440576 
D62A,4.23,1693530440676 
D62A,4.21,1693530440776 
D62A,4.19,1693530440876 
D62A,4.22,1693530440976 
D62A,4.22,1693530441076 
D62A,4.24,1693530441176 
D62A,4.19,1693530441276 
D62A,4.20,1693530441376 
D62A,4.22,1693530441476 
D62A,4.16,1693530441576 
D62A,4.17,1693530441676 
D62A,4.21,1693530441776 
D62A,4.20,1693530441876 
D62A,4.23,1693530441976 
D62A,4.18,1693530442076 
D62A,4.16,1693530442176 
D62A,4.22,1693530442276 
D62A,4.16,1693530442376 
D62A,4.18,1693530442476 
D62A,4.23,1693530442576 
D62A,4.19,1693530442676 
D62A,4.22,1693530442776 
D62A,4.20,1693530442876 
D62A,4.23,1693530442976 
D62A,4.22,1693530443076 
D62A,4.22,1693530443176 
D62A,4.18,1693530443276 
D62A,4.15,1693530443376 
D62A,4.22,1693530443476 
D62A,4.22,1693530443576 
D62A,4.21,1693530443676 
D62A,4.16,1693530443776 
D62A,4.22,1693530443876 
D62A,4.19,1693530443976 
D62A,4.22,1693530444076 
D62A,4.19,1693530444176 
D62A,4.23,1693530444276 
D62A,4.22,1693530444376 
D62A,4.23,1693530444476 
D62A,4.16,1693530444576 
D62A,4.21,1693530444676 
D62A,4.20,1693530444776 
D62A,4.21,1693530444876 
D62A,4.19,1693530444976 
D62A,4.16,1693530445076 
D62A,4.20,1693530445176 
D62A,4.18,1693530445276 
D62A,4.23,1693530445376 
D62A,4.20,1693530445476 
D62A,4.22,1693530445576 
D62A,4.19,1693530445676 
D62A,4.19,1693530445776 
D62A,4.25,1693530445876 
D62A,4.17,1693530445976 
D62A,4.24,1693530446076 
D62A,4.21,1693530446176 
D62A,4.21,1693530446276 
D62A,4.21,1693530446376 
D62A,4.20,1693530446476 
D62A,4.18,1693530446576 
D62A,4.20,1693530446676 
D62A,4.21,1693530446776 
D62A,4.19,1693530446876 
D62A,4.16,1693530446976 
D62A,4.19,1693530447076 
D62A,4.20,1693530447176 
D62A,4.16,1693530447276 
D62A,4.19,1693530447376 
D62A,4.17,1693530447476 
D62A,4.22,1693530447576 
D62A,4.19,1693530447676 
D62A,4.21,1693530447776 
D62A,4.20,1693530447876 
D62A,4.20,1693530447976 
D62A,4.16,1693530448076 
D62A,4.14,1693530448176 
D62A,4.26,1693530448276 
D62A,4.16,1693530448376 
D62A,4.21,1693530448476 
D62A,4.17,1693530448576 
D62A,4.22,1693530448676 
D62A,4.19,1693530448776 
D62A,4.22,1693530448876 
D62A,4.23,1693530448976 
D62A,4.22,1693530449076 
D62A,4.22,1693530449176 
D62A,4.17,1693530449276 
D62A,4.19,1693530449376 
D62A,4.20,1693530449476 
D62A,4.20,1693530449576 
D62A,4.21,1693530449676 
D62A,4.21,1693530449776 
D62A,4.20,1693530449876 
D62A,4.15,1693530449976 
D62A,4.14,1693530450076 
D62A,4.22,1693530450176 
D62A,4.19,1693530450276 
D62A,4.21,1693530450376 
D62A,4.24,1693530450476 
D62A,4.22,1693530450576 
D62A,4.18,1693530450676 
D62A,4.16,1693530450776 
D62A,4.22,1693530450876 
D62A,4.18,1693530450976 
D62A,4.22,1693530451076 
D62A,4.21,1693530451176 
D62A,4.21,1693530451276 
D62A,4.23,1693530451376 
D62A,4.21,1693530451476 
D62A,4.22,1693530451576 
D62A,4.19,1693530451676 
D62A,4.19,1693530451776 
D62A,4.21,1693530451876 
D62A,4.21,1693530451976 
D62A,4.22,1693530452076 
D62A,4.20,1693530452176 
D62A,4.23,1693530452276 
D62A,4.22,1693530452376 
D62A,4.20,1693530452476 
D62A,4.16,1693530452576 
D62A,4.23,1693530452676 
D62A,4.25,1693530452776 
D62A,4.24,1693530452876 
D62A,4.22,1693530452976 
D62A,4.22,1693530453076 
D62A,4.24,1693530453176 
D62A,4.23,1693530453276 
D62A,4.23,1693530453376 
D62A,4.24,1693530453476 
D62A,4.23,1693530453576 
D62A,4.25,1693530453676 
D62A,4.22,1693530453776 
D62A,4.25,1693530453876 
D62A,4.21,1693530453976 
D62A,4.22,1693530454076 
D62A,4.20,1693530454176 
D62A,4.22,1693530454276 
D62A,4.21,1693530454376 
D62A,4.21,1693530454476 
D62A,4.25,1693530454576 
D62A,4.17,1693530454676 
D62A,4.20,1693530454776 
D62A,4.23,1693530454876 
D62A,4.24,1693530454976 
D62A,4.20,1693530455076 
D62A,4.23,1693530455176 
D62A,4.22,1693530455276 
D62A,4.24,1693530455376 
D62A,4.19,1693530455476 
D62A,4.18,1693530455576 
D62A,4.23,1693530455676 
D62A,4.26,1693530455776 
D62A,4.24,1693530455876 
