LS_X;LS_Y;LS_Z
2.92;5.95;0.0
2.95;5.95;-0.0
2.91;5.95;-0.0
2.97;5.99;-0.0
2.93;5.95;-0.0
2.92;5.97;-0.0
2.97;5.96;0.0
2.9;5.93;0.0
2.93;5.95;-0.0
2.91;5.97;0.0
2.92;5.95;0.0
2.89;5.96;-0.0
2.93;5.98;0.0
2.91;5.97;0.0
2.94;5.96;0.0
2.95;5.98;-0.0
2.97;5.91;0.0
2.93;5.94;-0.0
2.93;5.94;0.0
2.97;5.87;0.18
2.95;5.82;0.48
2.92;5.95;0.0
2.91;5.95;-0.0
2.93;5.95;-0.0
2.91;5.96;0.0
2.92;5.94;0.0
2.91;5.95;0.0
2.92;5.95;0.0
2.94;5.95;0.0
2.9;5.96;0.0
2.9;5.94;-0.0
2.93;5.97;0.0
2.91;5.93;-0.0
2.94;5.95;0.0
2.93;5.95;-0.0
2.94;5.96;-0.0
2.9;5.98;0.0
2.95;5.98;0.0
2.94;5.95;-0.0
2.93;5.95;0.0
2.94;5.94;0.0
2.95;5.96;0.0
2.92;5.94;0.0
2.91;5.92;0.0
2.9;5.96;-0.0
2.92;5.97;0.0
2.85;5.93;0.0
2.88;5.94;0.0
2.94;5.99;-0.0
2.91;5.93;-0.0
2.92;5.96;0.0
2.93;5.98;-0.0
2.92;5.95;-0.0
2.94;5.96;-0.0
2.92;5.95;-0.0
2.93;5.95;0.0
2.94;5.96;0.0
2.93;5.97;0.0
2.91;5.95;-0.0
2.94;5.94;-0.0
2.91;5.93;-0.0
2.93;5.95;0.0
2.93;5.93;-0.0
2.96;5.97;0.0
2.91;5.96;0.0
2.94;5.93;0.0
2.92;5.97;-0.0
2.93;5.95;0.0
2.95;5.97;0.0
2.94;5.95;0.0
2.9;5.94;0.0
2.9;5.96;-0.0
2.94;5.92;0.0
2.94;5.96;-0.0
2.92;5.95;0.0
2.91;5.95;-0.0
2.92;5.96;0.0
2.93;5.96;0.0
2.91;5.93;0.0
2.93;5.95;-0.0
2.89;5.97;-0.0
2.93;5.94;0.0
2.91;5.95;-0.0
2.9;5.96;-0.0
2.94;5.94;0.0
2.92;5.95;-0.0
2.93;5.94;0.0
2.91;5.91;0.0
2.94;5.95;0.0
2.91;5.95;0.0
2.94;5.95;-0.0
2.9;5.97;0.0
2.89;5.94;0.0
2.91;5.93;-0.0
2.91;5.93;-0.0
2.92;5.93;0.0
2.91;5.93;-0.0
2.91;5.94;0.0
2.95;5.94;0.0
2.91;5.94;0.0
2.94;5.94;-0.0
2.92;5.95;-0.0
2.92;5.96;0.0
2.93;5.93;0.0
2.93;5.97;-0.0
2.94;5.93;-0.0
2.96;5.94;0.0
2.94;5.97;0.0
2.93;5.95;-0.0
2.93;5.94;-0.0
2.91;5.95;-0.0
2.88;5.94;0.0
2.96;5.95;0.0
2.89;5.95;0.0
2.88;5.94;-0.0
2.89;5.93;0.0
2.91;5.97;0.0
2.92;5.96;-0.0
2.94;5.94;0.0
2.93;5.93;0.0
2.93;5.92;0.0
2.91;5.95;-0.0
2.92;5.96;0.0
2.91;5.95;0.0
2.93;5.96;-0.0
2.91;5.97;0.0
2.93;5.95;-0.0
2.94;5.95;0.0
2.96;5.96;0.0
2.95;5.96;-0.0
2.95;5.94;-0.0
2.93;5.95;-0.0
2.92;5.95;-0.0
2.93;5.94;0.0
2.93;5.92;-0.0
2.93;5.94;-0.0
2.94;5.95;0.0
2.94;5.96;-0.0
2.92;5.96;0.0
2.9;5.94;-0.0
2.92;5.97;0.0
2.91;5.93;0.0
2.92;5.95;0.0
2.93;5.95;-0.0
2.94;5.96;-0.0
2.91;5.94;-0.0
2.95;5.98;0.0
2.91;5.97;0.0
2.93;5.97;-0.0
2.91;5.94;0.0
2.95;5.97;-0.0
2.91;5.96;0.0
2.94;5.97;0.0
2.95;5.96;0.0
2.93;5.94;-0.0
2.94;5.95;0.0
2.93;5.94;0.0
2.95;5.94;0.0
2.95;5.96;-0.0
2.96;5.97;0.0
2.94;5.96;0.0
2.94;5.93;-0.0
2.91;5.93;-0.0
2.91;5.97;0.0
2.92;5.95;-0.0
2.89;5.96;-0.0
2.92;5.95;0.0
2.93;5.95;-0.0
2.89;5.96;-0.0
2.94;5.96;0.0
2.92;5.96;0.0
2.94;5.94;0.0
2.93;5.96;-0.0
2.95;5.97;0.0
2.93;5.95;0.0
2.92;5.97;-0.0
2.92;5.95;0.0
2.89;5.96;0.0
2.94;5.96;0.0
2.91;5.96;0.0
2.91;5.93;0.0
2.94;5.97;0.0
2.94;5.96;0.0
2.92;5.97;0.0
2.92;5.95;0.0
2.91;5.96;0.0
2.93;5.94;0.0
2.89;5.95;-0.0
2.91;5.95;-0.0
2.92;5.95;-0.0
2.91;5.93;-0.0
2.94;5.95;0.0
2.91;5.95;0.0
2.96;5.97;-0.0
2.91;5.93;-0.0
2.93;5.94;0.0
2.9;5.94;0.0
2.91;5.93;-0.0
2.93;5.95;-0.0
2.9;5.94;-0.0
2.9;5.94;0.0
2.91;5.96;0.0
2.92;5.96;0.0
2.95;5.95;-0.0
2.91;5.94;-0.0
2.94;5.95;-0.0
2.9;5.94;-0.0
2.93;5.98;0.0
2.91;5.94;0.0
2.96;5.95;0.0
2.96;5.98;0.0
2.91;5.94;0.0
2.93;5.94;-0.0
2.91;5.95;-0.0
2.92;5.95;-0.0
2.95;5.96;0.0
2.91;5.93;-0.0
2.9;5.96;0.0
2.9;5.95;-0.0
2.91;5.97;0.0
2.94;5.97;0.0
2.92;5.93;0.0
2.9;5.94;-0.0
2.93;5.92;0.0
2.92;5.95;0.0
2.93;5.96;-0.0
2.91;5.96;0.0
2.91;5.98;0.0
2.91;5.96;0.0
