LS;Using
0.4;['P6', 'P9', 'P7']
0.5;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.33;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.36;['P6', 'P9', 'P7']
0.35;['P6', 'P9', 'P7']
0.3;['P6', 'P9', 'P7']
0.38;['P6', 'P9', 'P7']
3.29;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.34;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.38;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.4;['P6', 'P9', 'P7']
0.53;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.51;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.94;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.37;['P6', 'P9', 'P7']
0.5;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
1.7;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
1.61;['P6', 'P9', 'P7']
1.65;['P6', 'P9', 'P7']
1.94;['P6', 'P9', 'P7']
0.4;['P6', 'P9', 'P7']
3.05;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.52;['P6', 'P9', 'P7']
1.72;['P6', 'P9', 'P7']
0.4;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
1.84;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.49;['P6', 'P9', 'P7']
1.66;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
1.84;['P6', 'P9', 'P7']
3.97;['P6', 'P9', 'P7']
2.83;['P6', 'P9', 'P7']
1.74;['P6', 'P9', 'P7']
4.53;['P6', 'P9', 'P7']
2.49;['P6', 'P7', 'P9']
3.79;['P6', 'P7', 'P9']
3.11;['P6', 'P9', 'P7']
2.16;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
1.79;['P6', 'P9', 'P7']
3.17;['P6', 'P9', 'P7']
2.4;['P6', 'P9', 'P7']
1.65;['P6', 'P9', 'P7']
2.12;['P6', 'P9', 'P7']
0.34;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
1.69;['P6', 'P9', 'P7']
1.88;['P6', 'P9', 'P7']
1.84;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.38;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
0.36;['P6', 'P9', 'P7']
0.49;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.52;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.35;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
1.35;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.4;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.49;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.48;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.52;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.52;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.48;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
4.53;['P6', 'P9', 'P7']
5.73;['P6', 'P9', 'P7']
5.52;['P6', 'P9', 'P7']
0.5;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
4.9;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
5.71;['P6', 'P9', 'P7']
5.58;['P6', 'P9', 'P7']
5.56;['P6', 'P9', 'P7']
5.72;['P6', 'P9', 'P7']
5.79;['P6', 'P9', 'P7']
3.41;['P6', 'P9', 'P7']
3.29;['P6', 'P9', 'P7']
2.42;['P6', 'P9', 'P7']
5.37;['P6', 'P9', 'P7']
5.44;['P6', 'P9', 'P7']
5.01;['P6', 'P9', 'P7']
5.6;['P6', 'P9', 'P7']
5.32;['P6', 'P9', 'P7']
4.76;['P6', 'P9', 'P7']
3.65;['P6', 'P9', 'P7']
4.91;['P6', 'P9', 'P7']
4.89;['P6', 'P9', 'P7']
4.88;['P6', 'P9', 'P7']
2.99;['P6', 'P9', 'P7']
5.02;['P6', 'P9', 'P7']
2.93;['P6', 'P7', 'P9']
2.89;['P6', 'P7', 'P9']
4.17;['P6', 'P9', 'P7']
4.98;['P6', 'P7', 'P9']
6.28;['P6', 'P7', 'P9']
5.09;['P6', 'P9', 'P7']
4.93;['P6', 'P9', 'P7']
5.77;['P6', 'P9', 'P7']
5.76;['P6', 'P9', 'P7']
2.98;['P6', 'P9', 'P7']
2.71;['P6', 'P9', 'P7']
4.87;['P6', 'P9', 'P7']
5.76;['P6', 'P9', 'P7']
6.05;['P6', 'P9', 'P7']
5.73;['P6', 'P9', 'P7']
3.32;['P6', 'P9', 'P7']
5.29;['P6', 'P9', 'P7']
3.45;['P6', 'P9', 'P7']
5.22;['P6', 'P9', 'P7']
3.18;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
3.24;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.4;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.35;['P6', 'P9', 'P7']
5.77;['P6', 'P9', 'P7']
3.2;['P6', 'P9', 'P7']
4.5;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.34;['P6', 'P9', 'P7']
0.91;['P6', 'P9', 'P7']
0.4;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.49;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.4;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.49;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
0.48;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.49;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.5;['P6', 'P9', 'P7']
0.48;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.48;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.51;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.48;['P6', 'P9', 'P7']
0.51;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.45;['P6', 'P9', 'P7']
0.4;['P6', 'P9', 'P7']
0.38;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.42;['P6', 'P9', 'P7']
0.39;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.43;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.41;['P6', 'P9', 'P7']
0.47;['P6', 'P9', 'P7']
0.51;['P6', 'P9', 'P7']
0.44;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
0.46;['P6', 'P9', 'P7']
