LS;Using
0.51;['P5', 'P9', 'P7']
0.62;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
0.43;['P5', 'P9', 'P7']
0.39;['P5', 'P9', 'P7']
0.49;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.44;['P5', 'P9', 'P7']
0.38;['P5', 'P9', 'P7']
0.38;['P5', 'P9', 'P7']
0.45;['P5', 'P9', 'P7']
0.94;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.43;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
0.54;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.61;['P5', 'P9', 'P7']
0.51;['P5', 'P9', 'P7']
0.61;['P5', 'P9', 'P7']
0.51;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
0.49;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
0.56;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.51;['P5', 'P9', 'P7']
0.48;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.92;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.88;['P5', 'P9', 'P7']
0.94;['P5', 'P9', 'P7']
0.91;['P5', 'P9', 'P7']
0.44;['P5', 'P9', 'P7']
0.83;['P5', 'P9', 'P7']
0.98;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.56;['P5', 'P9', 'P7']
0.99;['P5', 'P9', 'P7']
0.43;['P5', 'P9', 'P7']
0.52;['P5', 'P9', 'P7']
0.47;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.56;['P5', 'P9', 'P7']
0.9;['P5', 'P9', 'P7']
0.44;['P5', 'P9', 'P7']
0.5;['P5', 'P9', 'P7']
0.42;['P5', 'P9', 'P7']
0.53;['P5', 'P9', 'P7']
0.93;['P5', 'P9', 'P7']
0.46;['P5', 'P9', 'P7']
