Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=6.02;P3[13.00,0.00,0.00]=10.65;P8[5.90,10.00,0.00]=9.49;[2.33,1.29,0.33]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.84;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.35;[2.33,1.27,0.44]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.91;P3[13.00,0.00,0.00]=10.75;P8[5.90,10.00,0.00]=9.31;[2.29,1.28,0.56]
P1[0.00,0.00,0.00]=2.33;P2[8.00,2.40,0.00]=5.84;P3[13.00,0.00,0.00]=10.76;P8[5.90,10.00,0.00]=9.37;[2.24,1.26,0.58]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.80;P3[13.00,0.00,0.00]=10.83;P8[5.90,10.00,0.00]=9.39;[2.24,1.26,0.48]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.74;P3[13.00,0.00,0.00]=10.75;P8[5.90,10.00,0.00]=9.51;[2.25,1.20,0.56]
P1[0.00,0.00,0.00]=2.40;P2[8.00,2.40,0.00]=5.74;P3[13.00,0.00,0.00]=10.77;P8[5.90,10.00,0.00]=9.37;[2.22,1.27,0.38]
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.70;P3[13.00,0.00,0.00]=10.81;P8[5.90,10.00,0.00]=9.46;[2.24,1.22,0.48]
P1[0.00,0.00,0.00]=2.40;P2[8.00,2.40,0.00]=6.04;P3[13.00,0.00,0.00]=10.84;P8[5.90,10.00,0.00]=9.53;[2.21,1.20,0.51]
P1[0.00,0.00,0.00]=2.38;P2[8.00,2.40,0.00]=6.43;P3[13.00,0.00,0.00]=10.76;P8[5.90,10.00,0.00]=9.37;[2.19,1.21,0.57]
P1[0.00,0.00,0.00]=2.42;P2[8.00,2.40,0.00]=5.89;P3[13.00,0.00,0.00]=11.08;P8[5.90,10.00,0.00]=9.38;[2.18,1.24,0.52]
P1[0.00,0.00,0.00]=2.41;P2[8.00,2.40,0.00]=5.74;P3[13.00,0.00,0.00]=10.82;P8[5.90,10.00,0.00]=9.27;[2.18,1.25,0.53]
P1[0.00,0.00,0.00]=2.38;P2[8.00,2.40,0.00]=5.94;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.13;[2.18,1.28,0.58]
P1[0.00,0.00,0.00]=2.40;P2[8.00,2.40,0.00]=5.79;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.21;[2.19,1.28,0.66]
P1[0.00,0.00,0.00]=2.47;P2[8.00,2.40,0.00]=5.64;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.21;[2.22,1.29,0.57]
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.59;P3[13.00,0.00,0.00]=10.72;P8[5.90,10.00,0.00]=9.16;[2.25,1.31,0.57]
