Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P4[11.00,11.00,0.00]=0.92;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.86;null;[11.03,10.08,0.52]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.84;null;[11.03,10.08,0.53]
P4[11.00,11.00,0.00]=0.91;P3[13.00,0.00,0.00]=10.15;P5[13.00,24.00,0.00]=13.90;null;[11.10,10.09,0.49]
P4[11.00,11.00,0.00]=0.89;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.86;null;[11.07,10.09,0.52]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.90;null;[11.06,10.08,0.53]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.14;P5[13.00,24.00,0.00]=13.95;null;[11.08,10.08,0.45]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.14;P5[13.00,24.00,0.00]=13.90;null;[11.14,10.08,0.37]
P4[11.00,11.00,0.00]=0.91;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.83;null;[11.13,10.09,0.44]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.87;null;[11.10,10.09,0.47]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.83;null;[11.08,10.10,0.50]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.05;P5[13.00,24.00,0.00]=13.91;null;[11.06,10.08,0.50]
P4[11.00,11.00,0.00]=0.91;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.87;null;[11.04,10.09,0.53]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.86;null;[11.06,10.08,0.53]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.90;null;[11.05,10.07,0.54]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.85;null;[11.06,10.08,0.55]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.07;P5[13.00,24.00,0.00]=13.89;null;[11.05,10.08,0.55]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.07;P5[13.00,24.00,0.00]=13.90;null;[11.03,10.07,0.53]
P4[11.00,11.00,0.00]=0.92;P3[13.00,0.00,0.00]=10.08;P5[13.00,24.00,0.00]=13.90;null;[11.02,10.07,0.55]
P4[11.00,11.00,0.00]=0.83;P3[13.00,0.00,0.00]=10.05;P5[13.00,24.00,0.00]=13.88;null;[11.03,10.07,0.51]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.89;null;[11.03,10.07,0.50]
P4[11.00,11.00,0.00]=0.92;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.88;null;[11.01,10.07,0.53]
P4[11.00,11.00,0.00]=0.82;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.90;null;[11.00,10.07,0.49]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.80;null;[11.05,10.08,0.51]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.88;null;[11.03,10.08,0.53]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.86;null;[11.02,10.08,0.53]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.07;P5[13.00,24.00,0.00]=13.86;null;[11.04,10.08,0.53]
P4[11.00,11.00,0.00]=0.83;P3[13.00,0.00,0.00]=10.05;P5[13.00,24.00,0.00]=13.84;null;[11.08,10.08,0.50]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.87;null;[11.08,10.08,0.50]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.86;null;[11.07,10.08,0.53]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.87;null;[11.05,10.09,0.53]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.88;null;[11.14,10.09,0.44]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.08;P5[13.00,24.00,0.00]=13.91;null;[11.08,10.08,0.44]
P4[11.00,11.00,0.00]=0.81;P3[13.00,0.00,0.00]=10.08;P5[13.00,24.00,0.00]=13.94;null;[11.01,10.07,0.39]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.08;P5[13.00,24.00,0.00]=13.85;null;[11.03,10.07,0.41]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.15;P5[13.00,24.00,0.00]=13.86;null;[10.98,10.08,0.44]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.81;null;[11.04,10.09,0.48]
P4[11.00,11.00,0.00]=0.80;P3[13.00,0.00,0.00]=10.04;P5[13.00,24.00,0.00]=13.92;null;[11.02,10.08,0.42]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.83;null;[11.04,10.09,0.48]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.92;null;[11.11,10.08,0.38]
P4[11.00,11.00,0.00]=0.83;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.86;null;[11.07,10.09,0.41]
P4[11.00,11.00,0.00]=0.75;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.88;null;[11.03,10.09,0.36]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.93;null;[10.96,10.08,0.36]
P4[11.00,11.00,0.00]=0.83;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.87;null;[10.96,10.08,0.39]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.89;null;[10.96,10.08,0.40]
P4[11.00,11.00,0.00]=0.78;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.85;null;[10.97,10.08,0.40]
P4[11.00,11.00,0.00]=0.78;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.88;null;[10.95,10.08,0.39]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.83;null;[11.00,10.09,0.42]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.86;null;[10.98,10.09,0.46]
P4[11.00,11.00,0.00]=0.81;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.90;null;[10.94,10.09,0.44]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.88;null;[10.93,10.09,0.46]
P4[11.00,11.00,0.00]=0.93;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.95;null;[11.00,10.08,0.43]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.84;null;[11.05,10.08,0.46]
P4[11.00,11.00,0.00]=0.89;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.85;null;[11.03,10.09,0.51]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.16;P5[13.00,24.00,0.00]=13.88;null;[11.11,10.10,0.41]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.90;null;[11.04,10.09,0.42]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.85;null;[11.05,10.09,0.44]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.94;null;[11.01,10.08,0.44]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.91;null;[10.97,10.07,0.46]
P4[11.00,11.00,0.00]=0.83;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.90;null;[10.93,10.07,0.44]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.89;null;[10.92,10.07,0.45]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.90;null;[10.91,10.07,0.47]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=10.17;P5[13.00,24.00,0.00]=13.89;null;[11.00,10.08,0.43]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.16;P5[13.00,24.00,0.00]=13.90;null;[11.07,10.09,0.35]
P4[11.00,11.00,0.00]=0.89;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.89;null;[11.04,10.09,0.41]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.07;P5[13.00,24.00,0.00]=13.92;null;[11.01,10.08,0.44]
P4[11.00,11.00,0.00]=0.83;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.88;null;[10.97,10.08,0.45]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.90;null;[10.96,10.08,0.46]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.19;P5[13.00,24.00,0.00]=13.90;null;[11.01,10.09,0.43]
P4[11.00,11.00,0.00]=0.81;P3[13.00,0.00,0.00]=10.05;P5[13.00,24.00,0.00]=13.94;null;[10.97,10.07,0.37]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.91;null;[10.93,10.07,0.41]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=10.15;P5[13.00,24.00,0.00]=13.90;null;[11.03,10.08,0.37]
P4[11.00,11.00,0.00]=0.77;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.87;null;[11.00,10.08,0.36]
P4[11.00,11.00,0.00]=0.82;P3[13.00,0.00,0.00]=10.14;P5[13.00,24.00,0.00]=13.90;null;[10.93,10.08,0.35]
P4[11.00,11.00,0.00]=0.82;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.87;null;[10.94,10.08,0.37]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.86;null;[10.96,10.08,0.42]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.93;null;[10.90,10.08,0.41]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=10.14;P5[13.00,24.00,0.00]=13.91;null;[10.99,10.08,0.37]
P4[11.00,11.00,0.00]=0.84;P8[5.90,10.00,0.00]=6.29;P3[13.00,0.00,0.00]=10.08;P5[13.00,24.00,0.00]=13.81;[11.05,10.09,0.40]
P4[11.00,11.00,0.00]=0.85;P8[5.90,10.00,0.00]=6.34;P3[13.00,0.00,0.00]=10.04;P5[13.00,24.00,0.00]=13.96;[11.00,10.07,0.38]
P4[11.00,11.00,0.00]=0.85;P8[5.90,10.00,0.00]=6.33;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.81;[11.06,10.08,0.41]
P4[11.00,11.00,0.00]=0.82;P8[5.90,10.00,0.00]=6.36;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.86;[11.06,10.08,0.42]
P4[11.00,11.00,0.00]=0.83;P8[5.90,10.00,0.00]=6.45;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.83;[11.07,10.09,0.43]
P4[11.00,11.00,0.00]=0.85;P8[5.90,10.00,0.00]=6.32;P3[13.00,0.00,0.00]=10.03;P5[13.00,24.00,0.00]=13.88;[11.09,10.08,0.43]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.86;null;[11.09,10.08,0.44]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.07;P5[13.00,24.00,0.00]=13.87;null;[11.08,10.08,0.45]
P4[11.00,11.00,0.00]=0.85;P8[5.90,10.00,0.00]=6.38;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.90;[11.06,10.07,0.45]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.85;null;[11.06,10.08,0.48]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.88;null;[11.04,10.08,0.49]
P4[11.00,11.00,0.00]=0.81;P8[5.90,10.00,0.00]=6.33;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.90;[11.00,10.07,0.45]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.08;P5[13.00,24.00,0.00]=13.86;null;[11.01,10.08,0.47]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.87;null;[11.01,10.08,0.50]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.06;P5[13.00,24.00,0.00]=13.90;null;[11.01,10.07,0.50]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.87;null;[10.99,10.08,0.51]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.88;null;[10.96,10.08,0.51]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.08;P5[13.00,24.00,0.00]=13.86;null;[10.99,10.08,0.53]
P4[11.00,11.00,0.00]=0.83;P3[13.00,0.00,0.00]=10.08;P5[13.00,24.00,0.00]=13.87;null;[11.00,10.08,0.51]
P4[11.00,11.00,0.00]=0.81;P3[13.00,0.00,0.00]=10.05;P5[13.00,24.00,0.00]=13.92;null;[10.98,10.07,0.45]
P4[11.00,11.00,0.00]=0.84;P8[5.90,10.00,0.00]=6.39;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.86;[10.97,10.08,0.47]
P4[11.00,11.00,0.00]=0.90;P8[5.90,10.00,0.00]=6.41;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.87;[10.99,10.08,0.50]
P4[11.00,11.00,0.00]=0.85;P8[5.90,10.00,0.00]=6.32;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.89;[10.96,10.08,0.50]
P4[11.00,11.00,0.00]=0.76;P8[5.90,10.00,0.00]=6.36;P3[13.00,0.00,0.00]=10.13;P5[13.00,24.00,0.00]=13.89;[10.92,10.08,0.43]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.14;P5[13.00,24.00,0.00]=13.90;null;[10.89,10.08,0.44]
P4[11.00,11.00,0.00]=0.88;P8[5.90,10.00,0.00]=6.42;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.89;[10.90,10.08,0.47]
P4[11.00,11.00,0.00]=0.90;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.98;null;[10.96,10.07,0.41]
P4[11.00,11.00,0.00]=0.81;P3[13.00,0.00,0.00]=10.07;P5[13.00,24.00,0.00]=13.90;null;[10.96,10.07,0.40]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.04;P5[13.00,24.00,0.00]=13.94;null;[10.95,10.06,0.40]
P4[11.00,11.00,0.00]=0.80;P3[13.00,0.00,0.00]=10.04;P5[13.00,24.00,0.00]=13.95;null;[10.93,10.05,0.33]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.16;P5[13.00,24.00,0.00]=13.89;null;[11.02,10.06,0.29]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.14;P5[13.00,24.00,0.00]=13.90;null;[11.09,10.07,0.26]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.93;null;[11.14,10.07,0.22]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.05;P5[13.00,24.00,0.00]=13.89;null;[11.11,10.07,0.28]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=10.11;P5[13.00,24.00,0.00]=13.92;null;[11.03,10.07,0.30]
P4[11.00,11.00,0.00]=0.83;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.95;null;[10.95,10.06,0.29]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.05;P5[13.00,24.00,0.00]=13.91;null;[10.96,10.05,0.32]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.05;P5[13.00,24.00,0.00]=13.89;null;[10.98,10.05,0.36]
P4[11.00,11.00,0.00]=0.91;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.95;null;[11.06,10.05,0.32]
P4[11.00,11.00,0.00]=0.89;P3[13.00,0.00,0.00]=10.09;P5[13.00,24.00,0.00]=13.92;null;[11.01,10.05,0.37]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.04;P5[13.00,24.00,0.00]=13.92;null;[11.00,10.05,0.37]
P4[11.00,11.00,0.00]=0.87;P3[13.00,0.00,0.00]=10.01;P5[13.00,24.00,0.00]=13.92;null;[11.02,10.04,0.38]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=10.03;P5[13.00,24.00,0.00]=13.94;null;[11.00,10.03,0.38]
P4[11.00,11.00,0.00]=0.80;P3[13.00,0.00,0.00]=10.01;P5[13.00,24.00,0.00]=13.87;null;[11.05,10.04,0.34]
P4[11.00,11.00,0.00]=0.85;P3[13.00,0.00,0.00]=10.04;P5[13.00,24.00,0.00]=13.90;null;[11.06,10.04,0.37]
P4[11.00,11.00,0.00]=0.89;P8[5.90,10.00,0.00]=6.23;P3[13.00,0.00,0.00]=10.02;P5[13.00,24.00,0.00]=13.84;[11.13,10.05,0.39]
P4[11.00,11.00,0.00]=0.86;P3[13.00,0.00,0.00]=9.95;P5[13.00,24.00,0.00]=13.94;null;[11.13,10.03,0.36]
P4[11.00,11.00,0.00]=0.76;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=13.84;null;[11.06,10.03,0.37]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=9.91;P5[13.00,24.00,0.00]=13.75;null;[11.13,10.04,0.43]
P4[11.00,11.00,0.00]=0.81;P3[13.00,0.00,0.00]=9.91;P5[13.00,24.00,0.00]=13.61;null;[11.15,10.06,0.52]
P4[11.00,11.00,0.00]=0.84;P3[13.00,0.00,0.00]=9.83;P5[13.00,24.00,0.00]=13.68;null;[11.17,10.06,0.58]
P4[11.00,11.00,0.00]=0.78;P3[13.00,0.00,0.00]=9.79;P5[13.00,24.00,0.00]=13.71;null;[11.18,10.05,0.59]
P4[11.00,11.00,0.00]=0.80;P3[13.00,0.00,0.00]=9.95;P5[13.00,24.00,0.00]=13.90;P8[5.90,10.00,0.00]=6.13;[11.06,10.03,0.52]
P4[11.00,11.00,0.00]=0.74;P3[13.00,0.00,0.00]=10.04;P5[13.00,24.00,0.00]=13.78;null;[11.01,10.05,0.51]
P4[11.00,11.00,0.00]=0.78;P8[5.90,10.00,0.00]=6.12;P3[13.00,0.00,0.00]=9.95;P5[13.00,24.00,0.00]=13.73;[11.07,10.06,0.51]
P4[11.00,11.00,0.00]=0.77;P8[5.90,10.00,0.00]=6.17;P3[13.00,0.00,0.00]=10.02;P5[13.00,24.00,0.00]=13.74;[11.06,10.07,0.53]
P4[11.00,11.00,0.00]=0.86;P8[5.90,10.00,0.00]=6.17;P3[13.00,0.00,0.00]=10.00;P5[13.00,24.00,0.00]=13.66;[11.14,10.09,0.57]
P4[11.00,11.00,0.00]=0.83;P8[5.90,10.00,0.00]=6.12;P3[13.00,0.00,0.00]=9.99;P5[13.00,24.00,0.00]=13.74;[11.14,10.09,0.60]
P4[11.00,11.00,0.00]=0.81;P3[13.00,0.00,0.00]=9.96;P5[13.00,24.00,0.00]=13.76;null;[11.14,10.09,0.59]
P4[11.00,11.00,0.00]=0.76;P8[5.90,10.00,0.00]=6.19;P3[13.00,0.00,0.00]=10.00;P5[13.00,24.00,0.00]=13.79;[11.08,10.08,0.57]
P4[11.00,11.00,0.00]=0.73;P8[5.90,10.00,0.00]=6.22;P3[13.00,0.00,0.00]=10.01;P5[13.00,24.00,0.00]=13.85;[10.98,10.07,0.48]
P4[11.00,11.00,0.00]=0.85;P8[5.90,10.00,0.00]=6.24;P3[13.00,0.00,0.00]=10.01;P5[13.00,24.00,0.00]=13.89;[11.02,10.06,0.45]
P4[11.00,11.00,0.00]=0.84;P8[5.90,10.00,0.00]=6.21;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=13.88;[11.09,10.05,0.40]
P4[11.00,11.00,0.00]=0.75;P3[13.00,0.00,0.00]=10.03;P5[13.00,24.00,0.00]=13.79;null;[11.03,10.06,0.42]
P4[11.00,11.00,0.00]=0.82;P8[5.90,10.00,0.00]=6.22;P3[13.00,0.00,0.00]=10.02;P5[13.00,24.00,0.00]=13.87;[11.07,10.06,0.40]
P4[11.00,11.00,0.00]=0.78;P8[5.90,10.00,0.00]=6.26;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=13.84;[11.00,10.05,0.41]
P4[11.00,11.00,0.00]=0.78;P8[5.90,10.00,0.00]=6.12;P3[13.00,0.00,0.00]=9.99;P5[13.00,24.00,0.00]=13.85;[10.94,10.05,0.42]
P4[11.00,11.00,0.00]=0.80;P8[5.90,10.00,0.00]=6.17;P3[13.00,0.00,0.00]=10.03;P5[13.00,24.00,0.00]=13.82;[11.03,10.06,0.38]
P4[11.00,11.00,0.00]=0.74;P8[5.90,10.00,0.00]=6.18;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=13.75;[11.04,10.07,0.41]
P4[11.00,11.00,0.00]=0.84;P8[5.90,10.00,0.00]=6.20;P3[13.00,0.00,0.00]=9.97;P5[13.00,24.00,0.00]=13.90;[11.09,10.05,0.36]
P4[11.00,11.00,0.00]=0.80;P8[5.90,10.00,0.00]=6.21;P3[13.00,0.00,0.00]=10.01;P5[13.00,24.00,0.00]=13.74;[11.09,10.07,0.43]
P4[11.00,11.00,0.00]=0.81;P8[5.90,10.00,0.00]=6.18;P3[13.00,0.00,0.00]=10.07;P5[13.00,24.00,0.00]=13.74;[11.18,10.09,0.40]
P4[11.00,11.00,0.00]=0.82;P8[5.90,10.00,0.00]=6.26;P3[13.00,0.00,0.00]=10.05;P5[13.00,24.00,0.00]=13.82;[11.19,10.09,0.40]
P4[11.00,11.00,0.00]=0.81;P8[5.90,10.00,0.00]=6.20;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=13.69;[11.22,10.10,0.46]
P4[11.00,11.00,0.00]=0.79;P8[5.90,10.00,0.00]=6.21;P3[13.00,0.00,0.00]=9.96;P5[13.00,24.00,0.00]=13.73;[11.23,10.10,0.48]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=10.03;P5[13.00,24.00,0.00]=13.66;null;[11.25,10.11,0.55]
P4[11.00,11.00,0.00]=0.83;P3[13.00,0.00,0.00]=10.07;P5[13.00,24.00,0.00]=13.62;null;[11.26,10.14,0.60]
P4[11.00,11.00,0.00]=0.76;P3[13.00,0.00,0.00]=10.07;P5[13.00,24.00,0.00]=13.67;null;[11.22,10.14,0.61]
P4[11.00,11.00,0.00]=0.82;P3[13.00,0.00,0.00]=10.02;P5[13.00,24.00,0.00]=13.61;null;[11.28,10.16,0.61]
P4[11.00,11.00,0.00]=0.81;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=13.77;null;[11.22,10.14,0.62]
P4[11.00,11.00,0.00]=0.77;P3[13.00,0.00,0.00]=10.00;P5[13.00,24.00,0.00]=13.80;null;[11.14,10.12,0.59]
P4[11.00,11.00,0.00]=0.76;P3[13.00,0.00,0.00]=10.04;P5[13.00,24.00,0.00]=13.88;P8[5.90,10.00,0.00]=6.24;[11.12,10.10,0.48]
P4[11.00,11.00,0.00]=0.76;P3[13.00,0.00,0.00]=10.04;P5[13.00,24.00,0.00]=13.80;null;[11.18,10.10,0.37]
P4[11.00,11.00,0.00]=0.71;P3[13.00,0.00,0.00]=10.10;P5[13.00,24.00,0.00]=13.67;null;[11.13,10.12,0.43]
P4[11.00,11.00,0.00]=0.67;P3[13.00,0.00,0.00]=10.30;P5[13.00,24.00,0.00]=13.43;null;[11.14,10.20,0.51]
P4[11.00,11.00,0.00]=0.78;P8[5.90,10.00,0.00]=6.49;P3[13.00,0.00,0.00]=10.35;P5[13.00,24.00,0.00]=13.15;[11.34,10.30,0.48]
P4[11.00,11.00,0.00]=0.91;P8[5.90,10.00,0.00]=6.15;P3[13.00,0.00,0.00]=10.54;P5[13.00,24.00,0.00]=13.18;[11.49,10.39,0.48]
P4[11.00,11.00,0.00]=0.98;P8[5.90,10.00,0.00]=6.08;P3[13.00,0.00,0.00]=10.60;P5[13.00,24.00,0.00]=12.94;[11.61,10.50,0.56]
P4[11.00,11.00,0.00]=1.03;P8[5.90,10.00,0.00]=6.00;P3[13.00,0.00,0.00]=10.79;P5[13.00,24.00,0.00]=12.90;[11.72,10.61,0.51]
P4[11.00,11.00,0.00]=1.25;P5[13.00,24.00,0.00]=12.71;P3[13.00,0.00,0.00]=11.27;null;[11.76,10.78,0.14]
P4[11.00,11.00,0.00]=1.28;P3[13.00,0.00,0.00]=11.26;P5[13.00,24.00,0.00]=12.44;null;[11.87,10.93,0.29]
P4[11.00,11.00,0.00]=1.46;P3[13.00,0.00,0.00]=11.62;P5[13.00,24.00,0.00]=12.38;null;[11.88,11.11,0.49]
P4[11.00,11.00,0.00]=1.56;P3[13.00,0.00,0.00]=12.15;P5[13.00,24.00,0.00]=12.20;null;[11.74,11.32,0.66]
P4[11.00,11.00,0.00]=1.72;P3[13.00,0.00,0.00]=12.12;P5[13.00,24.00,0.00]=12.06;null;[11.79,11.50,0.75]
P4[11.00,11.00,0.00]=1.86;P3[13.00,0.00,0.00]=12.22;P5[13.00,24.00,0.00]=11.93;null;[11.86,11.66,0.81]
P4[11.00,11.00,0.00]=1.93;P3[13.00,0.00,0.00]=12.11;P5[13.00,24.00,0.00]=11.87;null;[11.94,11.78,0.91]
P4[11.00,11.00,0.00]=2.05;P3[13.00,0.00,0.00]=12.08;P5[13.00,24.00,0.00]=11.80;null;[12.11,11.87,0.89]
