Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P1[0.00,0.00,0.00]=2.40;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.55;P8[5.90,10.00,0.00]=9.06;[2.19,1.48,0.66]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.15;[2.22,1.43,0.70]
P1[0.00,0.00,0.00]=2.60;P2[8.00,2.40,0.00]=5.51;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.15;[2.27,1.41,0.65]
P1[0.00,0.00,0.00]=2.61;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.18;[2.30,1.38,0.64]
P1[0.00,0.00,0.00]=2.59;P2[8.00,2.40,0.00]=5.50;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=9.12;[2.33,1.38,0.57]
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.55;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.08;[2.33,1.38,0.66]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.53;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.06;[2.33,1.38,0.70]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.52;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=8.94;[2.33,1.41,0.69]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.18;[2.34,1.38,0.59]
P1[0.00,0.00,0.00]=2.49;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.14;null;[2.33,1.37,0.67]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.14;[2.31,1.40,0.31]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=8.97;[2.31,1.41,0.27]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.55;P3[13.00,0.00,0.00]=10.51;P8[5.90,10.00,0.00]=8.96;[2.30,1.43,0.36]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.50;P3[13.00,0.00,0.00]=10.59;P8[5.90,10.00,0.00]=9.09;[2.29,1.49,0.20]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.04;[2.30,1.47,0.35]
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.61;P8[5.90,10.00,0.00]=9.13;[2.30,1.45,0.37]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.03;[2.30,1.45,0.48]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.56;P8[5.90,10.00,0.00]=9.07;[2.29,1.44,0.57]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.61;P8[5.90,10.00,0.00]=9.13;[2.29,1.43,0.50]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.57;P8[5.90,10.00,0.00]=9.05;null;[2.29,1.43,0.57]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.53;P3[13.00,0.00,0.00]=10.56;P8[5.90,10.00,0.00]=9.14;[2.28,1.45,0.25]
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.53;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.09;[2.30,1.44,0.24]
