Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=9.62;[6.10,1.21,0.32]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=7.04;P8[5.90,10.00,0.00]=9.70;[6.08,1.27,0.37]
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.17;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=9.72;[6.08,1.30,0.41]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.93;P8[5.90,10.00,0.00]=9.69;[6.09,1.29,0.39]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=9.79;[6.08,1.30,0.40]
P2[8.00,2.40,0.00]=2.19;P1[0.00,0.00,0.00]=6.14;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=9.60;[6.08,1.29,0.43]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.11;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=9.77;[6.08,1.29,0.41]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=7.03;P8[5.90,10.00,0.00]=10.35;[6.06,1.31,0.40]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=9.52;[6.06,1.33,0.53]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=9.81;[6.05,1.36,0.51]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=7.02;P8[5.90,10.00,0.00]=9.54;[6.05,1.37,0.51]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=9.59;[6.05,1.36,0.50]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.06;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=9.68;[6.04,1.38,0.59]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=9.73;[6.05,1.35,0.48]
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.04;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=9.74;[6.03,1.42,0.55]
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=9.55;[6.04,1.40,0.41]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=9.64;[6.05,1.37,0.40]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.07;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=9.68;[6.04,1.36,0.36]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.15;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=9.68;[6.05,1.36,0.42]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.07;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=9.67;[6.05,1.37,0.53]
P2[8.00,2.40,0.00]=2.20;P1[0.00,0.00,0.00]=6.11;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=9.76;[6.04,1.38,0.55]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=9.18;[6.14,1.15,0.28]
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=9.70;[6.12,1.20,0.26]
P2[8.00,2.40,0.00]=2.18;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=9.30;[6.21,0.98,0.14]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.07;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=9.74;[6.17,1.11,0.32]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=10.27;[6.14,1.16,0.34]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.14;P3[13.00,0.00,0.00]=6.96;P8[5.90,10.00,0.00]=9.49;[6.12,1.20,0.37]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=10.98;[6.11,1.23,0.40]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=10.35;[6.09,1.29,0.52]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.07;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=9.76;[6.08,1.33,0.62]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.04;P3[13.00,0.00,0.00]=7.02;P8[5.90,10.00,0.00]=10.64;[6.06,1.38,0.68]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=10.42;[6.05,1.35,0.54]
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=10.38;[6.05,1.40,0.62]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=10.53;[6.05,1.39,0.60]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.96;P8[5.90,10.00,0.00]=10.67;[6.05,1.35,0.49]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.18;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=9.55;[6.06,1.38,0.52]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.16;P3[13.00,0.00,0.00]=6.96;P8[5.90,10.00,0.00]=9.67;[6.07,1.37,0.53]
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=11.08;[6.07,1.35,0.48]
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.05;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=9.67;[6.05,1.40,0.56]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=7.04;P8[5.90,10.00,0.00]=9.69;[6.04,1.40,0.52]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=9.56;[6.04,1.38,0.47]
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=9.23;[6.04,1.23,0.43]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=9.70;[6.05,1.27,0.55]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=9.66;[6.05,1.28,0.50]
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.14;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=9.72;[6.05,1.32,0.50]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.11;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=9.65;[6.06,1.30,0.45]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=9.73;[6.06,1.30,0.42]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.06;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=9.60;[6.05,1.32,0.53]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=7.03;P8[5.90,10.00,0.00]=9.60;[6.05,1.34,0.48]
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.07;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=9.58;[6.04,1.38,0.57]
P2[8.00,2.40,0.00]=2.18;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=7.02;P8[5.90,10.00,0.00]=9.63;[6.04,1.38,0.55]
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.07;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=9.57;[6.04,1.41,0.62]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=7.03;P8[5.90,10.00,0.00]=9.66;[6.04,1.42,0.60]
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=9.69;[6.04,1.41,0.54]
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=9.67;[6.05,1.39,0.44]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=9.57;[6.05,1.40,0.55]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=9.62;[6.05,1.39,0.53]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=9.67;[6.05,1.37,0.45]
P2[8.00,2.40,0.00]=2.18;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=9.59;[6.05,1.37,0.57]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=10.41;[6.04,1.37,0.47]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.16;P3[13.00,0.00,0.00]=6.91;P8[5.90,10.00,0.00]=9.52;[6.06,1.34,0.47]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=9.63;[6.07,1.32,0.46]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=10.37;[6.06,1.33,0.44]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=10.37;[6.05,1.35,0.42]
P2[8.00,2.40,0.00]=2.09;P1[0.00,0.00,0.00]=6.11;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=9.74;[6.04,1.39,0.39]
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=7.02;P8[5.90,10.00,0.00]=9.60;[6.04,1.41,0.39]
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=7.02;P8[5.90,10.00,0.00]=9.66;[6.04,1.42,0.39]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.06;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=9.71;[6.03,1.42,0.37]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=9.65;[6.04,1.40,0.37]
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=7.04;P8[5.90,10.00,0.00]=9.66;[6.03,1.41,0.34]
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.11;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=9.56;[6.04,1.38,0.29]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.17;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=9.68;[6.06,1.37,0.36]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.11;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=9.73;[6.04,1.40,0.39]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=9.67;[6.05,1.36,0.34]
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=9.69;[6.05,1.36,0.29]
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=9.60;[6.05,1.38,0.31]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=9.56;[6.05,1.39,0.36]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.15;P3[13.00,0.00,0.00]=6.96;P8[5.90,10.00,0.00]=9.74;[6.06,1.37,0.40]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=7.03;P8[5.90,10.00,0.00]=9.30;[6.05,1.21,0.45]
P2[8.00,2.40,0.00]=2.22;P1[0.00,0.00,0.00]=6.05;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=9.91;[6.05,1.19,0.35]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=6.91;P8[5.90,10.00,0.00]=8.85;[6.09,1.14,0.14]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.65;[6.10,1.15,-0.08]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.85;[6.13,1.10,-0.20]
P2[8.00,2.40,0.00]=2.19;P1[0.00,0.00,0.00]=6.07;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.78;[6.13,1.09,-0.31]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.07;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.83;[6.14,1.06,-0.35]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.78;[6.15,1.06,-0.41]
P2[8.00,2.40,0.00]=2.19;P1[0.00,0.00,0.00]=6.07;P3[13.00,0.00,0.00]=6.93;P8[5.90,10.00,0.00]=8.90;[6.16,1.02,-0.42]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=6.96;P8[5.90,10.00,0.00]=8.74;[6.14,1.09,-0.21]
P2[8.00,2.40,0.00]=2.21;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.93;[6.15,1.04,-0.30]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.16;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=8.87;[6.18,1.02,-0.39]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=8.92;[6.19,0.99,-0.41]
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.86;[6.20,0.98,-0.40]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=8.95;[6.21,0.95,-0.38]
P2[8.00,2.40,0.00]=2.20;P1[0.00,0.00,0.00]=6.06;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=8.81;[6.20,0.97,-0.44]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=8.95;[6.22,0.92,-0.49]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.11;P3[13.00,0.00,0.00]=7.03;P8[5.90,10.00,0.00]=8.74;[6.21,0.96,-0.53]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.87;P8[5.90,10.00,0.00]=8.87;[6.21,0.96,-0.53]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=7.12;P8[5.90,10.00,0.00]=8.88;[6.21,0.95,-0.49]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.90;P8[5.90,10.00,0.00]=9.04;[6.24,0.89,-0.52]
P2[8.00,2.40,0.00]=2.17;P8[5.90,10.00,0.00]=8.87;P1[0.00,0.00,0.00]=6.06;null;[6.22,0.90,-0.30]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.14;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.72;[6.20,0.97,-0.31]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.07;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.80;[6.19,0.98,-0.37]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.86;[6.20,0.98,-0.41]
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.96;P8[5.90,10.00,0.00]=8.94;[6.21,0.95,-0.42]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.81;[6.20,0.97,-0.45]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.89;[6.21,0.95,-0.43]
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.14;P3[13.00,0.00,0.00]=7.08;P8[5.90,10.00,0.00]=8.89;[6.16,1.00,-0.22]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.04;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=8.79;[6.16,1.00,-0.27]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=8.78;[6.16,1.01,-0.36]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=8.78;[6.17,1.02,-0.42]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.90;[6.18,0.99,-0.40]
P2[8.00,2.40,0.00]=2.09;P1[0.00,0.00,0.00]=6.09;P3[13.00,0.00,0.00]=7.08;P8[5.90,10.00,0.00]=8.85;[6.21,0.97,-0.47]
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.14;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=8.79;[6.21,0.98,-0.49]
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.11;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.82;[6.21,0.99,-0.49]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.11;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=9.25;[6.17,0.93,-0.29]
P2[8.00,2.40,0.00]=2.07;P1[0.00,0.00,0.00]=6.16;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=8.63;[6.18,1.00,-0.40]
P2[8.00,2.40,0.00]=2.09;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=8.85;[6.20,0.99,-0.38]
P2[8.00,2.40,0.00]=2.07;P1[0.00,0.00,0.00]=6.17;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=9.28;[6.31,0.81,-0.41]
P2[8.00,2.40,0.00]=2.09;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.70;[6.28,0.89,-0.45]
P2[8.00,2.40,0.00]=2.08;P1[0.00,0.00,0.00]=6.10;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.74;[6.26,0.93,-0.45]
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.11;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.71;[6.24,0.98,-0.48]
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.13;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=8.80;[6.23,0.99,-0.53]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.14;P3[13.00,0.00,0.00]=6.89;P8[5.90,10.00,0.00]=8.78;[6.22,1.05,-0.34]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=8.85;[6.22,1.03,-0.39]
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.08;P3[13.00,0.00,0.00]=6.92;P8[5.90,10.00,0.00]=9.27;[6.30,0.84,-0.41]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.16;P3[13.00,0.00,0.00]=6.92;P8[5.90,10.00,0.00]=9.34;[6.26,0.80,-0.25]
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.15;P3[13.00,0.00,0.00]=6.86;P8[5.90,10.00,0.00]=10.34;[6.23,0.89,-0.13]
P2[8.00,2.40,0.00]=2.02;P1[0.00,0.00,0.00]=6.15;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=8.75;[6.23,0.93,-0.18]
P2[8.00,2.40,0.00]=2.07;P1[0.00,0.00,0.00]=6.15;P3[13.00,0.00,0.00]=6.74;P8[5.90,10.00,0.00]=8.65;[6.22,1.00,0.03]
P2[8.00,2.40,0.00]=1.93;P1[0.00,0.00,0.00]=6.28;P3[13.00,0.00,0.00]=6.81;P8[5.90,10.00,0.00]=8.62;[6.25,1.05,-0.12]
P2[8.00,2.40,0.00]=1.82;P1[0.00,0.00,0.00]=6.42;P3[13.00,0.00,0.00]=6.69;P8[5.90,10.00,0.00]=8.62;[6.28,1.14,-0.04]
P2[8.00,2.40,0.00]=1.69;P1[0.00,0.00,0.00]=6.61;P3[13.00,0.00,0.00]=6.49;P8[5.90,10.00,0.00]=8.67;[6.35,1.20,0.03]
P2[8.00,2.40,0.00]=1.69;P1[0.00,0.00,0.00]=6.79;P3[13.00,0.00,0.00]=6.40;P8[5.90,10.00,0.00]=8.64;[6.45,1.26,0.21]
P2[8.00,2.40,0.00]=1.60;P1[0.00,0.00,0.00]=6.87;P3[13.00,0.00,0.00]=6.30;P8[5.90,10.00,0.00]=8.79;[6.55,1.23,0.08]
P2[8.00,2.40,0.00]=1.47;P3[13.00,0.00,0.00]=6.31;P1[0.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.95;[6.63,1.21,-0.13]
P2[8.00,2.40,0.00]=1.31;P3[13.00,0.00,0.00]=6.32;P1[0.00,0.00,0.00]=7.09;P8[5.90,10.00,0.00]=9.07;[6.70,1.38,-0.28]
P2[8.00,2.40,0.00]=1.22;P3[13.00,0.00,0.00]=6.13;P1[0.00,0.00,0.00]=7.23;P8[5.90,10.00,0.00]=10.88;[6.79,1.48,-0.39]
P2[8.00,2.40,0.00]=1.05;P3[13.00,0.00,0.00]=5.94;P1[0.00,0.00,0.00]=7.33;P8[5.90,10.00,0.00]=10.71;[6.90,1.53,-0.40]
P2[8.00,2.40,0.00]=1.04;P3[13.00,0.00,0.00]=5.87;P1[0.00,0.00,0.00]=7.49;P8[5.90,10.00,0.00]=10.39;[7.01,1.59,-0.47]
P2[8.00,2.40,0.00]=0.95;P3[13.00,0.00,0.00]=6.02;P1[0.00,0.00,0.00]=7.58;P8[5.90,10.00,0.00]=10.93;[7.09,1.68,-0.47]
P2[8.00,2.40,0.00]=0.89;P3[13.00,0.00,0.00]=5.66;P1[0.00,0.00,0.00]=7.76;P8[5.90,10.00,0.00]=11.09;[7.21,1.67,-0.40]
P2[8.00,2.40,0.00]=0.81;P3[13.00,0.00,0.00]=5.43;P1[0.00,0.00,0.00]=7.72;P8[5.90,10.00,0.00]=11.11;[7.33,1.68,-0.47]
P2[8.00,2.40,0.00]=0.68;P8[5.90,10.00,0.00]=11.83;P1[0.00,0.00,0.00]=8.03;P3[13.00,0.00,0.00]=5.24;[7.48,1.69,-0.28]
P2[8.00,2.40,0.00]=1.48;P1[0.00,0.00,0.00]=9.40;P3[13.00,0.00,0.00]=3.80;null;[7.97,1.69,-0.07]
P2[8.00,2.40,0.00]=1.61;P3[13.00,0.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.40;null;[8.34,1.67,-0.24]
P2[8.00,2.40,0.00]=1.70;P3[13.00,0.00,0.00]=3.59;P1[0.00,0.00,0.00]=9.52;null;[8.65,1.63,-0.33]
P2[8.00,2.40,0.00]=1.78;P3[13.00,0.00,0.00]=3.50;P1[0.00,0.00,0.00]=9.67;P4[11.00,11.00,0.00]=10.21;[8.89,1.45,-0.31]
P2[8.00,2.40,0.00]=1.99;P3[13.00,0.00,0.00]=3.40;P1[0.00,0.00,0.00]=9.80;null;[9.12,1.43,-0.31]
P2[8.00,2.40,0.00]=2.07;P3[13.00,0.00,0.00]=3.22;P1[0.00,0.00,0.00]=10.02;null;[9.36,1.48,-0.38]
