TagID,Distance,Timestamp
8704,76,"14:15:03
"
49BA,426,"14:15:03
"
8704,76,"14:15:03
"
49BA,427,"14:15:03
"
8704,76,"14:15:03
"
49BA,427,"14:15:03
"
8704,75,"14:15:03
"
49BA,426,"14:15:03
"
8704,73,"14:15:03
"
49BA,427,"14:15:03
"
8704,76,"14:15:03
"
49BA,427,"14:15:03
"
8704,76,"14:15:03
"
49BA,427,"14:15:03
"
8704,76,"14:15:03
"
49BA,426,"14:15:03
"
8704,75,"14:15:03
"
49BA,427,"14:15:03
"
8704,78,"14:15:03
"
49BA,426,"14:15:04
"
8704,77,"14:15:04
"
49BA,427,"14:15:04
"
8704,79,"14:15:04
"
49BA,427,"14:15:04
"
8704,75,"14:15:04
"
49BA,427,"14:15:04
"
8704,77,"14:15:04
"
49BA,427,"14:15:04
"
8704,77,"14:15:04
"
49BA,428,"14:15:04
"
8704,76,"14:15:04
"
49BA,425,"14:15:04
"
8704,73,"14:15:04
"
49BA,426,"14:15:04
"
8704,75,"14:15:04
"
49BA,427,"14:15:04
"
8704,75,"14:15:04
"
49BA,428,"14:15:04
"
8704,73,"14:15:04
"
49BA,427,"14:15:05
"
8704,76,"14:15:05
"
49BA,427,"14:15:05
"
8704,74,"14:15:05
"
49BA,426,"14:15:05
"
8704,76,"14:15:05
"
49BA,425,"14:15:05
"
8704,75,"14:15:05
"
49BA,427,"14:15:05
"
8704,76,"14:15:05
"
49BA,428,"14:15:05
"
8704,75,"14:15:05
"
49BA,427,"14:15:05
"
8704,75,"14:15:05
"
49BA,426,"14:15:05
"
8704,76,"14:15:05
"
49BA,427,"14:15:05
"
8704,77,"14:15:05
"
49BA,428,"14:15:05
"
8704,73,"14:15:05
"
49BA,427,"14:15:06
"
8704,75,"14:15:06
"
49BA,426,"14:15:06
"
8704,78,"14:15:06
"
49BA,427,"14:15:06
"
8704,75,"14:15:06
"
49BA,428,"14:15:06
"
8704,74,"14:15:06
"
49BA,427,"14:15:06
"
8704,75,"14:15:06
"
49BA,426,"14:15:06
"
8704,77,"14:15:06
"
49BA,427,"14:15:06
"
8704,75,"14:15:06
"
49BA,428,"14:15:06
"
8704,76,"14:15:06
"
49BA,426,"14:15:06
"
8704,75,"14:15:06
"
49BA,425,"14:15:06
"
8704,75,"14:15:06
"
49BA,426,"14:15:07
"
8704,77,"14:15:07
"
49BA,428,"14:15:07
"
8704,77,"14:15:07
"
49BA,427,"14:15:07
"
8704,75,"14:15:07
"
49BA,427,"14:15:07
"
8704,74,"14:15:07
"
49BA,425,"14:15:07
"
8704,74,"14:15:07
"
49BA,426,"14:15:07
"
8704,76,"14:15:07
"
49BA,426,"14:15:07
"
8704,77,"14:15:07
"
49BA,425,"14:15:07
"
8704,75,"14:15:07
"
49BA,427,"14:15:07
"
8704,76,"14:15:07
"
49BA,428,"14:15:07
"
8704,79,"14:15:07
"
49BA,427,"14:15:08
"
8704,74,"14:15:08
"
49BA,427,"14:15:08
"
8704,76,"14:15:08
"
49BA,428,"14:15:08
"
8704,75,"14:15:08
"
49BA,426,"14:15:08
"
8704,77,"14:15:08
"
49BA,424,"14:15:08
"
8704,79,"14:15:08
"
49BA,426,"14:15:08
"
8704,75,"14:15:08
"
49BA,427,"14:15:08
"
8704,75,"14:15:08
"
49BA,426,"14:15:08
"
8704,76,"14:15:08
"
49BA,425,"14:15:08
"
8704,75,"14:15:08
"
49BA,427,"14:15:08
"
8704,80,"14:15:08
"
49BA,427,"14:15:09
"
8704,73,"14:15:09
"
49BA,428,"14:15:09
"
8704,75,"14:15:09
"
49BA,428,"14:15:09
"
8704,75,"14:15:09
"
49BA,427,"14:15:09
"
8704,75,"14:15:09
"
49BA,427,"14:15:09
"
8704,79,"14:15:09
"
49BA,425,"14:15:09
"
8704,74,"14:15:09
"
49BA,426,"14:15:09
"
8704,75,"14:15:09
"
49BA,426,"14:15:09
"
8704,74,"14:15:09
"
49BA,425,"14:15:09
"
8704,73,"14:15:09
"
49BA,427,"14:15:09
"
8704,78,"14:15:09
"
49BA,428,"14:15:10
"
8704,76,"14:15:10
"
49BA,426,"14:15:10
"
8704,77,"14:15:10
"
49BA,427,"14:15:10
"
8704,75,"14:15:10
"
49BA,427,"14:15:10
"
8704,73,"14:15:10
"
49BA,428,"14:15:10
"
8704,77,"14:15:10
"
49BA,426,"14:15:10
"
8704,77,"14:15:10
"
49BA,428,"14:15:10
"
8704,75,"14:15:10
"
49BA,426,"14:15:10
"
8704,77,"14:15:10
"
49BA,426,"14:15:10
"
8704,76,"14:15:10
"
49BA,428,"14:15:10
"
8704,78,"14:15:10
"
49BA,427,"14:15:11
"
8704,76,"14:15:11
"
49BA,426,"14:15:11
"
8704,75,"14:15:11
"
49BA,427,"14:15:11
"
8704,74,"14:15:11
"
49BA,428,"14:15:11
"
8704,73,"14:15:11
"
49BA,427,"14:15:11
"
8704,75,"14:15:11
"
49BA,425,"14:15:11
"
8704,76,"14:15:11
"
49BA,427,"14:15:11
"
8704,76,"14:15:11
"
49BA,427,"14:15:11
"
8704,75,"14:15:11
"
49BA,428,"14:15:11
"
8704,77,"14:15:11
"
49BA,426,"14:15:11
"
8704,74,"14:15:11
"
49BA,428,"14:15:12
"
8704,76,"14:15:12
"
49BA,428,"14:15:12
"
8704,76,"14:15:12
"
49BA,426,"14:15:12
"
8704,76,"14:15:12
"
49BA,425,"14:15:12
"
8704,74,"14:15:12
"
49BA,427,"14:15:12
"
8704,79,"14:15:12
"
49BA,427,"14:15:12
"
8704,76,"14:15:12
"
49BA,428,"14:15:12
"
8704,77,"14:15:12
"
49BA,428,"14:15:12
"
8704,76,"14:15:12
"
49BA,427,"14:15:12
"
8704,75,"14:15:12
"
49BA,427,"14:15:12
"
8704,76,"14:15:12
"
49BA,428,"14:15:13
"
8704,75,"14:15:13
"
49BA,427,"14:15:13
"
8704,75,"14:15:13
"
49BA,425,"14:15:13
"
8704,73,"14:15:13
"
49BA,428,"14:15:13
"
8704,77,"14:15:13
"
49BA,426,"14:15:13
"
8704,76,"14:15:13
"
49BA,427,"14:15:13
"
8704,73,"14:15:13
"
49BA,428,"14:15:13
"
8704,73,"14:15:13
"
