X;Y;Z
2.0548176586454616;4.068797061407705;-9.60883869090143e-06
2.0548664703892188;4.029715176031147;6.0055353793036995e-06
2.0717373903506098;4.029838759593842;1.4944353883571926e-05
2.0717061266847097;4.049295523761439;-1.2675225749112075e-05
2.066894453681873;4.049155287765019;5.979570288146301e-06
2.0500268236197137;4.049142732023678;-1.4301957343108546e-05
2.0312143912220626;4.048722210366533;-1.5288103512909724e-06
2.0311880943478147;4.07783353099608;1.406942801032913e-06
2.0602763476771124;4.077528443848895;-7.476629640353935e-06
2.0648997671295457;4.077690128235008;-1.698388182934373e-05
2.0648768117861294;4.087313498537779;-2.8786817325181698e-05
2.031486702770198;4.087738854677342;-7.252449213981105e-06
2.045653572597408;4.08819535319881;-1.3523698319582436e-06
2.0457444062258663;3.9904693506041653;-2.88812045889742e-06
2.06280527442947;3.9907379136973566;-1.1829766953668917e-06
2.0394006792412416;3.990501619002402;3.921712154218471e-07
2.03931957449038;4.077538841398272;-1.3146965996656749e-05
2.0266013052676985;4.0777082074666255;-2.0101395694089233e-06
2.0358196973979608;4.07796503939664;-1.0972957891927546e-07
2.035840369796774;4.0585385666332225;7.329151680371002e-07
2.052718165239191;4.058449680699511;-2.2673211952704717e-05
2.0621122500246547;4.05872007250763;1.236222494413946e-05
2.062075282270522;4.078100981875234;6.796154087017672e-06
2.036533519884451;4.078347215181252;6.235453017157126e-06
2.0413042209404764;4.078488967917453;-4.225028668331817e-06
2.0413356805836322;4.04916144657616;-3.966911043621356e-06
2.0500268236197137;4.049142732023678;-1.4301957343108546e-05
2.0266240825927704;4.048632434521946;4.574998969367863e-06
2.0266095263878885;4.068021522513348;3.5773758832260245e-06
2.0308926263019433;4.067972199027764;5.513850046411684e-06
2.0447889163041646;4.068344414065829;7.248027844557611e-07
2.0447889163041646;4.068344414065829;7.248027844557611e-07
2.0405085016463227;4.068380175667713;2.6542134950632516e-06
2.0548176586454616;4.068797061407705;-9.60883869090143e-06
2.0547853037075074;4.088310754488418;6.173260472748749e-06
2.0461078480057777;4.088416228523797;-6.44582419357074e-06
2.027121966315575;4.087812507325432;-7.608032609948012e-06
2.027152308174021;4.0488654286272885;-4.474261540235583e-06
2.022738456573626;4.048896186758855;8.209896017493809e-06
2.022738456573626;4.048896186758855;8.209896017493809e-06
2.022727056880904;4.068403468062454;-7.7913364074191e-06
2.0401118968138525;4.068214068762048;2.6546686475947963e-06
2.04951137865091;4.068481272143152;-6.2620576502987435e-06
2.0494967114421883;4.078204269744844;-8.620703952669064e-06
2.0537317692937616;4.078165622147709;-6.279682428195735e-06
