P5
5.8
5.8
5.77
5.8
5.84
5.82
5.81
5.82
5.84
5.84
5.83
5.83
5.84
5.83
5.78
5.82
5.78
5.79
5.79
5.8
5.8
5.78
5.84
5.83
5.81
5.78
5.79
5.76
5.81
5.82
5.78
5.8
5.85
5.84
5.82
5.84
5.83
5.83
5.86
5.82
5.84
5.79
5.87
5.79
5.85
5.83
5.81
5.84
5.85
5.87
5.86
5.82
5.89
5.86
5.85
5.81
5.89
5.8
5.82
5.86
5.86
5.82
5.84
5.82
5.79
5.82
5.85
5.81
5.87
5.86
5.86
5.82
5.83
5.83
5.85
5.78
5.84
5.88
5.85
5.87
5.8
5.85
5.82
5.87
5.83
5.87
5.85
5.87
5.88
5.87
5.83
5.82
5.83
5.81
5.84
5.87
5.87
5.83
5.87
5.81
5.82
5.81
5.87
5.8
5.83
5.86
5.81
5.82
5.86
5.84
5.84
5.88
5.85
5.82
5.85
5.81
5.82
5.83
5.82
5.82
5.84
5.8
5.83
5.84
5.78
5.85
5.84
5.83
5.86
5.84
5.84
5.92
5.85
5.88
5.85
5.91
5.89
5.88
5.91
5.86
5.94
5.93
5.94
5.96
5.87
5.95
5.92
5.92
5.89
5.87
5.93
5.93
5.92
5.93
5.97
5.92
5.94
5.98
5.99
5.97
5.94
5.94
5.92
5.93
5.91
5.96
5.92
5.92
5.88
5.83
5.96
5.91
5.91
5.9
5.89
5.95
5.91
5.96
5.88
5.88
5.91
5.93
5.95
5.95
5.91
5.94
5.95
5.96
5.94
5.96
5.9
5.96
5.91
5.93
5.92
5.95
5.95
5.94
5.91
5.91
5.93
5.95
5.91
5.87
5.89
5.9
5.89
5.87
5.88
5.87
5.88
5.83
5.85
5.82
5.87
5.88
5.88
5.86
5.88
5.89
5.92
5.87
5.87
5.87
5.87
5.85
5.85
5.81
5.84
5.8
5.87
5.85
5.81
5.9
5.86
5.86
5.87
5.87
5.87
5.85
5.85
5.83
5.77
5.85
5.88
5.83
5.85
5.82
5.83
5.83
5.85
5.84
5.84
5.87
5.86
5.84
5.85
5.84
5.84
5.82
5.84
5.83
5.84
5.85
5.84
5.88
5.86
5.86
5.84
5.87
5.88
5.86
5.86
5.83
5.91
5.86
5.86
5.91
5.9
5.91
5.87
5.88
5.88
5.9
5.9
5.88
5.88
5.88
5.93
5.91
5.9
5.93
5.92
5.91
5.88
5.9
5.91
5.93
5.94
5.88
5.91
5.89
5.91
5.91
5.92
5.91
5.9
5.91
5.87
5.91
5.88
5.88
5.92
5.89
5.89
5.91
5.91
5.87
5.93
5.91
5.89
5.92
5.91
5.88
5.87
5.87
5.85
5.86
5.87
5.89
5.87
5.88
5.9
5.9
5.91
5.92
5.9
5.88
5.88
5.86
5.89
5.91
5.83
5.88
5.85
5.88
5.91
