X;Y;Z
214.7848985366631;535.6028801927605;0.0
214.42535750731838;540.7907271340931;0.0
213.82379124790958;540.461236285449;0.0
214.35863904682267;540.1242926489963;0.0
215.6699819476264;520.2152891326531;0.0
217.35082781682553;520.9990317661302;0.0
161.81019811585776;549.6981059332961;0.0
151.7099443703563;491.68304413010856;0.0
163.83073306196647;496.6289184433258;0.0
176.15322959930577;578.5186840672271;0.0
209.69206718848812;557.3201285680007;0.0
188.8567503315376;544.4582227004942;0.0
176.47746708665633;551.3842814995029;0.0
185.88357313109913;557.9665508121078;0.0
182.9012847750775;519.0570567495482;0.0
223.14207959451596;501.30089907189665;0.0
223.14207959451596;501.30089907189665;0.0
222.50168015588386;509.40873302070617;0.0
219.52532910297342;508.1851782257158;0.0
195.86799386466006;519.4384973295436;0.0
195.47637328967687;494.2781120707884;0.0
197.29960086370588;494.93966069746654;0.0
198.47608602584566;494.51814206906175;0.0
198.6667403296456;529.36262291276;0.0
201.73408078593548;530.9711880843249;0.0
202.0084644735035;492.25308332592033;0.0
200.81447562950206;492.66830744426323;0.0
200.8842840681954;458.84510307048504;0.0
197.8646325125719;458.2543598398233;0.0
203.96327677416937;457.0739503675592;0.0
205.66153145611193;457.4072446432086;0.0
207.85362768547074;456.99195316390797;0.0
206.82591810069096;508.6625331002278;0.0
208.73062917671638;509.4579095921322;0.0
208.10515193600932;509.73800233159506;0.0
207.15403803597303;539.1102558866972;0.0
204.82996918493697;537.833978760753;0.0
208.780300811221;535.5381183789735;0.0
209.57309920931843;515.2809580546642;0.0
212.83117134397017;513.698392796039;0.0
211.11379813185314;512.950093058006;0.0
212.19111690746325;484.78695861782626;0.0
155.18953920593682;504.3612079322761;0.0
155.77927254221822;508.2667088654265;0.0
160.62323181881553;510.8244609909009;0.0
168.51988076116461;557.9365843954728;0.0
218.46366920033304;529.9469645942532;0.0
214.16802960484057;527.8198056979599;0.0
217.09504927328655;529.2702665904746;0.0
177.7900292395108;551.2919691115113;0.0
174.5041344732157;523.1627450553615;0.0
181.44668930680984;520.1503994842799;0.0
181.82260836756888;520.3437406516108;0.0
179.42884161705828;483.78677196892716;0.0
176.99871765025154;483.0280585115307;0.0
180.65461809741578;531.2607779075762;0.0
182.68740965364842;530.2914675045396;0.0
182.68740965364842;530.2914675045396;0.0
187.94091765766427;527.7762853431022;0.0
186.4345960080891;497.00621273429215;0.0
188.82297520743418;497.91426826853404;0.0
191.8600102600487;496.8371887447339;0.0
193.0692780684382;536.8532595755596;0.0
189.03160503435493;534.551348778613;0.0
188.62223579727532;526.4426655501408;0.0
200.65703687157753;520.6374620102222;0.0
200.7405075618476;486.92796412335326;0.0
