TagID,Distance,Timestamp
49BA,115,"154186763
"
49BA,122,"253881763
"
49BA,118,"353569448
"
49BA,118,"554098223
"
49BA,118,"653840234
"
49BA,120,"753416217
"
49BA,116,"854217776
"
49BA,115,"953895605
"
49BA,120,"1053584976
"
49BA,115,"1153303699
"
49BA,115,"1254074204
"
49BA,114,"1353793175
"
49BA,120,"1453374549
"
49BA,121,"1554230755
"
49BA,121,"1653937342
"
49BA,120,"1753471785
"
49BA,123,"1853335846
"
49BA,116,"2053763497
"
49BA,118,"2153398596
"
49BA,116,"2254192320
"
49BA,116,"2353882130
"
49BA,119,"2454639903
"
49BA,114,"2553279616
"
49BA,118,"2653992366
"
49BA,119,"2753619279
"
49BA,120,"2853411837
"
49BA,115,"2953167904
"
49BA,118,"3053795217
"
49BA,113,"3153536438
"
49BA,116,"3253236191
"
49BA,117,"3353974814
"
49BA,118,"3453624381
"
49BA,119,"3553405468
"
49BA,119,"3653055900
"
49BA,116,"3753742698
"
49BA,120,"3853412906
"
49BA,117,"3953214868
"
49BA,113,"4052930351
"
49BA,116,"4154664473
"
49BA,118,"4253193158
"
49BA,120,"4353001686
"
49BA,121,"4653094347
"
49BA,120,"4752807755
"
49BA,114,"4853382577
"
49BA,116,"4953208606
"
49BA,118,"5052942064
"
49BA,121,"5151635254
"
49BA,121,"5253360915
"
49BA,120,"5353063234
"
49BA,116,"5452765186
"
49BA,119,"5552483138
"
49BA,120,"5653190471
"
49BA,119,"5752796650
"
49BA,119,"5852648507
"
49BA,116,"5953235874
"
49BA,116,"6053070262
"
49BA,118,"6152741861
"
49BA,120,"6252441824
"
49BA,119,"6452893254
"
49BA,118,"6552567045
"
49BA,118,"6653272991
"
49BA,118,"6752995552
"
49BA,117,"6852684570
"
49BA,119,"6952383278
"
49BA,119,"7053114734
"
49BA,120,"7152790928
"
49BA,118,"7252505573
"
49BA,120,"7452964433
"
49BA,120,"7552699154
"
49BA,120,"7652337530
"
49BA,119,"7753083958
"
49BA,116,"7852788406
"
49BA,120,"7952468018
"
49BA,118,"8052174181
"
49BA,121,"8152891135
"
49BA,120,"8252616716
"
49BA,120,"8352322313
"
49BA,121,"8452021306
"
49BA,114,"8652435643
"
49BA,121,"8751699421
"
49BA,121,"8852883418
"
49BA,118,"8952555638
"
49BA,117,"9052271497
"
49BA,121,"9151967222
"
49BA,120,"9252753839
"
49BA,119,"9352411436
"
49BA,115,"9452103506
"
49BA,118,"9551806307
"
49BA,121,"9652538072
"
49BA,119,"9752267212
"
49BA,119,"9952662224
"
49BA,118,"10052367997
"
49BA,113,"10152091734
"
49BA,117,"10251790149
"
49BA,115,"10352478222
"
49BA,120,"10452217419
"
49BA,118,"10551904013
"
49BA,119,"10651631570
"
49BA,122,"10752338432
"
49BA,120,"10852044744
"
49BA,119,"10951806342
"
49BA,118,"11052451146
"
49BA,120,"11152184948
"
49BA,118,"11251875421
"
49BA,113,"11452296862
"
49BA,117,"11551999923
"
49BA,116,"11651705756
"
49BA,120,"11751404789
"
49BA,116,"11852137063
"
49BA,114,"11951825108
"
49BA,119,"12051544366
"
49BA,118,"12152249521
"
49BA,116,"12251974077
"
49BA,119,"12351660369
"
49BA,121,"12451373159
"
49BA,119,"12552153510
"
49BA,116,"12651913233
"
49BA,120,"12751542916
"
49BA,119,"12851277026
"
49BA,118,"12951960924
"
49BA,117,"13051675788
"
49BA,118,"13151372503
"
49BA,115,"13251096065
"
49BA,116,"13351805939
"
49BA,120,"13451504815
"
49BA,117,"13551196548
"
49BA,118,"13651961355
"
49BA,117,"13751660946
"
49BA,119,"13851239595
"
49BA,119,"13951052594
"
49BA,115,"14051778845
"
49BA,117,"14151490539
"
49BA,121,"14251035378
"
49BA,115,"14350816872
"
49BA,118,"14451563679
"
49BA,112,"14551301293
"
49BA,117,"14651054087
"
49BA,120,"14751722332
"
49BA,120,"14851438629
"
49BA,118,"14951135460
"
49BA,119,"15050836940
"
49BA,116,"15151556371
"
49BA,117,"15251238481
"
49BA,118,"15350983800
"
49BA,118,"15450669001
"
49BA,121,"15551358049
"
49BA,118,"15651065539
"
49BA,116,"15750762345
"
49BA,114,"15851531275
"
49BA,117,"15951195886
"
49BA,116,"16050933629
"
49BA,122,"16150551593
"
49BA,120,"16251338964
"
49BA,117,"16351050531
"
49BA,119,"16450761395
"
49BA,120,"16551453218
"
49BA,121,"16651168558
"
49BA,117,"16750905349
"
49BA,118,"16850602968
"
49BA,120,"16951279886
"
49BA,118,"17051040515
"
49BA,115,"17150696727
"
49BA,121,"17250439245
"
49BA,116,"17351128571
"
49BA,118,"17450845948
"
49BA,119,"17549560259
"
49BA,118,"17651241475
"
49BA,117,"17750968632
"
49BA,118,"17850652773
"
49BA,116,"17950360453
"
49BA,119,"18051121860
"
49BA,117,"18150801595
"
49BA,116,"18250505799
"
49BA,113,"18350195946
"
49BA,115,"18450941984
"
49BA,120,"18650331680
"
49BA,120,"18751073989
"
49BA,120,"18850736327
"
49BA,119,"18950470681
"
49BA,116,"19050189407
"
49BA,119,"19150874127
"
49BA,118,"19250434255
"
49BA,119,"19350209145
"
49BA,120,"19449920846
"
49BA,119,"19550645095
"
49BA,119,"19650317096
"
49BA,121,"19750029938
"
49BA,121,"19850774831
"
49BA,121,"19950494229
"
49BA,115,"20050177575
"
49BA,117,"20149877273
"
49BA,120,"20250621455
"
49BA,120,"20350299102
"
49BA,118,"20452064029
"
49BA,119,"20549720236
"
49BA,119,"20650428612
"
49BA,119,"20750149417
"
49BA,115,"20849870111
"
49BA,119,"20950552011
"
49BA,119,"21050281758
"
49BA,115,"21249643101
"
49BA,116,"21350417841
"
49BA,119,"21450133814
"
49BA,120,"21549821501
"
49BA,118,"21649551095
"
49BA,119,"21750227105
"
49BA,119,"21849982178
"
49BA,117,"21949661245
"
49BA,119,"22050362326
"
49BA,118,"22151123470
"
49BA,120,"22349510927
"
49BA,118,"22450215998
"
49BA,120,"22549915645
"
49BA,120,"22649621243
"
49BA,121,"22749277967
"
49BA,117,"22850063164
"
49BA,120,"22949780034
"
49BA,115,"23049476915
"
49BA,120,"23150155013
"
49BA,120,"23249823716
"
49BA,113,"23349467287
"
49BA,119,"23449297421
"
49BA,120,"23550013181
"
49BA,116,"23649607864
"
49BA,120,"23749308685
"
49BA,121,"23849162579
"
49BA,118,"23949839714
"
49BA,119,"24049369718
"
49BA,120,"24149242730
"
49BA,118,"24248988103
"
49BA,120,"24349689894
"
49BA,117,"24449382260
"
49BA,119,"24549083418
"
49BA,117,"24649784324
"
49BA,119,"24749399252
"
49BA,119,"24849221875
"
49BA,120,"25049640648
"
49BA,121,"25149313458
"
49BA,117,"25249074504
"
49BA,118,"25349760709
"
49BA,116,"25449460656
"
49BA,116,"25648903318
"
49BA,115,"25749524551
"
49BA,118,"25849300673
"
49BA,119,"25949023017
"
49BA,112,"26048712575
"
49BA,116,"26149434717
"
49BA,119,"26249181115
"
49BA,117,"26348828252
"
49BA,120,"26549259004
"
49BA,119,"26649001143
"
49BA,119,"26748682218
"
49BA,121,"26949114552
"
49BA,120,"27048815601
"
49BA,119,"27249235345
"
49BA,116,"27348955651
"
49BA,115,"27448615105
"
49BA,118,"27549344578
"
49BA,115,"27649074003
"
49BA,119,"27748756608
"
49BA,117,"27848526311
"
49BA,119,"27949171430
"
49BA,114,"28048915696
"
49BA,116,"28148650662
"
49BA,112,"28248372787
"
49BA,119,"28349065798
"
49BA,118,"28448777950
"
49BA,115,"28548471922
"
49BA,119,"28649176781
"
49BA,120,"28748948005
"
49BA,118,"28848612414
"
49BA,120,"28948369102
"
49BA,116,"29049071015
"
49BA,117,"29148745918
"
49BA,118,"29248463886
"
49BA,117,"29348159219
"
49BA,119,"29448881573
"
49BA,119,"29548571099
"
49BA,118,"29648281654
"
49BA,119,"29749009583
"
49BA,120,"29848727683
"
49BA,116,"29948394093
"
49BA,116,"30048097789
"
49BA,121,"30148825074
"
49BA,120,"30248558457
"
49BA,120,"30348222398
"
49BA,119,"30447945038
"
49BA,115,"30548681221
"
49BA,118,"30648424576
"
49BA,117,"30748075827
"
49BA,117,"30848776692
"
49BA,114,"31048204696
"
49BA,116,"31147911743
"
49BA,116,"31248608213
"
49BA,119,"31348341948
"
49BA,119,"31448050190
"
49BA,119,"31547753327
"
49BA,119,"31648444612
"
49BA,119,"31748157167
"
49BA,114,"31847857147
"
49BA,119,"31948585683
"
49BA,113,"32048274897
"
49BA,119,"32147992690
"
49BA,118,"32247701982
"
49BA,121,"32350467337
"
49BA,117,"32448132173
"
49BA,116,"32547844242
"
49BA,116,"32748260071
"
49BA,121,"32947663721
"
49BA,119,"33048406736
"
49BA,118,"33148082149
"
49BA,120,"33247794153
"
49BA,118,"33347507482
"
49BA,119,"33448204590
"
49BA,116,"33547904673
"
49BA,121,"33647626139
"
49BA,117,"33747322503
"
49BA,120,"33848040595
"
49BA,116,"33947725546
"
49BA,120,"34047434495
"
49BA,120,"34148168057
"
49BA,120,"34347588448
"
49BA,120,"34447280730
"
49BA,119,"34548018322
"
49BA,120,"34647711544
"
49BA,118,"34847127019
"
49BA,119,"34947852867
"
49BA,119,"35047551175
"
49BA,120,"35147234488
"
49BA,114,"35247915645
"
49BA,120,"35347589815
"
49BA,116,"35447314864
"
49BA,116,"35547032904
"
49BA,115,"35647737906
"
49BA,119,"35747435719
"
49BA,120,"35847159352
"
49BA,114,"36047553608
"
49BA,120,"36147182093
"
49BA,118,"36247026006
"
49BA,117,"36347740504
"
49BA,118,"36447463446
"
49BA,118,"36547162310
"
49BA,122,"36646868328
"
49BA,119,"36747597913
"
49BA,119,"36847295709
"
49BA,119,"37046701472
"
49BA,119,"37147430096
"
49BA,119,"37247108976
"
49BA,122,"37346845546
"
49BA,115,"37446534671
"
49BA,119,"37646904423
"
49BA,120,"37746618477
"
49BA,116,"37847312207
"
49BA,115,"37947082129
"
49BA,120,"38046801230
"
49BA,120,"38146493104
"
49BA,116,"38247171068
"
49BA,116,"38346925339
"
49BA,119,"38445649085
"
49BA,121,"38547285897
"
49BA,121,"38647044227
"
49BA,113,"38746801887
"
49BA,118,"38846476092
"
49BA,119,"38947180914
"
49BA,116,"39046884525
"
49BA,119,"39146573268
"
49BA,117,"39246281476
"
49BA,121,"39446705709
"
49BA,118,"39546419693
"
49BA,121,"39647110332
"
49BA,117,"39746706650
"
49BA,118,"39846579516
"
49BA,117,"39946262097
"
49BA,119,"40046965203
"
49BA,117,"40147677353
"
49BA,121,"40246312820
"
49BA,119,"40346105627
"
49BA,119,"40446807204
"
49BA,120,"40546394529
"
49BA,118,"40645193812
"
49BA,120,"40746903015
"
49BA,120,"40846621530
"
49BA,119,"40946298137
"
49BA,121,"41046028735
"
49BA,119,"41146774526
"
49BA,116,"41246410098
"
49BA,116,"41346144575
"
49BA,119,"41445853492
"
49BA,120,"41546581876
"
49BA,116,"41646310905
"
49BA,119,"41745859475
"
49BA,118,"41846679739
"
49BA,118,"41946353835
"
49BA,115,"42046059695
"
49BA,118,"42145778641
"
49BA,121,"42246456348
"
49BA,116,"42346198759
"
49BA,121,"42445880691
"
49BA,121,"42545675270
"
49BA,118,"42646379095
"
49BA,114,"42746078048
"
49BA,118,"42844759419
"
49BA,119,"42946505691
"
49BA,121,"43046223408
"
49BA,119,"43145913580
"
49BA,119,"43245397975
"
49BA,115,"43346254116
"
49BA,118,"43445982355
"
49BA,116,"43545719810
"
49BA,119,"43645370637
"
49BA,114,"43746094291
"
49BA,116,"43845818997
"
49BA,120,"43945339198
"
49BA,116,"44046223417
"
49BA,121,"44145934977
"
49BA,116,"44245644907
"
49BA,120,"44345196390
"
49BA,121,"44446058329
"
49BA,118,"44545709863
"
49BA,119,"44645461625
"
49BA,117,"44745178379
"
49BA,119,"44845895131
"
49BA,121,"44945595436
"
49BA,119,"45044286306
"
49BA,119,"45146020659
"
49BA,121,"45245761132
"
49BA,120,"45345356265
"
49BA,119,"45445128689
"
49BA,115,"45545834849
"
49BA,121,"45645560267
"
49BA,119,"45745248987
"
49BA,119,"45844941131
"
49BA,120,"45945661053
"
49BA,117,"46045379294
"
49BA,119,"46145109840
"
49BA,116,"46245725202
"
49BA,118,"46345389590
"
49BA,120,"46445205054
"
49BA,120,"46544956362
"
49BA,119,"46645626798
"
49BA,118,"46745357680
"
49BA,115,"46845017176
"
49BA,120,"46944814359
"
49BA,117,"47045486912
"
49BA,113,"47145177935
"
49BA,116,"47243884822
"
49BA,119,"47345602277
"
49BA,120,"47445299557
"
49BA,119,"47644722122
"
49BA,114,"47745442036
"
49BA,116,"47845131352
"
49BA,121,"47944893254
"
49BA,118,"48044564972
"
49BA,121,"48145248856
"
49BA,118,"48244992943
"
49BA,121,"48344748462
"
49BA,120,"48545176795
"
49BA,119,"48646925375
"
49BA,119,"48744597809
"
49BA,117,"48945030890
"
49BA,121,"49044705644
"
49BA,120,"49245164609
"
49BA,116,"49344877294
"
49BA,118,"49444538965
"
49BA,119,"49545274909
"
49BA,118,"49644995085
"
49BA,120,"49744659427
"
49BA,120,"49844382215
"
49BA,119,"49945080293
"
49BA,116,"50044820414
"
49BA,121,"50144499508
"
49BA,118,"50244196088
"
49BA,118,"50345985618
"
49BA,120,"50444614021
"
49BA,121,"50544347265
"
49BA,119,"50645056547
"
49BA,118,"50744742241
"
49BA,119,"50844474611
"
49BA,118,"50944173810
"
49BA,120,"51044939196
"
49BA,114,"51144616634
"
49BA,115,"51244308364
"
49BA,120,"51344007785
"
49BA,115,"51444703889
"
49BA,113,"51544446965
"
49BA,118,"51644147315
"
49BA,116,"51744835614
"
49BA,116,"51844584729
"
49BA,120,"51944276664
"
49BA,119,"52043952502
"
49BA,119,"52144674363
"
49BA,118,"52244367834
"
49BA,121,"52344117546
"
49BA,116,"52443795025
"
49BA,117,"52544485034
"
49BA,116,"52644199298
"
49BA,118,"52743899118
"
49BA,117,"52844575342
"
49BA,113,"52944328854
"
49BA,120,"53044025512
"
49BA,118,"53143730857
"
49BA,120,"53244440492
"
49BA,118,"53344152782
"
49BA,118,"53443852423
"
49BA,119,"53543564066
"
49BA,117,"53644304667
"
49BA,118,"53743993166
"
49BA,120,"53843703769
"
49BA,118,"53944381609
"
49BA,115,"54044122847
"
49BA,116,"54143816619
"
49BA,116,"54243549400
"
49BA,116,"54344241430
"
49BA,115,"54443937782
"
49BA,121,"54543666532
"
49BA,119,"54643365259
"
49BA,118,"54744073320
"
49BA,114,"54843762308
"
49BA,114,"54943482059
"
