Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM;ERRO LS;ERRO_DWM
P3[13.00,0.00,0.00]=6.87;P1[0.00,0.00,0.00]=6.33;P2[8.00,2.40,0.00]=2.31;null;[6.22, 1.04, 0.0];[6.04,1.01,0.43];19:09:24.822;6.04;1.01;6.22;1.04;5.92;1.40;-0.3;0.36;-0.12;0.39;0.47;0.41
P3[13.00,0.00,0.00]=7.02;P1[0.00,0.00,0.00]=6.16;P2[8.00,2.40,0.00]=2.35;null;[6.06, 1.07, 0.13];[6.04,1.03,0.28];19:09:25.125;6.04;1.03;6.06;1.07;5.92;1.40;-0.14;0.33;-0.12;0.37;0.36;0.39
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.04;P3[13.00,0.00,0.00]=7.27;null;[5.88, 1.5, 0.0];[6.00,1.22,0.30];19:09:25.325;6.00;1.22;5.88;1.5;5.92;1.40;0.04;-0.1;-0.08;0.18;0.11;0.2
P2[8.00,2.40,0.00]=2.20;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=6.96;null;[6.09, 1.01, 0.0];[6.02,1.23,0.36];19:09:25.425;6.02;1.23;6.09;1.01;5.92;1.40;-0.17;0.39;-0.1;0.17;0.43;0.2
P2[8.00,2.40,0.00]=2.28;P1[0.00,0.00,0.00]=5.98;P8[5.90,10.00,0.00]=8.79;null;[5.88, 1.21, 0.0];[6.03,1.18,0.09];19:09:25.526;6.03;1.18;5.88;1.21;5.92;1.40;0.04;0.19;-0.11;0.22;0.19;0.25
P2[8.00,2.40,0.00]=2.25;P1[0.00,0.00,0.00]=5.85;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.71;[5.96, 1.25, 0.0];[6.00,1.18,0.18];19:09:25.629;6.00;1.18;5.96;1.25;5.92;1.40;-0.04;0.15;-0.08;0.22;0.16;0.23
P2[8.00,2.40,0.00]=2.27;P1[0.00,0.00,0.00]=5.82;P3[13.00,0.00,0.00]=7.10;P8[5.90,10.00,0.00]=8.64;[5.89, 1.32, 0.0];[5.96,1.22,0.27];19:09:25.729;5.96;1.22;5.89;1.32;5.92;1.40;0.03;0.08;-0.04;0.18;0.09;0.18
P2[8.00,2.40,0.00]=2.26;P1[0.00,0.00,0.00]=5.97;P8[5.90,10.00,0.00]=8.68;null;[5.84, 1.32, 0.0];[5.98,1.20,0.02];19:09:25.825;5.98;1.20;5.84;1.32;5.92;1.40;0.08;0.08;-0.06;0.2;0.11;0.21
P2[8.00,2.40,0.00]=2.29;P1[0.00,0.00,0.00]=6.02;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.71;[5.98, 1.27, 0.0];[5.98,1.22,0.15];19:09:25.928;5.98;1.22;5.98;1.27;5.92;1.40;-0.06;0.13;-0.06;0.18;0.14;0.19
P2[8.00,2.40,0.00]=2.23;P1[0.00,0.00,0.00]=6.22;P3[13.00,0.00,0.00]=7.17;P8[5.90,10.00,0.00]=8.80;[6.01, 1.22, 0.0];[6.03,1.20,-0.07];19:09:26.030;6.03;1.20;6.01;1.22;5.92;1.40;-0.09;0.18;-0.11;0.2;0.2;0.23
P2[8.00,2.40,0.00]=2.22;P1[0.00,0.00,0.00]=5.97;P3[13.00,0.00,0.00]=7.08;P8[5.90,10.00,0.00]=8.82;[5.96, 1.17, 0.0];[6.04,1.15,-0.15];19:09:26.130;6.04;1.15;5.96;1.17;5.92;1.40;-0.04;0.23;-0.12;0.25;0.23;0.28
P2[8.00,2.40,0.00]=2.31;P1[0.00,0.00,0.00]=6.28;P3[13.00,0.00,0.00]=6.96;P8[5.90,10.00,0.00]=8.76;[6.15, 1.24, 0.0];[6.06,1.18,-0.28];19:09:26.227;6.06;1.18;6.15;1.24;5.92;1.40;-0.23;0.16;-0.14;0.22;0.28;0.26
