Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM;ERRO LS;ERRO_DWM
P8[5.90,10.00,0.00]=5.07;P7[2.90,24.00,0.00]=10.67;P1[0.00,0.00,0.00]=13.30;null;[1.95, 13.24, 0.0];[1.87,13.33,0.79];19:24:01.579;1.87;13.33;1.95;13.24;2;13.39;0.05;0.15;0.13;0.06;0.16;0.14
P8[5.90,10.00,0.00]=5.11;P7[2.90,24.00,0.00]=10.68;P1[0.00,0.00,0.00]=13.29;null;[1.9, 13.24, 0.0];[1.89,13.31,0.96];19:24:01.580;1.89;13.31;1.9;13.24;2;13.39;0.1;0.15;0.11;0.08;0.18;0.14
P8[5.90,10.00,0.00]=5.04;P7[2.90,24.00,0.00]=10.53;P1[0.00,0.00,0.00]=13.34;null;[2.01, 13.31, 0.0];[1.92,13.32,0.96];19:24:01.581;1.92;13.32;2.01;13.31;2;13.39;-0.01;0.08;0.08;0.07;0.08;0.11
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.57;P1[0.00,0.00,0.00]=13.41;null;[2.1, 13.33, 0.0];[1.99,13.33,1.09];19:24:01.581;1.99;13.33;2.1;13.33;2;13.39;-0.1;0.06;0.01;0.06;0.12;0.06
P8[5.90,10.00,0.00]=5.04;P7[2.90,24.00,0.00]=10.62;P1[0.00,0.00,0.00]=13.33;null;[2.0, 13.27, 0.0];[2.01,13.32,1.16];19:24:01.581;2.01;13.32;2.0;13.27;2;13.39;0.0;0.12;-0.01;0.07;0.12;0.07
P8[5.90,10.00,0.00]=5.08;P7[2.90,24.00,0.00]=10.56;P1[0.00,0.00,0.00]=13.35;null;[1.97, 13.31, 0.0];[2.01,13.33,1.16];19:24:01.582;2.01;13.33;1.97;13.31;2;13.39;0.03;0.08;-0.01;0.06;0.09;0.06
P8[5.90,10.00,0.00]=5.10;P7[2.90,24.00,0.00]=10.55;P1[0.00,0.00,0.00]=13.36;null;[1.96, 13.32, 0.0];[2.00,13.34,1.17];19:24:01.582;2.00;13.34;1.96;13.32;2;13.39;0.04;0.07;0.0;0.05;0.08;0.05
P8[5.90,10.00,0.00]=5.09;P7[2.90,24.00,0.00]=10.55;P1[0.00,0.00,0.00]=13.35;null;[1.97, 13.31, 0.0];[2.00,13.34,1.17];19:24:01.583;2.00;13.34;1.97;13.31;2;13.39;0.03;0.08;0.0;0.05;0.09;0.05
P8[5.90,10.00,0.00]=5.08;P7[2.90,24.00,0.00]=10.62;P1[0.00,0.00,0.00]=13.35;null;[1.97, 13.29, 0.0];[2.01,13.33,1.24];19:24:01.583;2.01;13.33;1.97;13.29;2;13.39;0.03;0.1;-0.01;0.06;0.1;0.06
P8[5.90,10.00,0.00]=5.08;P7[2.90,24.00,0.00]=10.58;P1[0.00,0.00,0.00]=13.38;null;[1.99, 13.32, 0.0];[2.03,13.34,1.29];19:24:01.583;2.03;13.34;1.99;13.32;2;13.39;0.01;0.07;-0.03;0.05;0.07;0.06
P8[5.90,10.00,0.00]=5.10;P7[2.90,24.00,0.00]=10.57;P1[0.00,0.00,0.00]=13.33;null;[1.94, 13.3, 0.0];[2.01,13.34,1.26];19:24:01.583;2.01;13.34;1.94;13.3;2;13.39;0.06;0.09;-0.01;0.05;0.11;0.05
P8[5.90,10.00,0.00]=5.07;P7[2.90,24.00,0.00]=10.60;P1[0.00,0.00,0.00]=13.35;null;[1.98, 13.29, 0.0];[2.02,13.33,1.29];19:24:01.583;2.02;13.33;1.98;13.29;2;13.39;0.02;0.1;-0.02;0.06;0.1;0.06
P8[5.90,10.00,0.00]=5.08;P7[2.90,24.00,0.00]=10.64;P1[0.00,0.00,0.00]=13.31;null;[1.95, 13.26, 0.0];[2.02,13.32,1.31];19:24:01.584;2.02;13.32;1.95;13.26;2;13.39;0.05;0.13;-0.02;0.07;0.14;0.07
P8[5.90,10.00,0.00]=5.03;P7[2.90,24.00,0.00]=10.61;P1[0.00,0.00,0.00]=13.39;null;[2.05, 13.31, 0.0];[2.02,13.33,1.10];19:24:01.584;2.02;13.33;2.05;13.31;2;13.39;-0.05;0.08;-0.02;0.06;0.09;0.06
P8[5.90,10.00,0.00]=5.04;P7[2.90,24.00,0.00]=10.66;P1[0.00,0.00,0.00]=13.31;null;[1.99, 13.25, 0.0];[2.04,13.31,1.19];19:24:01.736;2.04;13.31;1.99;13.25;2;13.39;0.01;0.14;-0.04;0.08;0.14;0.09
P8[5.90,10.00,0.00]=5.01;P7[2.90,24.00,0.00]=10.68;P1[0.00,0.00,0.00]=13.30;null;[2.01, 13.23, 0.0];[2.06,13.30,1.27];19:24:02.236;2.06;13.30;2.01;13.23;2;13.39;-0.01;0.16;-0.06;0.09;0.16;0.11
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.57;P1[0.00,0.00,0.00]=13.33;null;[2.05, 13.28, 0.0];[2.06,13.30,1.24];19:24:04.735;2.06;13.30;2.05;13.28;2;13.39;-0.05;0.11;-0.06;0.09;0.12;0.11
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.25;null;[2.0, 13.22, 0.0];[2.05,13.29,1.20];19:24:04.935;2.05;13.29;2.0;13.22;2;13.39;0.0;0.17;-0.05;0.1;0.17;0.11
P8[5.90,10.00,0.00]=4.98;P7[2.90,24.00,0.00]=10.57;P1[0.00,0.00,0.00]=13.26;null;[2.02, 13.24, 0.0];[2.03,13.29,1.09];19:24:05.036;2.03;13.29;2.02;13.24;2;13.39;-0.02;0.15;-0.03;0.1;0.15;0.1
P8[5.90,10.00,0.00]=4.94;P7[2.90,24.00,0.00]=10.59;P1[0.00,0.00,0.00]=13.29;null;[2.07, 13.25, 0.0];[2.04,13.29,1.07];19:24:05.135;2.04;13.29;2.07;13.25;2;13.39;-0.07;0.14;-0.04;0.1;0.16;0.11
P8[5.90,10.00,0.00]=4.95;P7[2.90,24.00,0.00]=10.55;P1[0.00,0.00,0.00]=13.24;null;[2.03, 13.24, 0.0];[2.02,13.29,0.89];19:24:05.235;2.02;13.29;2.03;13.24;2;13.39;-0.03;0.15;-0.02;0.1;0.15;0.1
P8[5.90,10.00,0.00]=5.01;P7[2.90,24.00,0.00]=10.65;P1[0.00,0.00,0.00]=13.26;null;[1.99, 13.22, 0.0];[2.02,13.28,0.96];19:24:05.336;2.02;13.28;1.99;13.22;2;13.39;0.01;0.17;-0.02;0.11;0.17;0.11
P8[5.90,10.00,0.00]=4.98;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.33;null;[2.06, 13.26, 0.0];[2.05,13.28,1.06];19:24:05.436;2.05;13.28;2.06;13.26;2;13.39;-0.06;0.13;-0.05;0.11;0.14;0.12
P8[5.90,10.00,0.00]=4.96;P7[2.90,24.00,0.00]=10.57;P1[0.00,0.00,0.00]=13.36;null;[2.1, 13.29, 0.0];[2.07,13.30,1.10];19:24:05.535;2.07;13.30;2.1;13.29;2;13.39;-0.1;0.1;-0.07;0.09;0.14;0.11
P8[5.90,10.00,0.00]=5.01;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.35;null;[2.04, 13.27, 0.0];[2.09,13.30,1.19];19:24:05.635;2.09;13.30;2.04;13.27;2;13.39;-0.04;0.12;-0.09;0.09;0.13;0.13
P8[5.90,10.00,0.00]=4.97;P7[2.90,24.00,0.00]=10.59;P1[0.00,0.00,0.00]=13.29;null;[2.04, 13.25, 0.0];[2.08,13.30,1.15];19:24:05.736;2.08;13.30;2.04;13.25;2;13.39;-0.04;0.14;-0.08;0.09;0.15;0.12
P8[5.90,10.00,0.00]=5.00;P7[2.90,24.00,0.00]=10.65;P1[0.00,0.00,0.00]=13.29;null;[2.01, 13.23, 0.0];[2.08,13.29,1.19];19:24:05.836;2.08;13.29;2.01;13.23;2;13.39;-0.01;0.16;-0.08;0.1;0.16;0.13
P8[5.90,10.00,0.00]=4.97;P7[2.90,24.00,0.00]=10.60;P1[0.00,0.00,0.00]=13.26;null;[2.02, 13.23, 0.0];[2.06,13.29,1.13];19:24:05.935;2.06;13.29;2.02;13.23;2;13.39;-0.02;0.16;-0.06;0.1;0.16;0.12
P8[5.90,10.00,0.00]=4.98;P7[2.90,24.00,0.00]=10.72;P1[0.00,0.00,0.00]=13.31;null;[2.04, 13.21, 0.0];[2.06,13.27,1.02];19:24:07.335;2.06;13.27;2.04;13.21;2;13.39;-0.04;0.18;-0.06;0.12;0.18;0.13
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.66;P1[0.00,0.00,0.00]=13.33;null;[2.05, 13.25, 0.0];[2.05,13.27,0.82];19:24:07.435;2.05;13.27;2.05;13.25;2;13.39;-0.05;0.14;-0.05;0.12;0.15;0.13
P8[5.90,10.00,0.00]=4.97;P7[2.90,24.00,0.00]=10.61;P1[0.00,0.00,0.00]=13.26;null;[2.02, 13.23, 0.0];[2.04,13.27,0.86];19:24:07.536;2.04;13.27;2.02;13.23;2;13.39;-0.02;0.16;-0.04;0.12;0.16;0.13
P8[5.90,10.00,0.00]=4.97;P7[2.90,24.00,0.00]=10.69;P1[0.00,0.00,0.00]=13.29;null;[2.04, 13.21, 0.0];[2.06,13.26,1.00];19:24:07.635;2.06;13.26;2.04;13.21;2;13.39;-0.04;0.18;-0.06;0.13;0.18;0.14
P8[5.90,10.00,0.00]=4.97;P7[2.90,24.00,0.00]=10.69;P1[0.00,0.00,0.00]=13.18;null;[1.98, 13.16, 0.0];[2.04,13.25,1.01];19:24:08.136;2.04;13.25;1.98;13.16;2;13.39;0.02;0.23;-0.04;0.14;0.23;0.15
P8[5.90,10.00,0.00]=4.95;P7[2.90,24.00,0.00]=10.66;P1[0.00,0.00,0.00]=13.21;null;[2.01, 13.18, 0.0];[2.03,13.24,1.00];19:24:08.236;2.03;13.24;2.01;13.18;2;13.39;-0.01;0.21;-0.03;0.15;0.21;0.15
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.17;null;[1.93, 13.18, 0.0];[1.98,13.24,0.87];19:24:08.635;1.98;13.24;1.93;13.18;2;13.39;0.07;0.21;0.02;0.15;0.22;0.15
P8[5.90,10.00,0.00]=5.04;P7[2.90,24.00,0.00]=10.73;P1[0.00,0.00,0.00]=13.20;null;[1.92, 13.16, 0.0];[1.98,13.23,0.98];19:24:09.236;1.98;13.23;1.92;13.16;2;13.39;0.08;0.23;0.02;0.16;0.24;0.16
P8[5.90,10.00,0.00]=5.00;P7[2.90,24.00,0.00]=10.65;P1[0.00,0.00,0.00]=13.14;null;[1.93, 13.15, 0.0];[1.94,13.22,0.85];19:24:09.336;1.94;13.22;1.93;13.15;2;13.39;0.07;0.24;0.06;0.17;0.25;0.18
P8[5.90,10.00,0.00]=4.96;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.26;null;[2.03, 13.22, 0.0];[1.97,13.23,0.91];19:24:09.735;1.97;13.23;2.03;13.22;2;13.39;-0.03;0.17;0.03;0.16;0.17;0.16
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.66;P1[0.00,0.00,0.00]=13.11;null;[1.89, 13.14, 0.0];[1.96,13.22,1.06];19:24:11.536;1.96;13.22;1.89;13.14;2;13.39;0.11;0.25;0.04;0.17;0.27;0.17
P8[5.90,10.00,0.00]=5.04;P7[2.90,24.00,0.00]=10.66;P1[0.00,0.00,0.00]=13.22;null;[1.93, 13.2, 0.0];[1.95,13.22,1.07];19:24:12.436;1.95;13.22;1.93;13.2;2;13.39;0.07;0.19;0.05;0.17;0.2;0.18
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.70;P1[0.00,0.00,0.00]=13.26;null;[1.97, 13.2, 0.0];[1.98,13.22,1.16];19:24:12.735;1.98;13.22;1.97;13.2;2;13.39;0.03;0.19;0.02;0.17;0.19;0.17
P8[5.90,10.00,0.00]=5.08;P7[2.90,24.00,0.00]=10.72;P1[0.00,0.00,0.00]=13.24;null;[1.9, 13.19, 0.0];[1.98,13.22,1.24];19:24:12.836;1.98;13.22;1.9;13.19;2;13.39;0.1;0.2;0.02;0.17;0.22;0.17
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.61;P1[0.00,0.00,0.00]=13.26;null;[1.98, 13.23, 0.0];[1.97,13.24,1.18];19:24:12.936;1.97;13.24;1.98;13.23;2;13.39;0.02;0.16;0.03;0.15;0.16;0.15
P8[5.90,10.00,0.00]=5.07;P7[2.90,24.00,0.00]=10.57;P1[0.00,0.00,0.00]=13.22;null;[1.91, 13.23, 0.0];[1.93,13.25,1.01];19:24:13.035;1.93;13.25;1.91;13.23;2;13.39;0.09;0.16;0.07;0.14;0.18;0.16
P8[5.90,10.00,0.00]=5.05;P7[2.90,24.00,0.00]=10.59;P1[0.00,0.00,0.00]=13.23;null;[1.93, 13.23, 0.0];[1.92,13.26,0.94];19:24:13.136;1.92;13.26;1.93;13.23;2;13.39;0.07;0.16;0.08;0.13;0.17;0.15
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.58;P1[0.00,0.00,0.00]=13.25;null;[1.97, 13.24, 0.0];[1.92,13.27,0.90];19:24:13.236;1.92;13.27;1.97;13.24;2;13.39;0.03;0.15;0.08;0.12;0.15;0.14
P8[5.90,10.00,0.00]=5.01;P7[2.90,24.00,0.00]=10.66;P1[0.00,0.00,0.00]=13.25;null;[1.98, 13.21, 0.0];[1.94,13.26,0.98];19:24:13.335;1.94;13.26;1.98;13.21;2;13.39;0.02;0.18;0.06;0.13;0.18;0.14
P8[5.90,10.00,0.00]=5.04;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.18;null;[1.91, 13.19, 0.0];[1.91,13.25,0.89];19:24:13.435;1.91;13.25;1.91;13.19;2;13.39;0.09;0.2;0.09;0.14;0.22;0.17
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.69;P1[0.00,0.00,0.00]=13.17;null;[1.92, 13.16, 0.0];[1.91,13.24,0.91];19:24:13.536;1.91;13.24;1.92;13.16;2;13.39;0.08;0.23;0.09;0.15;0.24;0.17
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.61;P1[0.00,0.00,0.00]=13.28;null;[1.99, 13.25, 0.0];[1.93,13.25,0.95];19:24:13.635;1.93;13.25;1.99;13.25;2;13.39;0.01;0.14;0.07;0.14;0.14;0.16
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.61;P1[0.00,0.00,0.00]=13.20;null;[1.97, 13.2, 0.0];[1.92,13.25,0.85];19:24:13.735;1.92;13.25;1.97;13.2;2;13.39;0.03;0.19;0.08;0.14;0.19;0.16
P8[5.90,10.00,0.00]=5.05;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.21;null;[1.92, 13.2, 0.0];[1.91,13.25,0.85];19:24:13.836;1.91;13.25;1.92;13.2;2;13.39;0.08;0.19;0.09;0.14;0.21;0.17
P8[5.90,10.00,0.00]=5.04;P7[2.90,24.00,0.00]=10.72;P1[0.00,0.00,0.00]=13.27;null;[1.96, 13.2, 0.0];[1.91,13.25,0.70];19:24:14.035;1.91;13.25;1.96;13.2;2;13.39;0.04;0.19;0.09;0.14;0.19;0.17
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.65;P1[0.00,0.00,0.00]=13.24;null;[1.99, 13.21, 0.0];[1.93,13.25,0.80];19:24:14.135;1.93;13.25;1.99;13.21;2;13.39;0.01;0.18;0.07;0.14;0.18;0.16
P8[5.90,10.00,0.00]=5.03;P7[2.90,24.00,0.00]=10.62;P1[0.00,0.00,0.00]=13.21;null;[1.94, 13.21, 0.0];[1.92,13.25,0.79];19:24:14.236;1.92;13.25;1.94;13.21;2;13.39;0.06;0.18;0.08;0.14;0.19;0.16
P8[5.90,10.00,0.00]=5.06;P7[2.90,24.00,0.00]=10.56;P1[0.00,0.00,0.00]=13.22;null;[1.92, 13.24, 0.0];[1.89,13.26,0.64];19:24:14.336;1.89;13.26;1.92;13.24;2;13.39;0.08;0.15;0.11;0.13;0.17;0.17
P8[5.90,10.00,0.00]=5.06;P7[2.90,24.00,0.00]=10.65;P1[0.00,0.00,0.00]=13.29;null;[1.95, 13.24, 0.0];[1.92,13.26,0.82];19:24:14.435;1.92;13.26;1.95;13.24;2;13.39;0.05;0.15;0.08;0.13;0.16;0.15
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.29;null;[1.99, 13.24, 0.0];[1.95,13.27,0.92];19:24:14.536;1.95;13.27;1.99;13.24;2;13.39;0.01;0.15;0.05;0.12;0.15;0.13
