Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated;DWM_Estimated;Timestamp;X_DWM;Y_DWM;X_LS;Y_LS;GROUND_X;GROUND_Y;ERRO_X_LS;ERRO_Y_LS;ERRO_X_DWM;ERRO_Y_DWM;ERRO LS;ERRO_DWM
P8[5.90,10.00,0.00]=5.03;P7[2.90,24.00,0.00]=10.62;P1[0.00,0.00,0.00]=13.28;null;[1.98, 13.24, 0.0];[1.96,13.27,0.97];19:24:14.636;1.96;13.27;1.98;13.24;2;13.39;0.02;0.15;0.04;0.12;0.15;0.13
P8[5.90,10.00,0.00]=5.00;P7[2.90,24.00,0.00]=10.62;P1[0.00,0.00,0.00]=13.22;null;[1.97, 13.21, 0.0];[1.95,13.27,0.94];19:24:14.735;1.95;13.27;1.97;13.21;2;13.39;0.03;0.18;0.05;0.12;0.18;0.13
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.29;null;[1.99, 13.24, 0.0];[1.97,13.27,1.02];19:24:14.835;1.97;13.27;1.99;13.24;2;13.39;0.01;0.15;0.03;0.12;0.15;0.12
P8[5.90,10.00,0.00]=5.01;P7[2.90,24.00,0.00]=10.62;P1[0.00,0.00,0.00]=13.25;null;[1.98, 13.22, 0.0];[1.97,13.27,1.01];19:24:14.936;1.97;13.27;1.98;13.22;2;13.39;0.02;0.17;0.03;0.12;0.17;0.12
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.18;null;[1.96, 13.18, 0.0];[1.95,13.26,0.90];19:24:15.036;1.95;13.26;1.96;13.18;2;13.39;0.04;0.21;0.05;0.13;0.21;0.14
P8[5.90,10.00,0.00]=4.97;P7[2.90,24.00,0.00]=10.69;P1[0.00,0.00,0.00]=13.31;null;[2.05, 13.22, 0.0];[1.97,13.26,0.77];19:24:15.135;1.97;13.26;2.05;13.22;2;13.39;-0.05;0.17;0.03;0.13;0.18;0.13
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.72;P1[0.00,0.00,0.00]=13.21;null;[1.97, 13.16, 0.0];[1.98,13.24,0.89];19:24:15.236;1.98;13.24;1.97;13.16;2;13.39;0.03;0.23;0.02;0.15;0.23;0.15
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.68;P1[0.00,0.00,0.00]=13.21;null;[1.97, 13.18, 0.0];[1.98,13.24,0.94];19:24:15.336;1.98;13.24;1.97;13.18;2;13.39;0.03;0.21;0.02;0.15;0.21;0.15
P8[5.90,10.00,0.00]=5.05;P7[2.90,24.00,0.00]=10.67;P1[0.00,0.00,0.00]=13.28;null;[1.96, 13.23, 0.0];[1.99,13.24,1.05];19:24:15.435;1.99;13.24;1.96;13.23;2;13.39;0.04;0.16;0.01;0.15;0.16;0.15
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.61;P1[0.00,0.00,0.00]=13.22;null;[1.96, 13.21, 0.0];[1.96,13.25,0.98];19:24:15.535;1.96;13.25;1.96;13.21;2;13.39;0.04;0.18;0.04;0.14;0.18;0.15
P8[5.90,10.00,0.00]=5.02;P7[2.90,24.00,0.00]=10.60;P1[0.00,0.00,0.00]=13.26;null;[1.98, 13.24, 0.0];[1.96,13.26,0.98];19:24:15.636;1.96;13.26;1.98;13.24;2;13.39;0.02;0.15;0.04;0.13;0.15;0.14
P8[5.90,10.00,0.00]=4.96;P7[2.90,24.00,0.00]=10.64;P1[0.00,0.00,0.00]=13.30;null;[2.06, 13.24, 0.0];[2.00,13.26,1.06];19:24:15.736;2.00;13.26;2.06;13.24;2;13.39;-0.06;0.15;0.0;0.13;0.16;0.13
P8[5.90,10.00,0.00]=5.00;P7[2.90,24.00,0.00]=10.66;P1[0.00,0.00,0.00]=13.34;null;[2.04, 13.26, 0.0];[2.01,13.26,0.87];19:24:15.835;2.01;13.26;2.04;13.26;2;13.39;-0.04;0.13;-0.01;0.13;0.14;0.13
P8[5.90,10.00,0.00]=5.05;P7[2.90,24.00,0.00]=10.57;P1[0.00,0.00,0.00]=13.37;null;[2.02, 13.31, 0.0];[2.02,13.28,0.98];19:24:15.936;2.02;13.28;2.02;13.31;2;13.39;-0.02;0.08;-0.02;0.11;0.08;0.11
P8[5.90,10.00,0.00]=5.05;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.31;null;[1.98, 13.26, 0.0];[2.02,13.29,1.06];19:24:16.036;2.02;13.29;1.98;13.26;2;13.39;0.02;0.13;-0.02;0.1;0.13;0.1
P8[5.90,10.00,0.00]=5.01;P7[2.90,24.00,0.00]=10.60;P1[0.00,0.00,0.00]=13.37;null;[2.05, 13.3, 0.0];[2.05,13.30,1.16];19:24:16.135;2.05;13.30;2.05;13.3;2;13.39;-0.05;0.09;-0.05;0.09;0.1;0.1
P8[5.90,10.00,0.00]=5.03;P7[2.90,24.00,0.00]=10.55;P1[0.00,0.00,0.00]=13.35;null;[2.02, 13.31, 0.0];[2.05,13.31,1.15];19:24:16.235;2.05;13.31;2.02;13.31;2;13.39;-0.02;0.08;-0.05;0.08;0.08;0.09
P8[5.90,10.00,0.00]=5.10;P7[2.90,24.00,0.00]=10.62;P1[0.00,0.00,0.00]=13.29;null;[1.92, 13.26, 0.0];[2.02,13.30,1.17];19:24:16.336;2.02;13.30;1.92;13.26;2;13.39;0.08;0.13;-0.02;0.09;0.15;0.09
P8[5.90,10.00,0.00]=4.96;P7[2.90,24.00,0.00]=10.66;P1[0.00,0.00,0.00]=13.16;null;[1.97, 13.16, 0.0];[1.99,13.28,1.05];19:24:16.835;1.99;13.28;1.97;13.16;2;13.39;0.03;0.23;0.01;0.11;0.23;0.11
P8[5.90,10.00,0.00]=4.94;P6[6.70,18.03,0.00]=7.59;P1[0.00,0.00,0.00]=13.21;P7[2.90,24.00,0.00]=10.73;[1.42, 13.15, 0.0];[2.02,13.25,0.46];19:24:16.941;2.02;13.25;1.42;13.15;2;13.39;0.58;0.24;-0.02;0.14;0.63;0.14
P8[5.90,10.00,0.00]=4.86;P1[0.00,0.00,0.00]=13.26;P7[2.90,24.00,0.00]=10.62;null;[2.12, 13.21, 0.0];[2.05,13.25,0.11];19:24:17.036;2.05;13.25;2.12;13.21;2;13.39;-0.12;0.18;-0.05;0.14;0.22;0.15
P8[5.90,10.00,0.00]=4.92;P1[0.00,0.00,0.00]=13.27;P7[2.90,24.00,0.00]=10.60;null;[2.08, 13.23, 0.0];[2.05,13.26,-0.15];19:24:17.135;2.05;13.26;2.08;13.23;2;13.39;-0.08;0.16;-0.05;0.13;0.18;0.14
P8[5.90,10.00,0.00]=4.92;P7[2.90,24.00,0.00]=10.59;P1[0.00,0.00,0.00]=13.30;null;[2.09, 13.25, 0.0];[2.07,13.27,0.16];19:24:17.235;2.07;13.27;2.09;13.25;2;13.39;-0.09;0.14;-0.07;0.12;0.17;0.14
P8[5.90,10.00,0.00]=5.00;P7[2.90,24.00,0.00]=10.68;P1[0.00,0.00,0.00]=13.26;null;[1.99, 13.21, 0.0];[2.07,13.26,0.45];19:24:17.935;2.07;13.26;1.99;13.21;2;13.39;0.01;0.18;-0.07;0.13;0.18;0.15
P8[5.90,10.00,0.00]=5.00;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.24;null;[1.98, 13.21, 0.0];[2.04,13.26,0.58];19:24:18.036;2.04;13.26;1.98;13.21;2;13.39;0.02;0.18;-0.04;0.13;0.18;0.14
P8[5.90,10.00,0.00]=4.98;P7[2.90,24.00,0.00]=10.65;P1[0.00,0.00,0.00]=13.29;null;[2.03, 13.23, 0.0];[2.05,13.26,0.76];19:24:18.136;2.05;13.26;2.03;13.23;2;13.39;-0.03;0.16;-0.05;0.13;0.16;0.14
P8[5.90,10.00,0.00]=4.98;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.32;null;[2.05, 13.25, 0.0];[2.07,13.27,0.91];19:24:18.236;2.07;13.27;2.05;13.25;2;13.39;-0.05;0.14;-0.07;0.12;0.15;0.14
P8[5.90,10.00,0.00]=5.01;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.33;null;[2.03, 13.26, 0.0];[2.08,13.27,1.03];19:24:18.335;2.08;13.27;2.03;13.26;2;13.39;-0.03;0.13;-0.08;0.12;0.13;0.14
P8[5.90,10.00,0.00]=4.98;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.36;null;[2.08, 13.28, 0.0];[2.07,13.28,0.80];19:24:18.435;2.07;13.28;2.08;13.28;2;13.39;-0.08;0.11;-0.07;0.11;0.14;0.13
P8[5.90,10.00,0.00]=4.98;P7[2.90,24.00,0.00]=10.61;P1[0.00,0.00,0.00]=13.26;null;[2.01, 13.23, 0.0];[2.05,13.28,0.84];19:24:18.535;2.05;13.28;2.01;13.23;2;13.39;-0.01;0.16;-0.05;0.11;0.16;0.12
P8[5.90,10.00,0.00]=4.97;P7[2.90,24.00,0.00]=10.63;P1[0.00,0.00,0.00]=13.26;null;[2.02, 13.22, 0.0];[2.05,13.27,0.90];19:24:18.635;2.05;13.27;2.02;13.22;2;13.39;-0.02;0.17;-0.05;0.12;0.17;0.13
P8[5.90,10.00,0.00]=4.91;P7[2.90,24.00,0.00]=10.62;P1[0.00,0.00,0.00]=13.27;null;[2.09, 13.22, 0.0];[2.06,13.27,0.94];19:24:18.736;2.06;13.27;2.09;13.22;2;13.39;-0.09;0.17;-0.06;0.12;0.19;0.13
P8[5.90,10.00,0.00]=4.98;P7[2.90,24.00,0.00]=10.64;P1[0.00,0.00,0.00]=13.29;null;[2.03, 13.23, 0.0];[2.07,13.27,1.03];19:24:18.836;2.07;13.27;2.03;13.23;2;13.39;-0.03;0.16;-0.07;0.12;0.16;0.14
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.65;P1[0.00,0.00,0.00]=13.26;null;[2.0, 13.22, 0.0];[2.06,13.26,1.07];19:24:18.935;2.06;13.26;2.0;13.22;2;13.39;0.0;0.17;-0.06;0.13;0.17;0.14
P8[5.90,10.00,0.00]=4.96;P7[2.90,24.00,0.00]=10.66;P1[0.00,0.00,0.00]=13.28;null;[2.04, 13.22, 0.0];[2.07,13.26,1.13];19:24:19.536;2.07;13.26;2.04;13.22;2;13.39;-0.04;0.17;-0.07;0.13;0.17;0.15
P8[5.90,10.00,0.00]=4.96;P7[2.90,24.00,0.00]=10.66;P1[0.00,0.00,0.00]=13.23;null;[2.01, 13.19, 0.0];[2.06,13.25,1.12];19:24:19.636;2.06;13.25;2.01;13.19;2;13.39;-0.01;0.2;-0.06;0.14;0.2;0.15
