ID,Range,Timestamp
D62A,1.96,1693529724034 
D62A,1.94,1693529724060 
D62A,1.89,1693529724160 
D62A,1.95,1693529724260 
D62A,1.92,1693529724360 
D62A,1.91,1693529724460 
D62A,1.96,1693529724560 
D62A,1.93,1693529724660 
D62A,1.91,1693529724760 
D62A,1.91,1693529724860 
D62A,1.93,1693529724960 
D62A,1.94,1693529725060 
D62A,1.92,1693529725160 
D62A,1.95,1693529725260 
D62A,1.91,1693529725360 
D62A,1.93,1693529725460 
D62A,1.93,1693529725560 
D62A,1.93,1693529725660 
D62A,1.92,1693529725760 
D62A,1.94,1693529725860 
D62A,1.92,1693529725960 
D62A,1.93,1693529726060 
D62A,1.92,1693529726160 
D62A,1.92,1693529726260 
D62A,1.94,1693529726360 
D62A,1.92,1693529726460 
D62A,1.93,1693529726560 
D62A,1.92,1693529726660 
D62A,1.96,1693529726760 
D62A,1.95,1693529726860 
D62A,1.90,1693529726960 
D62A,1.91,1693529727060 
D62A,1.94,1693529727160 
D62A,1.91,1693529727260 
D62A,1.95,1693529727360 
D62A,1.96,1693529727460 
D62A,1.93,1693529727560 
D62A,1.93,1693529727660 
D62A,1.92,1693529727760 
D62A,1.91,1693529727860 
D62A,1.92,1693529727960 
D62A,1.95,1693529728060 
D62A,1.94,1693529728160 
D62A,1.92,1693529728260 
D62A,1.95,1693529728360 
D62A,1.93,1693529728460 
D62A,1.95,1693529728560 
D62A,1.92,1693529728660 
D62A,1.93,1693529728760 
D62A,1.95,1693529728860 
D62A,1.93,1693529728960 
D62A,1.91,1693529729060 
D62A,1.94,1693529729160 
D62A,1.95,1693529729260 
D62A,1.92,1693529729360 
D62A,1.92,1693529729560 
D62A,1.93,1693529729660 
D62A,1.94,1693529729760 
D62A,1.96,1693529729860 
D62A,1.93,1693529729960 
D62A,1.96,1693529730060 
D62A,1.95,1693529730160 
D62A,1.94,1693529730260 
D62A,1.92,1693529730360 
D62A,1.93,1693529730460 
D62A,1.94,1693529730560 
D62A,1.94,1693529730660 
D62A,1.95,1693529730760 
D62A,1.93,1693529730860 
D62A,1.94,1693529730960 
D62A,1.95,1693529731060 
D62A,1.94,1693529731160 
D62A,1.93,1693529731260 
D62A,1.96,1693529731360 
D62A,1.94,1693529731460 
D62A,1.94,1693529731560 
D62A,1.95,1693529731660 
D62A,1.91,1693529731760 
D62A,1.95,1693529731860 
D62A,1.95,1693529731960 
D62A,1.95,1693529732060 
D62A,1.89,1693529732160 
D62A,1.96,1693529732260 
D62A,1.95,1693529732360 
D62A,1.94,1693529732460 
D62A,1.90,1693529732560 
D62A,1.93,1693529732660 
D62A,1.93,1693529732760 
D62A,1.95,1693529732860 
D62A,1.93,1693529732960 
D62A,1.93,1693529733060 
D62A,1.94,1693529733160 
D62A,1.93,1693529733260 
D62A,1.94,1693529733360 
D62A,1.93,1693529733460 
D62A,1.95,1693529733560 
D62A,1.93,1693529733660 
D62A,1.93,1693529733760 
D62A,1.94,1693529733860 
D62A,1.96,1693529733960 
D62A,1.94,1693529734060 
