NodeId;X;Y;Z;TagId;Range;TimeStamp
mobilepub;2.00;8.00;0.00;120F;2.20;1706703522.6721106
mobilepub;4.00;4.00;0.00;1127;2.22;1706703522.6722062
mobilepub;0.00;4.00;0.00;C02A;3.50;1706703522.67224
mobilepub;2.00;8.00;0.00;120F;2.24;1706703522.7721674
mobilepub;4.00;4.00;0.00;1127;2.20;1706703522.77226
mobilepub;0.00;4.00;0.00;C02A;3.49;1706703522.7722802
mobilepub;2.00;8.00;0.00;120F;2.21;1706703522.8721082
mobilepub;4.00;4.00;0.00;1127;2.20;1706703522.8722017
mobilepub;0.00;4.00;0.00;C02A;3.47;1706703522.8722224
mobilepub;2.00;8.00;0.00;120F;2.22;1706703522.972103
mobilepub;4.00;4.00;0.00;1127;2.22;1706703522.972197
mobilepub;0.00;4.00;0.00;C02A;3.47;1706703522.9722214
mobilepub;2.00;8.00;0.00;120F;2.19;1706703523.0721216
mobilepub;4.00;4.00;0.00;1127;2.16;1706703523.07223
mobilepub;0.00;4.00;0.00;C02A;3.50;1706703523.0722682
mobilepub;4.00;4.00;0.00;1127;2.23;1706703523.1721025
mobilepub;2.00;8.00;0.00;120F;2.21;1706703523.1721992
mobilepub;0.00;4.00;0.00;C02A;3.47;1706703523.1722233
mobilepub;2.00;8.00;0.00;120F;2.20;1706703523.27244
mobilepub;4.00;4.00;0.00;1127;2.21;1706703523.272535
mobilepub;0.00;4.00;0.00;C02A;3.49;1706703523.2725806
mobilepub;2.00;8.00;0.00;120F;2.16;1706703523.372088
mobilepub;4.00;4.00;0.00;1127;2.20;1706703523.372197
mobilepub;0.00;4.00;0.00;C02A;3.47;1706703523.3722262
mobilepub;2.00;8.00;0.00;120F;2.20;1706703523.4720783
mobilepub;4.00;4.00;0.00;1127;2.18;1706703523.4721751
mobilepub;0.00;4.00;0.00;C02A;3.49;1706703523.4722068
mobilepub;2.00;8.00;0.00;120F;2.22;1706703523.5721076
mobilepub;4.00;4.00;0.00;1127;2.21;1706703523.5722058
mobilepub;0.00;4.00;0.00;C02A;3.49;1706703523.5722315
mobilepub;2.00;8.00;0.00;120F;2.20;1706703523.6722
mobilepub;4.00;4.00;0.00;1127;2.24;1706703523.6722977
mobilepub;0.00;4.00;0.00;C02A;3.44;1706703523.6723213
mobilepub;2.00;8.00;0.00;120F;2.18;1706703523.7721088
mobilepub;4.00;4.00;0.00;1127;2.23;1706703523.7722049
mobilepub;0.00;4.00;0.00;C02A;3.47;1706703523.7722373
mobilepub;2.00;8.00;0.00;120F;2.22;1706703523.872083
mobilepub;4.00;4.00;0.00;1127;2.21;1706703523.8721774
mobilepub;0.00;4.00;0.00;C02A;3.44;1706703523.872199
mobilepub;2.00;8.00;0.00;120F;2.24;1706703523.971812
mobilepub;4.00;4.00;0.00;1127;2.24;1706703523.9719229
mobilepub;0.00;4.00;0.00;C02A;3.48;1706703523.9719598
mobilepub;2.00;8.00;0.00;120F;2.19;1706703524.0722117
mobilepub;4.00;4.00;0.00;1127;2.22;1706703524.072308
mobilepub;0.00;4.00;0.00;C02A;3.48;1706703524.0723338
mobilepub;2.00;8.00;0.00;120F;2.22;1706703524.1721094
mobilepub;4.00;4.00;0.00;1127;2.21;1706703524.1722069
mobilepub;0.00;4.00;0.00;C02A;3.45;1706703524.1722395
mobilepub;2.00;8.00;0.00;120F;2.20;1706703524.2721097
mobilepub;4.00;4.00;0.00;1127;2.22;1706703524.2722192
