ID,Range,Timestamp
D62A,2.15,1693530122950 
D62A,2.19,1693530122998 
D62A,2.18,1693530123098 
D62A,2.18,1693530123198 
D62A,2.22,1693530123298 
D62A,2.16,1693530123398 
D62A,2.20,1693530123498 
D62A,2.19,1693530123598 
D62A,2.19,1693530123698 
D62A,2.16,1693530123798 
D62A,2.20,1693530123898 
D62A,2.15,1693530123998 
D62A,2.13,1693530124098 
D62A,2.18,1693530124198 
D62A,2.18,1693530124298 
D62A,2.21,1693530124398 
D62A,2.30,1693530124498 
D62A,2.23,1693530124598 
D62A,2.21,1693530124698 
D62A,2.35,1693530124798 
D62A,2.43,1693530124899 
D62A,2.16,1693530124998 
D62A,2.17,1693530125098 
D62A,2.19,1693530125198 
D62A,2.14,1693530125298 
D62A,2.19,1693530125398 
D62A,2.17,1693530125498 
D62A,2.19,1693530125598 
D62A,2.18,1693530125698 
D62A,2.16,1693530125798 
D62A,2.20,1693530125898 
D62A,2.19,1693530125998 
D62A,2.22,1693530126098 
D62A,2.20,1693530126198 
D62A,2.20,1693530126298 
D62A,2.22,1693530126398 
D62A,2.16,1693530126498 
D62A,2.17,1693530126598 
D62A,2.19,1693530126698 
D62A,2.18,1693530126798 
D62A,2.19,1693530126898 
D62A,2.18,1693530126998 
D62A,2.19,1693530127098 
D62A,2.21,1693530127198 
D62A,2.19,1693530127298 
D62A,2.17,1693530127398 
D62A,2.14,1693530127498 
D62A,2.18,1693530127598 
D62A,2.16,1693530127698 
D62A,2.19,1693530127798 
D62A,2.18,1693530127898 
D62A,2.18,1693530127998 
D62A,2.19,1693530128098 
D62A,2.20,1693530128198 
D62A,2.22,1693530128298 
D62A,2.21,1693530128398 
D62A,2.21,1693530128498 
D62A,2.19,1693530128598 
D62A,2.17,1693530128698 
D62A,2.21,1693530128798 
D62A,2.17,1693530128898 
D62A,2.21,1693530128998 
D62A,2.19,1693530129098 
D62A,2.19,1693530129198 
D62A,2.17,1693530129298 
D62A,2.19,1693530129398 
D62A,2.17,1693530129498 
D62A,2.22,1693530129598 
D62A,2.20,1693530129698 
D62A,2.22,1693530129798 
D62A,2.17,1693530129898 
D62A,2.19,1693530129998 
D62A,2.21,1693530130098 
D62A,2.18,1693530130198 
D62A,2.18,1693530130298 
D62A,2.18,1693530130398 
D62A,2.20,1693530130498 
D62A,2.19,1693530130598 
D62A,2.19,1693530130698 
D62A,2.19,1693530130798 
D62A,2.17,1693530130898 
D62A,2.18,1693530130998 
D62A,2.19,1693530131098 
D62A,2.17,1693530131198 
D62A,2.22,1693530131298 
D62A,2.19,1693530131398 
D62A,2.20,1693530131498 
D62A,2.20,1693530131598 
D62A,2.20,1693530131698 
D62A,2.19,1693530131798 
D62A,2.18,1693530131898 
D62A,2.15,1693530131998 
D62A,2.17,1693530132098 
D62A,2.20,1693530132198 
D62A,2.20,1693530132298 
D62A,2.22,1693530132398 
D62A,2.19,1693530132498 
D62A,2.20,1693530132598 
D62A,2.22,1693530132698 
D62A,2.20,1693530132798 
D62A,2.17,1693530132898 
D62A,2.18,1693530132998 
D62A,2.16,1693530133098 
D62A,2.22,1693530133198 
D62A,2.17,1693530133298 
D62A,2.22,1693530133398 
D62A,2.19,1693530133498 
D62A,2.20,1693530133598 
D62A,2.20,1693530133698 
D62A,2.19,1693530133798 
D62A,2.18,1693530133898 
D62A,2.16,1693530133998 
D62A,2.20,1693530134098 
D62A,2.17,1693530134198 
D62A,2.18,1693530134298 
D62A,2.19,1693530134398 
D62A,2.19,1693530134498 
D62A,2.19,1693530134598 
D62A,2.20,1693530134698 
D62A,2.20,1693530134798 
D62A,2.20,1693530134898 
D62A,2.17,1693530134998 
D62A,2.20,1693530135098 
D62A,2.19,1693530135198 
D62A,2.17,1693530135298 
D62A,2.19,1693530135398 
D62A,2.19,1693530135498 
D62A,2.20,1693530135598 
D62A,2.20,1693530135698 
D62A,2.19,1693530135798 
D62A,2.19,1693530135898 
D62A,2.20,1693530135998 
D62A,2.17,1693530136098 
D62A,2.17,1693530136198 
D62A,2.22,1693530136298 
D62A,2.21,1693530136398 
D62A,2.19,1693530136498 
D62A,2.18,1693530136598 
D62A,2.18,1693530136698 
D62A,2.18,1693530136798 
D62A,2.18,1693530136898 
D62A,2.16,1693530136998 
D62A,2.20,1693530137098 
D62A,2.16,1693530137198 
D62A,2.18,1693530137298 
D62A,2.18,1693530137398 
D62A,2.18,1693530137498 
D62A,2.16,1693530137598 
