ID,Range,Timestamp
D62A,2.12,1693537545240 
D62A,2.14,1693537545339 
D62A,2.18,1693537545439 
D62A,2.19,1693537545539 
D62A,2.20,1693537545639 
D62A,2.17,1693537545739 
D62A,2.15,1693537545839 
D62A,2.16,1693537545939 
D62A,2.17,1693537546039 
D62A,2.19,1693537546139 
D62A,2.18,1693537546239 
D62A,2.17,1693537546339 
D62A,2.16,1693537546439 
D62A,2.21,1693537546539 
D62A,2.16,1693537546639 
D62A,2.21,1693537546739 
D62A,2.16,1693537546839 
D62A,2.18,1693537546939 
D62A,2.16,1693537547039 
D62A,2.14,1693537547139 
D62A,2.15,1693537547239 
D62A,2.14,1693537547339 
D62A,2.15,1693537547439 
D62A,2.17,1693537547539 
D62A,2.15,1693537547639 
D62A,2.16,1693537547739 
D62A,2.17,1693537547839 
D62A,2.18,1693537547939 
D62A,2.14,1693537548039 
D62A,2.18,1693537548139 
D62A,2.18,1693537548239 
D62A,2.20,1693537548339 
D62A,2.18,1693537548439 
D62A,2.16,1693537548539 
D62A,2.18,1693537548639 
D62A,2.21,1693537548739 
D62A,2.21,1693537548839 
D62A,2.18,1693537548939 
D62A,2.15,1693537549039 
D62A,2.15,1693537549139 
D62A,2.14,1693537549239 
D62A,2.14,1693537549339 
D62A,2.15,1693537549439 
D62A,2.15,1693537549539 
D62A,2.21,1693537549639 
D62A,2.19,1693537549739 
D62A,2.16,1693537549839 
D62A,2.17,1693537549939 
D62A,2.20,1693537550039 
D62A,2.15,1693537550139 
D62A,2.18,1693537550239 
D62A,2.21,1693537550339 
D62A,2.17,1693537550439 
D62A,2.19,1693537550539 
D62A,2.20,1693537550639 
D62A,2.18,1693537550739 
D62A,2.20,1693537550839 
D62A,2.19,1693537550939 
D62A,2.15,1693537551039 
D62A,2.15,1693537551139 
D62A,2.13,1693537551239 
D62A,2.17,1693537551339 
D62A,2.13,1693537551439 
D62A,2.17,1693537551539 
D62A,2.18,1693537551639 
D62A,2.11,1693537551739 
D62A,2.20,1693537551839 
D62A,2.18,1693537551939 
D62A,2.19,1693537552039 
D62A,2.19,1693537552139 
D62A,2.16,1693537552239 
D62A,2.20,1693537552339 
D62A,2.11,1693537552439 
D62A,2.17,1693537552539 
D62A,2.16,1693537552639 
D62A,2.16,1693537552739 
D62A,2.20,1693537552839 
D62A,2.18,1693537552939 
D62A,2.14,1693537553039 
D62A,2.17,1693537553139 
D62A,2.22,1693537553239 
D62A,2.14,1693537553339 
D62A,2.17,1693537553439 
D62A,2.18,1693537553539 
D62A,2.16,1693537553639 
D62A,2.17,1693537553739 
D62A,2.16,1693537553839 
D62A,2.11,1693537553939 
D62A,2.16,1693537554039 
D62A,2.19,1693537554139 
D62A,2.14,1693537554239 
D62A,2.18,1693537554339 
D62A,2.17,1693537554439 
D62A,2.15,1693537554539 
D62A,2.15,1693537554639 
D62A,2.16,1693537554739 
D62A,2.15,1693537554839 
D62A,2.17,1693537554939 
D62A,2.16,1693537555039 
D62A,2.17,1693537555139 
D62A,2.10,1693537555239 
D62A,2.17,1693537555339 
D62A,2.16,1693537555439 
D62A,2.15,1693537555539 
D62A,2.18,1693537555639 
D62A,2.14,1693537555739 
D62A,2.12,1693537555839 
D62A,2.19,1693537555939 
D62A,2.18,1693537556039 
D62A,2.15,1693537556139 
D62A,2.16,1693537556239 
D62A,2.17,1693537556339 
