NodeId;X;Y;Z;TagId;Range;TimeStamp
mobilepub;4.00;4.00;0.00;1127;1.86;1706703100.9709728
mobilepub;0.00;4.00;0.00;C02A;1.91;1706703100.971072
mobilepub;2.00;8.00;0.00;120F;3.89;1706703100.9711065
mobilepub;4.00;4.00;0.00;1127;1.85;1706703101.0709698
mobilepub;0.00;4.00;0.00;C02A;1.89;1706703101.071068
mobilepub;2.00;8.00;0.00;120F;3.88;1706703101.0711691
mobilepub;4.00;4.00;0.00;1127;1.79;1706703101.1709723
mobilepub;0.00;4.00;0.00;C02A;1.93;1706703101.171068
mobilepub;2.00;8.00;0.00;120F;3.86;1706703101.1710863
mobilepub;4.00;4.00;0.00;1127;1.81;1706703101.2708611
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703101.2709582
mobilepub;2.00;8.00;0.00;120F;3.86;1706703101.270977
mobilepub;4.00;4.00;0.00;1127;1.88;1706703101.471187
mobilepub;2.00;8.00;0.00;120F;3.91;1706703101.4712856
mobilepub;0.00;4.00;0.00;C02A;1.91;1706703101.4713187
mobilepub;4.00;4.00;0.00;1127;1.84;1706703101.571021
mobilepub;0.00;4.00;0.00;C02A;1.93;1706703101.5711195
mobilepub;2.00;8.00;0.00;120F;3.86;1706703101.5711384
mobilepub;4.00;4.00;0.00;1127;1.86;1706703101.6709886
mobilepub;0.00;4.00;0.00;C02A;1.88;1706703101.6710885
mobilepub;2.00;8.00;0.00;120F;3.91;1706703101.67112
mobilepub;4.00;4.00;0.00;1127;1.78;1706703101.771063
mobilepub;0.00;4.00;0.00;C02A;1.90;1706703101.771161
mobilepub;2.00;8.00;0.00;120F;3.89;1706703101.7711928
mobilepub;4.00;4.00;0.00;1127;1.84;1706703101.8709686
mobilepub;0.00;4.00;0.00;C02A;1.90;1706703101.871067
mobilepub;2.00;8.00;0.00;120F;3.91;1706703101.8711
mobilepub;4.00;4.00;0.00;1127;1.81;1706703101.9710128
mobilepub;0.00;4.00;0.00;C02A;1.88;1706703101.97111
mobilepub;2.00;8.00;0.00;120F;3.90;1706703101.9711292
mobilepub;4.00;4.00;0.00;1127;1.87;1706703102.070705
mobilepub;0.00;4.00;0.00;C02A;1.94;1706703102.0708032
mobilepub;2.00;8.00;0.00;120F;3.86;1706703102.0708344
mobilepub;4.00;4.00;0.00;1127;1.83;1706703102.1711936
mobilepub;0.00;4.00;0.00;C02A;1.94;1706703102.1712878
mobilepub;2.00;8.00;0.00;120F;3.91;1706703102.1713066
mobilepub;4.00;4.00;0.00;1127;1.81;1706703102.2709668
mobilepub;0.00;4.00;0.00;C02A;1.93;1706703102.2710617
mobilepub;2.00;8.00;0.00;120F;3.89;1706703102.2710834
mobilepub;4.00;4.00;0.00;1127;1.84;1706703102.370909
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703102.3710105
mobilepub;2.00;8.00;0.00;120F;3.87;1706703102.3710332
mobilepub;4.00;4.00;0.00;1127;1.85;1706703102.4708726
mobilepub;0.00;4.00;0.00;C02A;1.90;1706703102.4709852
mobilepub;2.00;8.00;0.00;120F;3.93;1706703102.4710097
mobilepub;4.00;4.00;0.00;1127;1.79;1706703102.5709727
mobilepub;0.00;4.00;0.00;C02A;1.88;1706703102.571071
mobilepub;2.00;8.00;0.00;120F;3.89;1706703102.5711067
mobilepub;4.00;4.00;0.00;1127;1.82;1706703102.6709702
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703102.6710827
mobilepub;2.00;8.00;0.00;120F;3.94;1706703102.6711147
mobilepub;4.00;4.00;0.00;1127;1.80;1706703102.770973
mobilepub;0.00;4.00;0.00;C02A;1.94;1706703102.771072
mobilepub;2.00;8.00;0.00;120F;3.88;1706703102.7710924
mobilepub;4.00;4.00;0.00;1127;1.85;1706703102.870855
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703102.8709521
mobilepub;2.00;8.00;0.00;120F;3.94;1706703102.87098
mobilepub;4.00;4.00;0.00;1127;1.84;1706703102.9710298
mobilepub;0.00;4.00;0.00;C02A;1.90;1706703102.9711454
mobilepub;2.00;8.00;0.00;120F;3.92;1706703102.9711673
mobilepub;4.00;4.00;0.00;1127;1.75;1706703103.0709684
mobilepub;0.00;4.00;0.00;C02A;1.91;1706703103.0710635
mobilepub;2.00;8.00;0.00;120F;3.91;1706703103.0710866
mobilepub;4.00;4.00;0.00;1127;1.84;1706703103.170974
mobilepub;0.00;4.00;0.00;C02A;1.90;1706703103.1710668
mobilepub;2.00;8.00;0.00;120F;3.93;1706703103.1710951
mobilepub;4.00;4.00;0.00;1127;1.90;1706703103.2711885
mobilepub;0.00;4.00;0.00;C02A;1.89;1706703103.2712827
mobilepub;2.00;8.00;0.00;120F;3.92;1706703103.2713037
mobilepub;4.00;4.00;0.00;1127;1.85;1706703103.3709729
mobilepub;0.00;4.00;0.00;C02A;1.92;1706703103.3710704
mobilepub;2.00;8.00;0.00;120F;3.90;1706703103.3710911
mobilepub;4.00;4.00;0.00;1127;1.83;1706703103.4709685
mobilepub;0.00;4.00;0.00;C02A;1.89;1706703103.4710813
mobilepub;2.00;8.00;0.00;120F;3.89;1706703103.4711056
mobilepub;4.00;4.00;0.00;1127;1.79;1706703103.570854
mobilepub;0.00;4.00;0.00;C02A;1.97;1706703103.5709524
mobilepub;2.00;8.00;0.00;120F;3.89;1706703103.5709875
mobilepub;4.00;4.00;0.00;1127;1.83;1706703103.670968
mobilepub;0.00;4.00;0.00;C02A;1.91;1706703103.6710618
