Anchor/Range	Anchor/Range	Anchor/Range	Anchor/Range	LS_Estimated		Estimated	GTX	GTY	ERRO
P2[8.00,2.40,0.00]=2.13	P1[0.00,0.00,0.00]=6.10	P3[13.00,0.00,0.00]=7.13	P8[5.90,10.00,0.00]=8.40	5,98	1,58	[6,04,1,57,0,55]			
P2[8.00,2.40,0.00]=2.11	P1[0.00,0.00,0.00]=6.20	P3[13.00,0.00,0.00]=7.06	P8[5.90,10.00,0.00]=8.54	6,07	1,45	[6,06,1,52,0,27]			
P2[8.00,2.40,0.00]=2.06	P1[0.00,0.00,0.00]=6.19	P3[13.00,0.00,0.00]=7.03	P8[5.90,10.00,0.00]=9.23	6,09	0,80	[6,21,1,22,0,05]			
P2[8.00,2.40,0.00]=2.06	P1[0.00,0.00,0.00]=6.16	P3[13.00,0.00,0.00]=7.10	P8[5.90,10.00,0.00]=9.07	6,04	0,96	[6,26,1,08,-0,01]			
P2[8.00,2.40,0.00]=2.07	P1[0.00,0.00,0.00]=6.17	P3[13.00,0.00,0.00]=7.15	P8[5.90,10.00,0.00]=8.90	6,01	1,12	[6,27,1,04,-0,06]			
P2[8.00,2.40,0.00]=2.05	P1[0.00,0.00,0.00]=6.18	P3[13.00,0.00,0.00]=7.13	P8[5.90,10.00,0.00]=8.69	6,02	1,32	[6,27,1,06,-0,20]			
P2[8.00,2.40,0.00]=2.11	P1[0.00,0.00,0.00]=6.19	P3[13.00,0.00,0.00]=7.13	P8[5.90,10.00,0.00]=8.62	6,02	1,39	[6,24,1,12,-0,27]			
P2[8.00,2.40,0.00]=2.03	P1[0.00,0.00,0.00]=6.19	P3[13.00,0.00,0.00]=7.17	P8[5.90,10.00,0.00]=8.70	6,01	1,32	[6,24,1,12,-0,34]			
P2[8.00,2.40,0.00]=2.05	P1[0.00,0.00,0.00]=6.22	P3[13.00,0.00,0.00]=7.17	P8[5.90,10.00,0.00]=8.69	6,02	1,33	[6,23,1,15,-0,27]			
P2[8.00,2.40,0.00]=2.06	P1[0.00,0.00,0.00]=6.16	P3[13.00,0.00,0.00]=7.10	P8[5.90,10.00,0.00]=8.59	6,03	1,41	[6,22,1,17,-0,38]			
P2[8.00,2.40,0.00]=2.08	P1[0.00,0.00,0.00]=6.12	P3[13.00,0.00,0.00]=7.14	P8[5.90,10.00,0.00]=8.66	5,99	1,34	[6,21,1,17,-0,43]			
P2[8.00,2.40,0.00]=2.03	P1[0.00,0.00,0.00]=6.15	P3[13.00,0.00,0.00]=7.10	P8[5.90,10.00,0.00]=8.73	6,03	1,28	[6,22,1,15,-0,43]			
P2[8.00,2.40,0.00]=2.08	P1[0.00,0.00,0.00]=6.20	P3[13.00,0.00,0.00]=7.13	P8[5.90,10.00,0.00]=8.85	6,03	1,17	[6,24,1,11,-0,46]			
P2[8.00,2.40,0.00]=2.12	P1[0.00,0.00,0.00]=6.11	P3[13.00,0.00,0.00]=7.18	P8[5.90,10.00,0.00]=8.80	5,96	1,22	[6,23,1,08,-0,47]			
P2[8.00,2.40,0.00]=2.12	P1[0.00,0.00,0.00]=6.15	P3[13.00,0.00,0.00]=7.15	P8[5.90,10.00,0.00]=8.65	6,00	1,36	[6,20,1,13,-0,42]			
P2[8.00,2.40,0.00]=2.07	P1[0.00,0.00,0.00]=6.18	P3[13.00,0.00,0.00]=7.15	P8[5.90,10.00,0.00]=8.83	6,01	1,19	[6,22,1,09,-0,43]			
P2[8.00,2.40,0.00]=2.11	P1[0.00,0.00,0.00]=6.13	P3[13.00,0.00,0.00]=7.15	P8[5.90,10.00,0.00]=8.78	5,99	1,23	[6,22,1,08,-0,46]			
P2[8.00,2.40,0.00]=2.14	P1[0.00,0.00,0.00]=6.15	P3[13.00,0.00,0.00]=7.13	P8[5.90,10.00,0.00]=8.86	6,01	1,16	[6,23,1,05,-0,49]			
P2[8.00,2.40,0.00]=2.15	P1[0.00,0.00,0.00]=6.27	P3[13.00,0.00,0.00]=7.18	P8[5.90,10.00,0.00]=8.91	6,03	1,12	[6,24,1,04,-0,46]			
P2[8.00,2.40,0.00]=2.11	P1[0.00,0.00,0.00]=6.23	P3[13.00,0.00,0.00]=7.20	P8[5.90,10.00,0.00]=8.72	6,00	1,31	[6,23,1,08,-0,46]			
P2[8.00,2.40,0.00]=2.18	P1[0.00,0.00,0.00]=6.15	P3[13.00,0.00,0.00]=7.08	P8[5.90,10.00,0.00]=8.90	6,03	1,11	[6,18,1,09,-0,22]			
P2[8.00,2.40,0.00]=2.14	P1[0.00,0.00,0.00]=6.14	P3[13.00,0.00,0.00]=7.19	P8[5.90,10.00,0.00]=8.85	5,97	1,17	[6,19,1,06,-0,31]			
P2[8.00,2.40,0.00]=2.12	P1[0.00,0.00,0.00]=6.18	P3[13.00,0.00,0.00]=7.23	P8[5.90,10.00,0.00]=8.87	5,96	1,16	[6,22,1,04,-0,38]			
P2[8.00,2.40,0.00]=2.13	P1[0.00,0.00,0.00]=6.13	P3[13.00,0.00,0.00]=7.19	P8[5.90,10.00,0.00]=8.90	5,97	1,12	[6,23,1,01,-0,38]			
P2[8.00,2.40,0.00]=2.09	P1[0.00,0.00,0.00]=6.13	P3[13.00,0.00,0.00]=7.19	P8[5.90,10.00,0.00]=8.87	5,97	1,15	[6,23,0,99,-0,35]			
P2[8.00,2.40,0.00]=2.10	P1[0.00,0.00,0.00]=6.17	P3[13.00,0.00,0.00]=7.16	P8[5.90,10.00,0.00]=8.77	6,00	1,25	[6,24,1,01,-0,43]			
P2[8.00,2.40,0.00]=2.10	P1[0.00,0.00,0.00]=6.09	P3[13.00,0.00,0.00]=7.21	P8[5.90,10.00,0.00]=8.67	5,94	1,34	[6,22,1,04,-0,47]			
P2[8.00,2.40,0.00]=2.08	P1[0.00,0.00,0.00]=6.08	P3[13.00,0.00,0.00]=7.16	P8[5.90,10.00,0.00]=8.84	5,96	1,17	[6,15,1,08,-0,25]			
P2[8.00,2.40,0.00]=2.10	P1[0.00,0.00,0.00]=6.06	P3[13.00,0.00,0.00]=7.15	P8[5.90,10.00,0.00]=8.71	5,96	1,29	[6,15,1,08,-0,29]			
P2[8.00,2.40,0.00]=2.13	P1[0.00,0.00,0.00]=6.13	P3[13.00,0.00,0.00]=7.15	P8[5.90,10.00,0.00]=8.78	5,99	1,23	[6,17,1,07,-0,37]			
P2[8.00,2.40,0.00]=2.13	P1[0.00,0.00,0.00]=6.12	P3[13.00,0.00,0.00]=7.11	P8[5.90,10.00,0.00]=8.58	6,00	1,41	[6,14,1,14,-0,35]			
P2[8.00,2.40,0.00]=2.09	P1[0.00,0.00,0.00]=6.10	P3[13.00,0.00,0.00]=7.09	P8[5.90,10.00,0.00]=8.64	6,01	1,35	[6,15,1,15,-0,42]			
P2[8.00,2.40,0.00]=2.01	P1[0.00,0.00,0.00]=6.15	P3[13.00,0.00,0.00]=7.09	P8[5.90,10.00,0.00]=8.71	6,03	1,30	[6,17,1,14,-0,40]			
P2[8.00,2.40,0.00]=2.03	P1[0.00,0.00,0.00]=6.14	P3[13.00,0.00,0.00]=7.00	P8[5.90,10.00,0.00]=10.31	6,13	-0,23	[6,14,1,28,-0,09]			
P2[8.00,2.40,0.00]=2.06	P1[0.00,0.00,0.00]=6.15	P3[13.00,0.00,0.00]=7.17	P8[5.90,10.00,0.00]=10.24	6,04	-0,17	[6,10,1,41,0,03]			
P2[8.00,2.40,0.00]=2.07	P1[0.00,0.00,0.00]=6.09	P3[13.00,0.00,0.00]=7.08	P8[5.90,10.00,0.00]=9.78	6,04	0,27	[6,07,1,50,0,22]			
P2[8.00,2.40,0.00]=2.03	P1[0.00,0.00,0.00]=6.08	P3[13.00,0.00,0.00]=7.16	P8[5.90,10.00,0.00]=9.68	5,99	0,37	[6,03,1,61,0,34]			
P2[8.00,2.40,0.00]=2.13	P1[0.00,0.00,0.00]=6.10	P3[13.00,0.00,0.00]=7.06	P8[5.90,10.00,0.00]=10.21	6,07	-0,14	[6,03,1,58,0,36]			
P2[8.00,2.40,0.00]=2.08	P1[0.00,0.00,0.00]=6.18	P3[13.00,0.00,0.00]=7.15	P8[5.90,10.00,0.00]=10.28	6,06	-0,21	[6,02,1,63,0,41]			
P2[8.00,2.40,0.00]=2.07	P1[0.00,0.00,0.00]=6.16	P3[13.00,0.00,0.00]=7.13	P8[5.90,10.00,0.00]=10.17	6,06	-0,10	[6,01,1,65,0,43]			
P2[8.00,2.40,0.00]=2.09	P1[0.00,0.00,0.00]=6.14	P3[13.00,0.00,0.00]=7.08	P8[5.90,10.00,0.00]=10.25	6,08	-0,18	[6,01,1,64,0,44]			
P2[8.00,2.40,0.00]=2.10	P1[0.00,0.00,0.00]=6.11	P3[13.00,0.00,0.00]=7.14	P8[5.90,10.00,0.00]=10.19	6,03	-0,12	[6,00,1,65,0,44]			
P2[8.00,2.40,0.00]=2.10	P1[0.00,0.00,0.00]=6.16	P3[13.00,0.00,0.00]=7.10	P8[5.90,10.00,0.00]=10.22	6,08	-0,15	[6,00,1,65,0,47]			
P2[8.00,2.40,0.00]=2.16	P1[0.00,0.00,0.00]=6.05	P3[13.00,0.00,0.00]=7.05	P8[5.90,10.00,0.00]=10.28	6,06	-0,21	[6,00,1,58,0,40]			
P2[8.00,2.40,0.00]=2.12	P1[0.00,0.00,0.00]=6.06	P3[13.00,0.00,0.00]=7.08	P8[5.90,10.00,0.00]=10.00	6,04	0,06	[5,99,1,56,0,33]			
P2[8.00,2.40,0.00]=2.09	P1[0.00,0.00,0.00]=6.09	P3[13.00,0.00,0.00]=7.20	null	5,94	1,46	[5,98,1,61,0,32]			
P2[8.00,2.40,0.00]=2.14	P8[5.90,10.00,0.00]=11.60	P1[0.00,0.00,0.00]=6.08	P3[13.00,0.00,0.00]=7.09	6,14	-1,40	[5,98,1,58,0,33]			
P2[8.00,2.40,0.00]=2.07	P1[0.00,0.00,0.00]=6.17	P3[13.00,0.00,0.00]=7.07	null	6,05	1,35	[5,99,1,60,0,38]			
P2[8.00,2.40,0.00]=2.10	P1[0.00,0.00,0.00]=6.08	P3[13.00,0.00,0.00]=7.13	null	5,98	1,32	[5,98,1,60,0,34]			
P2[8.00,2.40,0.00]=2.10	P8[5.90,10.00,0.00]=11.65	P1[0.00,0.00,0.00]=5.90	P3[13.00,0.00,0.00]=7.18	6,03	-1,43	[5,95,1,63,0,35]			
P2[8.00,2.40,0.00]=2.19	P1[0.00,0.00,0.00]=6.12	P3[13.00,0.00,0.00]=6.98	null	6,08	1,05	[5,98,1,55,0,39]			
P2[8.00,2.40,0.00]=2.18	P8[5.90,10.00,0.00]=8.61	P1[0.00,0.00,0.00]=6.02	P3[13.00,0.00,0.00]=7.17	5,93	1,38	[6,00,1,47,0,47]			
P2[8.00,2.40,0.00]=2.13	P1[0.00,0.00,0.00]=5.94	P3[13.00,0.00,0.00]=7.11	P8[5.90,10.00,0.00]=8.42	5,93	1,54	[5,97,1,50,0,50]			
P2[8.00,2.40,0.00]=2.20	P8[5.90,10.00,0.00]=11.63	P1[0.00,0.00,0.00]=6.06	P3[13.00,0.00,0.00]=7.06	6,15	-1,42	[5,97,1,47,0,49]			
P2[8.00,2.40,0.00]=2.18	P1[0.00,0.00,0.00]=6.12	P3[13.00,0.00,0.00]=7.10	P8[5.90,10.00,0.00]=8.73	6,01	1,27	[6,01,1,40,0,28]			
P2[8.00,2.40,0.00]=2.14	P1[0.00,0.00,0.00]=6.08	P3[13.00,0.00,0.00]=7.17	P8[5.90,10.00,0.00]=8.61	5,95	1,39	[6,03,1,36,0,03]			
P2[8.00,2.40,0.00]=2.18	P1[0.00,0.00,0.00]=6.03	P3[13.00,0.00,0.00]=7.17	P8[5.90,10.00,0.00]=8.47	5,93	1,51	[6,01,1,37,-0,05]			
P2[8.00,2.40,0.00]=2.21	P1[0.00,0.00,0.00]=6.10	P3[13.00,0.00,0.00]=7.24	P8[5.90,10.00,0.00]=8.59	5,92	1,42	[6,02,1,36,-0,17]			
P2[8.00,2.40,0.00]=2.15	P1[0.00,0.00,0.00]=6.09	P3[13.00,0.00,0.00]=7.08	null	6,01	1,22	[6,01,1,40,-0,01]			
P2[8.00,2.40,0.00]=2.08	P1[0.00,0.00,0.00]=6.10	P3[13.00,0.00,0.00]=7.28	null	5,90	1,63	[5,98,1,53,0,06]			
P2[8.00,2.40,0.00]=2.17	P1[0.00,0.00,0.00]=6.08	P3[13.00,0.00,0.00]=7.18	P8[5.90,10.00,0.00]=11.36	6,08	-1,19	[5,97,1,56,0,19]			
P2[8.00,2.40,0.00]=2.19	P8[5.90,10.00,0.00]=11.48	P1[0.00,0.00,0.00]=6.12	P3[13.00,0.00,0.00]=7.25	6,06	-1,31	[5,95,1,62,0,32]			
P2[8.00,2.40,0.00]=2.14	P8[5.90,10.00,0.00]=11.50	P1[0.00,0.00,0.00]=6.07	P3[13.00,0.00,0.00]=6.96	6,20	-1,30	[5,98,1,57,0,45]			
P2[8.00,2.40,0.00]=2.14	P8[5.90,10.00,0.00]=8.78	P1[0.00,0.00,0.00]=6.09	P3[13.00,0.00,0.00]=7.15	5,97	1,23	[6,03,1,44,0,48]			
P2[8.00,2.40,0.00]=2.16	P1[0.00,0.00,0.00]=6.01	P3[13.00,0.00,0.00]=7.18	P8[5.90,10.00,0.00]=11.45	6,06	-1,27	[5,99,1,48,0,39]			
P2[8.00,2.40,0.00]=2.20	P1[0.00,0.00,0.00]=6.07	P3[13.00,0.00,0.00]=7.12	P8[5.90,10.00,0.00]=8.53	5,97	1,45	[5,99,1,48,0,43]			
P2[8.00,2.40,0.00]=2.19	P1[0.00,0.00,0.00]=6.05	P3[13.00,0.00,0.00]=7.20	P8[5.90,10.00,0.00]=11.45	6,06	-1,27	[5,97,1,52,0,46]			
P2[8.00,2.40,0.00]=2.14	P1[0.00,0.00,0.00]=6.09	P3[13.00,0.00,0.00]=7.11	P8[5.90,10.00,0.00]=8.59	5,99	1,40	[5,99,1,47,0,29]			
P2[8.00,2.40,0.00]=2.13	P1[0.00,0.00,0.00]=6.07	P3[13.00,0.00,0.00]=7.13	null	5,97	1,29	[5,98,1,50,0,30]			
P2[8.00,2.40,0.00]=2.14	P1[0.00,0.00,0.00]=6.07	P3[13.00,0.00,0.00]=7.13	null	5,97	1,28	[5,97,1,52,0,32]			
P2[8.00,2.40,0.00]=2.11	P1[0.00,0.00,0.00]=6.13	P3[13.00,0.00,0.00]=7.10	null	6,02	1,33	[5,98,1,54,0,36]			
P2[8.00,2.40,0.00]=2.06	P1[0.00,0.00,0.00]=6.08	P3[13.00,0.00,0.00]=7.06	null	6,02	1,21	[5,98,1,59,0,46]			
P2[8.00,2.40,0.00]=2.02	P1[0.00,0.00,0.00]=6.07	P3[13.00,0.00,0.00]=7.12	P8[5.90,10.00,0.00]=10.26	6,04	-0,18	[5,97,1,65,0,51]			
P2[8.00,2.40,0.00]=2.03	P1[0.00,0.00,0.00]=6.19	P3[13.00,0.00,0.00]=7.00	P8[5.90,10.00,0.00]=8.91	6,10	1,10	[6,00,1,51,0,42]			
P2[8.00,2.40,0.00]=2.05	P1[0.00,0.00,0.00]=6.22	P3[13.00,0.00,0.00]=7.04	P8[5.90,10.00,0.00]=9.10	6,10	0,93	[6,12,1,29,0,27]			
P2[8.00,2.40,0.00]=1.99	P1[0.00,0.00,0.00]=6.21	P3[13.00,0.00,0.00]=7.04	null	6,09	1,38	[6,11,1,39,0,30]			
P2[8.00,2.40,0.00]=1.95	P1[0.00,0.00,0.00]=6.23	P3[13.00,0.00,0.00]=6.99	null	6,12	1,34	[6,11,1,45,0,28]			
P2[8.00,2.40,0.00]=1.81	P1[0.00,0.00,0.00]=6.20	P3[13.00,0.00,0.00]=6.86	null	6,19	1,14	[6,12,1,51,0,31]			
P2[8.00,2.40,0.00]=1.70	P1[0.00,0.00,0.00]=6.27	P3[13.00,0.00,0.00]=6.66	null	6,33	0,98	[6,17,1,56,0,42]			
P2[8.00,2.40,0.00]=1.64	P1[0.00,0.00,0.00]=6.31	P3[13.00,0.00,0.00]=6.64	null	6,36	1,01	[6,21,1,61,0,50]			
P2[8.00,2.40,0.00]=1.55	P1[0.00,0.00,0.00]=6.60	P3[13.00,0.00,0.00]=6.53	null	6,55	1,20	[6,29,1,64,0,55]			
P2[8.00,2.40,0.00]=1.34	P1[0.00,0.00,0.00]=6.62	P3[13.00,0.00,0.00]=6.32	null	6,66	1,00	[6,38,1,67,0,58]			
P2[8.00,2.40,0.00]=1.31	P1[0.00,0.00,0.00]=6.82	P3[13.00,0.00,0.00]=6.16	null	6,84	1,00	[6,50,1,64,0,55]			
P2[8.00,2.40,0.00]=1.24	P1[0.00,0.00,0.00]=6.90	P3[13.00,0.00,0.00]=6.38	null	6,77	1,45	[6,57,1,73,0,58]			
P2[8.00,2.40,0.00]=1.15	P3[13.00,0.00,0.00]=6.51	P1[0.00,0.00,0.00]=6.93	null	6,72	1,74	[6,61,1,89,0,32]			
P2[8.00,2.40,0.00]=1.06	P3[13.00,0.00,0.00]=6.00	P1[0.00,0.00,0.00]=7.01	null	7,01	1,06	[6,71,1,82,0,19]			
P2[8.00,2.40,0.00]=0.95	P3[13.00,0.00,0.00]=6.09	P1[0.00,0.00,0.00]=7.12	null	7,03	1,35	[6,79,1,85,0,04]			
P2[8.00,2.40,0.00]=0.91	P3[13.00,0.00,0.00]=5.78	P1[0.00,0.00,0.00]=7.16	null	7,18	0,98	[6,90,1,83,-0,14]			
P2[8.00,2.40,0.00]=0.85	P3[13.00,0.00,0.00]=5.77	P1[0.00,0.00,0.00]=7.20	null	7,21	1,02	[6,98,1,83,-0,27]			
P3[13.00,0.00,0.00]=5.46	P2[8.00,2.40,0.00]=0.76	P1[0.00,0.00,0.00]=8.41	null	8,07	2,24	[7,26,1,93,-0,02]			
P3[13.00,0.00,0.00]=5.12	P2[8.00,2.40,0.00]=0.68	P1[0.00,0.00,0.00]=9.00	null	8,61	2,62	[7,59,2,10,0,04]			
P2[8.00,2.40,0.00]=0.71	P3[13.00,0.00,0.00]=5.03	P1[0.00,0.00,0.00]=8.97	null	8,62	2,45	[7,85,2,19,-0,05]			
P3[13.00,0.00,0.00]=3.42	P2[8.00,2.40,0.00]=1.89	P4[11.00,11.00,0.00]=9.93	null	9,71	1,16	[8,27,1,89,-0,08]			
P2[8.00,2.40,0.00]=2.05	P3[13.00,0.00,0.00]=3.23	P4[11.00,11.00,0.00]=9.91	null	9,89	1,15	[8,63,1,66,0,01]			
P2[8.00,2.40,0.00]=2.18	P3[13.00,0.00,0.00]=3.17	P4[11.00,11.00,0.00]=9.86	null	9,99	1,19	[8,94,1,50,0,15]			
P2[8.00,2.40,0.00]=2.31	P3[13.00,0.00,0.00]=2.99	P4[11.00,11.00,0.00]=9.74	null	10,20	1,29	[9,22,1,41,0,27]			
P2[8.00,2.40,0.00]=2.44	P3[13.00,0.00,0.00]=2.93	P4[11.00,11.00,0.00]=9.59	null	10,35	1,43	[9,49,1,39,0,26]			
P3[13.00,0.00,0.00]=2.67	P2[8.00,2.40,0.00]=2.69	P4[11.00,11.00,0.00]=9.56	null	10,62	1,45	[9,76,1,38,0,16]			
P2[8.00,2.40,0.00]=2.76	P3[13.00,0.00,0.00]=2.52	P4[11.00,11.00,0.00]=9.59	null	10,72	1,41	[9,99,1,34,0,27]			
P3[13.00,0.00,0.00]=2.36	P2[8.00,2.40,0.00]=2.99	P4[11.00,11.00,0.00]=8.50	null	11,27	2,45	[10,32,1,54,0,06]			
P2[8.00,2.40,0.00]=3.10	P3[13.00,0.00,0.00]=2.28	P4[11.00,11.00,0.00]=8.47	null	11,36	2,47	[10,61,1,69,0,16]			
P2[8.00,2.40,0.00]=3.24	P3[13.00,0.00,0.00]=2.10	P4[11.00,11.00,0.00]=8.48	null	11,48	2,46	[10,87,1,79,0,31]			
P2[8.00,2.40,0.00]=3.39	P3[13.00,0.00,0.00]=1.93	P4[11.00,11.00,0.00]=8.52	P1[0.00,0.00,0.00]=11.33	11,14	2,37	[11,06,1,84,0,29]			
P2[8.00,2.40,0.00]=3.61	P3[13.00,0.00,0.00]=1.96	P4[11.00,11.00,0.00]=8.52	P1[0.00,0.00,0.00]=11.62	11,41	2,40	[11,28,1,90,0,41]			
P3[13.00,0.00,0.00]=1.89	P2[8.00,2.40,0.00]=3.70	P1[0.00,0.00,0.00]=11.79	null	11,68	1,53	[11,44,1,89,0,43]			
P3[13.00,0.00,0.00]=1.81	P2[8.00,2.40,0.00]=3.75	P1[0.00,0.00,0.00]=11.92	P5[13.00,24.00,0.00]=22.43	11,80	1,60	[11,52,1,77,0,15]			
P3[13.00,0.00,0.00]=1.80	P2[8.00,2.40,0.00]=3.72	P1[0.00,0.00,0.00]=11.81	null	11,71	1,49	[11,63,1,78,0,16]			
P3[13.00,0.00,0.00]=1.74	P2[8.00,2.40,0.00]=3.83	P1[0.00,0.00,0.00]=11.78	null	11,71	1,29	[11,69,1,71,0,26]			
P3[13.00,0.00,0.00]=1.79	P2[8.00,2.40,0.00]=3.77	P1[0.00,0.00,0.00]=11.67	P4[11.00,11.00,0.00]=8.89	11,52	2,07	[11,75,1,72,0,02]			
P3[13.00,0.00,0.00]=1.69	P2[8.00,2.40,0.00]=3.86	P1[0.00,0.00,0.00]=11.70	P4[11.00,11.00,0.00]=9.00	11,57	1,97	[11,80,1,71,-0,16]			
P2[8.00,2.40,0.00]=3.93	P3[13.00,0.00,0.00]=1.67	P4[11.00,11.00,0.00]=8.68	P1[0.00,0.00,0.00]=11.57	11,43	2,23	[11,83,1,75,-0,07]			
P3[13.00,0.00,0.00]=1.68	P2[8.00,2.40,0.00]=3.91	P1[0.00,0.00,0.00]=11.67	null	11,63	0,96	[11,78,1,55,-0,00]			
P3[13.00,0.00,0.00]=1.65	P2[8.00,2.40,0.00]=3.95	P1[0.00,0.00,0.00]=11.63	null	11,60	0,80	[11,74,1,37,0,08]			
P3[13.00,0.00,0.00]=1.67	P2[8.00,2.40,0.00]=3.92	P1[0.00,0.00,0.00]=11.66	P4[11.00,11.00,0.00]=8.72	11,51	2,21	[11,80,1,49,-0,08]			
P2[8.00,2.40,0.00]=3.90	P3[13.00,0.00,0.00]=1.63	P1[0.00,0.00,0.00]=11.65	null	11,61	0,91	[11,78,1,36,-0,20]			
P3[13.00,0.00,0.00]=1.62	P2[8.00,2.40,0.00]=3.86	P1[0.00,0.00,0.00]=11.65	P4[11.00,11.00,0.00]=8.69	11,49	2,23	[11,84,1,49,-0,18]			
P2[8.00,2.40,0.00]=3.81	P3[13.00,0.00,0.00]=1.83	P4[11.00,11.00,0.00]=8.56	P1[0.00,0.00,0.00]=11.62	11,44	2,36	[11,86,1,62,-0,00]			
P2[8.00,2.40,0.00]=3.84	P3[13.00,0.00,0.00]=1.75	P4[11.00,11.00,0.00]=8.62	P1[0.00,0.00,0.00]=11.67	11,50	2,30	[11,90,1,70,0,13]			
P2[8.00,2.40,0.00]=3.79	P3[13.00,0.00,0.00]=1.75	P4[11.00,11.00,0.00]=8.60	P1[0.00,0.00,0.00]=11.60	11,43	2,31	[11,91,1,76,0,18]			
P2[8.00,2.40,0.00]=3.79	P3[13.00,0.00,0.00]=1.71	P4[11.00,11.00,0.00]=8.67	P1[0.00,0.00,0.00]=11.69	11,52	2,26	[11,93,1,80,0,27]			
P3[13.00,0.00,0.00]=1.69	P2[8.00,2.40,0.00]=3.73	P1[0.00,0.00,0.00]=11.83	P4[11.00,11.00,0.00]=8.68	11,64	2,27	[11,99,1,83,0,04]			
P3[13.00,0.00,0.00]=1.69	P2[8.00,2.40,0.00]=3.81	P1[0.00,0.00,0.00]=11.85	P4[11.00,11.00,0.00]=8.64	11,66	2,31	[12,04,1,86,-0,11]			
P2[8.00,2.40,0.00]=3.83	P3[13.00,0.00,0.00]=1.62	P1[0.00,0.00,0.00]=11.83	null	11,75	1,31	[12,03,1,79,-0,20]			
P3[13.00,0.00,0.00]=1.60	P2[8.00,2.40,0.00]=3.78	P1[0.00,0.00,0.00]=11.82	P4[11.00,11.00,0.00]=8.67	11,63	2,27	[12,07,1,82,-0,21]			
P2[8.00,2.40,0.00]=3.80	P3[13.00,0.00,0.00]=1.58	P4[11.00,11.00,0.00]=8.77	P1[0.00,0.00,0.00]=11.78	11,61	2,18	[12,08,1,82,-0,02]			
P3[13.00,0.00,0.00]=1.62	P2[8.00,2.40,0.00]=3.82	P1[0.00,0.00,0.00]=11.88	P4[11.00,11.00,0.00]=8.78	11,70	2,18	[12,12,1,82,-0,20]			
P2[8.00,2.40,0.00]=3.84	P3[13.00,0.00,0.00]=1.66	P1[0.00,0.00,0.00]=11.89	null	11,80	1,40	[12,10,1,79,-0,23]			
P3[13.00,0.00,0.00]=1.66	P2[8.00,2.40,0.00]=3.82	P1[0.00,0.00,0.00]=11.78	null	11,71	1,26	[12,05,1,70,-0,07]			
P3[13.00,0.00,0.00]=1.68	P2[8.00,2.40,0.00]=3.86	P1[0.00,0.00,0.00]=11.83	null	11,75	1,30	[12,02,1,65,0,04]			
P2[8.00,2.40,0.00]=3.85	P3[13.00,0.00,0.00]=1.70	P4[11.00,11.00,0.00]=8.56	P1[0.00,0.00,0.00]=11.78	11,59	2,37	[12,04,1,74,0,07]			
P3[13.00,0.00,0.00]=1.64	P2[8.00,2.40,0.00]=3.86	P1[0.00,0.00,0.00]=11.77	null	11,71	1,19	[12,00,1,64,0,19]			
P3[13.00,0.00,0.00]=1.65	P2[8.00,2.40,0.00]=3.86	P1[0.00,0.00,0.00]=11.84	null	11,76	1,30	[11,99,1,60,0,23]			
P3[13.00,0.00,0.00]=1.67	P2[8.00,2.40,0.00]=3.81	P1[0.00,0.00,0.00]=11.71	null	11,65	1,17	[11,95,1,53,0,32]			
P3[13.00,0.00,0.00]=1.64	P2[8.00,2.40,0.00]=3.89	P1[0.00,0.00,0.00]=11.70	null	11,65	1,02	[11,89,1,42,0,36]			
P3[13.00,0.00,0.00]=1.71	P2[8.00,2.40,0.00]=3.82	P1[0.00,0.00,0.00]=11.82	null	11,74	1,35	[11,90,1,45,0,35]			
P2[8.00,2.40,0.00]=3.90	P3[13.00,0.00,0.00]=1.72	P4[11.00,11.00,0.00]=8.57	P1[0.00,0.00,0.00]=11.97	11,76	2,38	[12,00,1,60,0,39]			
P2[8.00,2.40,0.00]=3.89	P3[13.00,0.00,0.00]=1.59	P1[0.00,0.00,0.00]=11.92	null	11,84	1,36	[12,02,1,61,0,22]			
P2[8.00,2.40,0.00]=3.90	P3[13.00,0.00,0.00]=1.60	P4[11.00,11.00,0.00]=8.72	P1[0.00,0.00,0.00]=11.85	11,68	2,23	[12,07,1,67,0,29]			
P2[8.00,2.40,0.00]=3.90	P3[13.00,0.00,0.00]=1.62	P4[11.00,11.00,0.00]=8.75	P1[0.00,0.00,0.00]=11.84	11,67	2,20	[12,10,1,72,0,38]			
P3[13.00,0.00,0.00]=1.62	P2[8.00,2.40,0.00]=3.90	P1[0.00,0.00,0.00]=11.83	null	11,76	1,22	[12,06,1,64,0,41]			
P3[13.00,0.00,0.00]=1.64	P2[8.00,2.40,0.00]=3.82	P1[0.00,0.00,0.00]=11.79	P4[11.00,11.00,0.00]=8.88	11,64	2,08	[12,06,1,67,0,23]			
P2[8.00,2.40,0.00]=3.86	P3[13.00,0.00,0.00]=1.56	P1[0.00,0.00,0.00]=11.77	null	11,71	1,15	[12,01,1,58,0,08]			
P3[13.00,0.00,0.00]=1.59	P2[8.00,2.40,0.00]=3.84	P1[0.00,0.00,0.00]=11.82	null	11,75	1,26	[12,01,1,57,0,19]			
P3[13.00,0.00,0.00]=1.58	P2[8.00,2.40,0.00]=3.86	P1[0.00,0.00,0.00]=11.77	null	11,71	1,16	[11,98,1,50,0,26]			
