Anchor/Range	Anchor/Range	Anchor/Range	Anchor/Range	LS_Estimated		Estimated	GTX	GTY	ERRO
P1[0.00,0.00,0.00]=2.67	P2[8.00,2.40,0.00]=5.85	P3[13.00,0.00,0.00]=10.56	P8[5.90,10.00,0.00]=8.95	2,49	1,67	[2,34,1,52,0,43]	2,32	1,40	0,32
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.69	P3[13.00,0.00,0.00]=10.66	P8[5.90,10.00,0.00]=9.18	2,42	1,48	[2,31,1,48,0,46]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.60	P8[5.90,10.00,0.00]=9.22	2,46	1,41	[2,31,1,44,0,46]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.68	P3[13.00,0.00,0.00]=10.55	P8[5.90,10.00,0.00]=9.09	2,51	1,52	[2,30,1,42,0,55]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.54	P8[5.90,10.00,0.00]=8.95	2,52	1,65	[2,29,1,44,0,53]	2,32	1,40	0,32
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.71	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.01	2,43	1,64	[2,27,1,46,0,60]	2,32	1,40	0,26
P1[0.00,0.00,0.00]=2.52	P2[8.00,2.40,0.00]=5.66	P3[13.00,0.00,0.00]=10.58	P8[5.90,10.00,0.00]=9.24	2,48	1,39	[2,28,1,41,0,61]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.53	P2[8.00,2.40,0.00]=5.64	P3[13.00,0.00,0.00]=10.56	P8[5.90,10.00,0.00]=9.13	2,51	1,49	[2,29,1,41,0,53]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.57	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.22	2,49	1,41	[2,29,1,38,0,58]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.62	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.53	P8[5.90,10.00,0.00]=9.04	2,54	1,57	[2,32,1,40,0,53]	2,32	1,40	0,28
P1[0.00,0.00,0.00]=2.53	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.02	2,49	1,60	[2,30,1,42,0,61]	2,32	1,40	0,26
P1[0.00,0.00,0.00]=2.61	P2[8.00,2.40,0.00]=5.63	P3[13.00,0.00,0.00]=10.50	P8[5.90,10.00,0.00]=9.07	2,56	1,52	[2,33,1,42,0,55]	2,32	1,40	0,27
P1[0.00,0.00,0.00]=2.64	P2[8.00,2.40,0.00]=5.55	P3[13.00,0.00,0.00]=10.51	P8[5.90,10.00,0.00]=9.02	2,58	1,58	[2,34,1,44,0,51]	2,32	1,40	0,32
P1[0.00,0.00,0.00]=2.61	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.46	P8[5.90,10.00,0.00]=9.17	2,58	1,41	[2,37,1,40,0,50]	2,32	1,40	0,26
P1[0.00,0.00,0.00]=2.63	P2[8.00,2.40,0.00]=5.62	P3[13.00,0.00,0.00]=10.50	P8[5.90,10.00,0.00]=9.04	2,57	1,55	[2,38,1,42,0,47]	2,32	1,40	0,29
P1[0.00,0.00,0.00]=2.65	P2[8.00,2.40,0.00]=5.56	P3[13.00,0.00,0.00]=10.52	P8[5.90,10.00,0.00]=9.00	2,57	1,60	[2,38,1,44,0,44]	2,32	1,40	0,32
P1[0.00,0.00,0.00]=2.61	P2[8.00,2.40,0.00]=5.64	P3[13.00,0.00,0.00]=10.44	P8[5.90,10.00,0.00]=9.16	2,60	1,41	[2,40,1,41,0,44]	2,32	1,40	0,28
P1[0.00,0.00,0.00]=2.63	P2[8.00,2.40,0.00]=5.64	P3[13.00,0.00,0.00]=10.44	P8[5.90,10.00,0.00]=9.05	2,61	1,52	[2,40,1,40,0,57]	2,32	1,40	0,31
P1[0.00,0.00,0.00]=2.64	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.50	P8[5.90,10.00,0.00]=9.10	2,56	1,50	[2,40,1,40,0,57]	2,32	1,40	0,26
P1[0.00,0.00,0.00]=2.68	P2[8.00,2.40,0.00]=5.62	P3[13.00,0.00,0.00]=10.59	P8[5.90,10.00,0.00]=9.11	2,50	1,53	[2,38,1,41,0,64]	2,32	1,40	0,22
P1[0.00,0.00,0.00]=2.67	P2[8.00,2.40,0.00]=5.59	P8[5.90,10.00,0.00]=9.14	null	2,44	1,53	[2,38,1,41,0,69]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.57	P2[8.00,2.40,0.00]=5.66	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.32	2,43	1,34	[2,35,1,42,0,35]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.51	P2[8.00,2.40,0.00]=5.89	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.44	2,35	1,23	[2,33,1,36,0,36]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=6.02	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.49	2,35	1,16	[2,33,1,29,0,33]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.51	P2[8.00,2.40,0.00]=5.84	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.35	2,45	1,27	[2,33,1,27,0,44]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.91	P3[13.00,0.00,0.00]=10.75	P8[5.90,10.00,0.00]=9.31	2,30	1,39	[2,29,1,28,0,56]	2,32	1,40	0,02
P1[0.00,0.00,0.00]=2.33	P2[8.00,2.40,0.00]=5.84	P3[13.00,0.00,0.00]=10.76	P8[5.90,10.00,0.00]=9.37	2,30	1,33	[2,24,1,26,0,58]	2,32	1,40	0,07
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.80	P3[13.00,0.00,0.00]=10.83	P8[5.90,10.00,0.00]=9.39	2,26	1,34	[2,24,1,26,0,48]	2,32	1,40	0,08
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.75	P8[5.90,10.00,0.00]=9.51	2,32	1,19	[2,25,1,20,0,56]	2,32	1,40	0,21
P1[0.00,0.00,0.00]=2.40	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.77	P8[5.90,10.00,0.00]=9.37	2,31	1,33	[2,22,1,27,0,38]	2,32	1,40	0,07
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.70	P3[13.00,0.00,0.00]=10.81	P8[5.90,10.00,0.00]=9.46	2,29	1,26	[2,24,1,22,0,48]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.40	P2[8.00,2.40,0.00]=6.04	P3[13.00,0.00,0.00]=10.84	P8[5.90,10.00,0.00]=9.53	2,19	1,20	[2,21,1,20,0,51]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.38	P2[8.00,2.40,0.00]=6.43	P3[13.00,0.00,0.00]=10.76	P8[5.90,10.00,0.00]=9.37	2,18	1,32	[2,19,1,21,0,57]	2,32	1,40	0,16
P1[0.00,0.00,0.00]=2.42	P2[8.00,2.40,0.00]=5.89	P3[13.00,0.00,0.00]=11.08	P8[5.90,10.00,0.00]=9.38	2,05	1,46	[2,18,1,24,0,52]	2,32	1,40	0,28
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.74	P3[13.00,0.00,0.00]=10.82	P8[5.90,10.00,0.00]=9.27	2,28	1,46	[2,18,1,25,0,53]	2,32	1,40	0,07
P1[0.00,0.00,0.00]=2.38	P2[8.00,2.40,0.00]=5.94	P3[13.00,0.00,0.00]=10.62	P8[5.90,10.00,0.00]=9.13	2,40	1,50	[2,18,1,28,0,58]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.40	P2[8.00,2.40,0.00]=5.79	P3[13.00,0.00,0.00]=10.62	P8[5.90,10.00,0.00]=9.21	2,43	1,43	[2,19,1,28,0,66]	2,32	1,40	0,11
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.64	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.21	2,50	1,41	[2,22,1,29,0,57]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.57	P2[8.00,2.40,0.00]=5.59	P3[13.00,0.00,0.00]=10.72	P8[5.90,10.00,0.00]=9.16	2,40	1,53	[2,25,1,31,0,57]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.55	P2[8.00,2.40,0.00]=5.64	P3[13.00,0.00,0.00]=10.66	P8[5.90,10.00,0.00]=9.10	2,44	1,56	[2,25,1,35,0,57]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.53	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.04	2,43	1,62	[2,25,1,39,0,52]	2,32	1,40	0,25
P1[0.00,0.00,0.00]=2.52	P2[8.00,2.40,0.00]=5.59	P3[13.00,0.00,0.00]=10.74	P8[5.90,10.00,0.00]=9.19	2,38	1,50	[2,27,1,37,0,50]	2,32	1,40	0,12
P1[0.00,0.00,0.00]=2.57	P2[8.00,2.40,0.00]=5.58	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.18	2,43	1,49	[2,29,1,37,0,52]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.57	P2[8.00,2.40,0.00]=5.56	P3[13.00,0.00,0.00]=10.70	P8[5.90,10.00,0.00]=9.21	2,42	1,47	[2,31,1,35,0,54]	2,32	1,40	0,12
P1[0.00,0.00,0.00]=2.52	P2[8.00,2.40,0.00]=5.60	P3[13.00,0.00,0.00]=10.63	P8[5.90,10.00,0.00]=9.01	2,47	1,63	[2,29,1,38,0,62]	2,32	1,40	0,27
P1[0.00,0.00,0.00]=2.59	P2[8.00,2.40,0.00]=5.61	P3[13.00,0.00,0.00]=10.66	P8[5.90,10.00,0.00]=9.10	2,44	1,56	[2,29,1,40,0,62]	2,32	1,40	0,20
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.62	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.18	2,42	1,49	[2,25,1,46,0,33]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.53	P2[8.00,2.40,0.00]=5.61	P3[13.00,0.00,0.00]=10.78	P8[5.90,10.00,0.00]=9.16	2,35	1,55	[2,27,1,44,0,38]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.54	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.72	P8[5.90,10.00,0.00]=9.12	2,38	1,56	[2,26,1,44,0,44]	2,32	1,40	0,17
P1[0.00,0.00,0.00]=2.51	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.63	P8[5.90,10.00,0.00]=9.04	2,45	1,60	[2,24,1,45,0,56]	2,32	1,40	0,24
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.57	P8[5.90,10.00,0.00]=9.02	2,50	1,60	[2,25,1,45,0,61]	2,32	1,40	0,27
P1[0.00,0.00,0.00]=2.52	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.71	P8[5.90,10.00,0.00]=9.12	2,40	1,56	[2,24,1,45,0,58]	2,32	1,40	0,18
P1[0.00,0.00,0.00]=2.47	P2[8.00,2.40,0.00]=5.63	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.05	2,42	1,61	[2,23,1,45,0,65]	2,32	1,40	0,23
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.57	P3[13.00,0.00,0.00]=10.71	P8[5.90,10.00,0.00]=9.22	2,40	1,46	[2,25,1,39,0,70]	2,32	1,40	0,10
P1[0.00,0.00,0.00]=2.48	P2[8.00,2.40,0.00]=5.63	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.17	2,44	1,48	[2,25,1,39,0,62]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.62	P3[13.00,0.00,0.00]=10.69	P8[5.90,10.00,0.00]=9.16	2,41	1,51	[2,23,1,46,0,32]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.49	P2[8.00,2.40,0.00]=5.69	P3[13.00,0.00,0.00]=10.69	P8[5.90,10.00,0.00]=9.26	2,39	1,41	[2,23,1,42,0,41]	2,32	1,40	0,07
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.64	P8[5.90,10.00,0.00]=9.24	2,44	1,41	[2,24,1,39,0,42]	2,32	1,40	0,12
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.23	2,43	1,43	[2,24,1,37,0,42]	2,32	1,40	0,11
P1[0.00,0.00,0.00]=2.39	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.67	P8[5.90,10.00,0.00]=9.17	2,41	1,49	[2,22,1,36,0,52]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.64	P3[13.00,0.00,0.00]=10.66	P8[5.90,10.00,0.00]=9.11	2,43	1,55	[2,22,1,37,0,61]	2,32	1,40	0,19
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.71	P3[13.00,0.00,0.00]=10.62	P8[5.90,10.00,0.00]=9.17	2,45	1,47	[2,23,1,37,0,53]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.41	P2[8.00,2.40,0.00]=5.72	P3[13.00,0.00,0.00]=10.60	P8[5.90,10.00,0.00]=9.23	2,45	1,40	[2,23,1,34,0,63]	2,32	1,40	0,13
P1[0.00,0.00,0.00]=2.44	P2[8.00,2.40,0.00]=5.68	P3[13.00,0.00,0.00]=10.68	P8[5.90,10.00,0.00]=9.21	2,40	1,46	[2,22,1,34,0,58]	2,32	1,40	0,10
P1[0.00,0.00,0.00]=2.45	P2[8.00,2.40,0.00]=5.67	P3[13.00,0.00,0.00]=10.69	P8[5.90,10.00,0.00]=9.15	2,40	1,52	[2,22,1,36,0,52]	2,32	1,40	0,14
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.66	P3[13.00,0.00,0.00]=10.70	P8[5.90,10.00,0.00]=9.25	2,39	1,43	[2,20,1,41,0,21]	2,32	1,40	0,08
P1[0.00,0.00,0.00]=2.43	P2[8.00,2.40,0.00]=5.65	P3[13.00,0.00,0.00]=10.60	P8[5.90,10.00,0.00]=9.21	2,47	1,42	[2,21,1,39,0,22]	2,32	1,40	0,15
P1[0.00,0.00,0.00]=2.46	P2[8.00,2.40,0.00]=5.69	P3[13.00,0.00,0.00]=10.65	P8[5.90,10.00,0.00]=9.22	2,42	1,43	[2,22,1,38,0,29]	2,32	1,40	0,10
