Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.79;null;[1.98,9.96,-1.04];19:33:10.010
P8[5.90,10.00,0.00]=3.80;P1[0.00,0.00,0.00]=10.04;P7[2.90,24.00,0.00]=13.90;null;[2.00,9.96,-1.06];19:33:10.110
P8[5.90,10.00,0.00]=3.74;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.94;null;[2.03,9.95,-1.08];19:33:10.210
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.90;null;[2.03,9.95,-1.01];19:33:10.310
P8[5.90,10.00,0.00]=3.77;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.85;null;[2.01,9.96,-0.88];19:33:10.410
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.97;null;[2.01,9.95,-0.92];19:33:10.510
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.91;null;[2.01,9.94,-0.86];19:33:10.610
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.94;null;[2.00,9.94,-0.89];19:33:10.710
P8[5.90,10.00,0.00]=3.77;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.88;null;[1.99,9.94,-0.76];19:33:10.810
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.88;null;[1.99,9.95,-0.71];19:33:10.910
P8[5.90,10.00,0.00]=3.74;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.84;null;[2.01,9.95,-0.86];19:33:11.010
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=10.03;P7[2.90,24.00,0.00]=13.84;null;[2.01,9.96,-0.83];19:33:11.110
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.83;null;[2.01,9.96,-0.96];19:33:11.210
P8[5.90,10.00,0.00]=3.79;P1[0.00,0.00,0.00]=10.04;P7[2.90,24.00,0.00]=13.79;null;[1.99,9.99,-0.82];19:33:11.310
P8[5.90,10.00,0.00]=3.84;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.88;null;[1.96,9.98,-0.72];19:33:11.410
P8[5.90,10.00,0.00]=3.77;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.86;null;[1.96,9.98,-0.68];19:33:11.510
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.87;null;[1.95,9.98,-0.66];19:33:11.610
P8[5.90,10.00,0.00]=3.81;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.88;null;[1.96,9.98,-0.71];19:33:11.711
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.86;null;[1.95,9.98,-0.66];19:33:11.810
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.85;null;[1.95,9.98,-0.65];19:33:11.910
P8[5.90,10.00,0.00]=3.80;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.81;null;[1.97,9.98,-0.81];19:33:12.011
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.91;null;[1.97,9.97,-0.86];19:33:12.110
P8[5.90,10.00,0.00]=3.81;P1[0.00,0.00,0.00]=10.02;P7[2.90,24.00,0.00]=13.94;null;[2.00,9.96,-0.95];19:33:12.210
P8[5.90,10.00,0.00]=3.79;P1[0.00,0.00,0.00]=10.05;P7[2.90,24.00,0.00]=13.86;null;[2.01,9.97,-0.95];19:33:12.310
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.96;null;[2.01,9.95,-0.95];19:33:12.410
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.90;null;[2.00,9.95,-0.92];19:33:12.510
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.91;null;[1.99,9.95,-0.92];19:33:12.610
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.90;null;[1.98,9.95,-0.89];19:33:12.710
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.88;null;[1.97,9.96,-0.78];19:33:12.810
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.86;null;[1.97,9.97,-0.77];19:33:12.910
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.99;null;[2.00,9.95,-0.89];19:33:13.010
P8[5.90,10.00,0.00]=3.81;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.96;null;[2.01,9.94,-0.93];19:33:13.110
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.90;null;[2.02,9.94,-0.94];19:33:13.210
P8[5.90,10.00,0.00]=3.77;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.87;null;[2.00,9.95,-0.81];19:33:13.310
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.83;null;[1.98,9.96,-0.67];19:33:13.410
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.97;null;[1.99,9.95,-0.78];19:33:13.510
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.83;null;[1.99,9.95,-0.94];19:33:13.611
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.89;null;[1.97,9.95,-0.81];19:33:13.710
P8[5.90,10.00,0.00]=3.79;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.91;null;[1.98,9.95,-0.80];19:33:13.810
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.90;null;[1.97,9.95,-0.79];19:33:13.910
P8[5.90,10.00,0.00]=3.79;P1[0.00,0.00,0.00]=9.94;P7[2.90,24.00,0.00]=13.90;null;[1.96,9.95,-0.72];19:33:14.010
P8[5.90,10.00,0.00]=3.80;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.90;null;[1.98,9.95,-0.79];19:33:14.110
P8[5.90,10.00,0.00]=3.79;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.90;null;[1.98,9.95,-0.76];19:33:14.210
P8[5.90,10.00,0.00]=3.83;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.87;null;[1.95,9.96,-0.66];19:33:14.310
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.93;null;[1.96,9.95,-0.74];19:33:14.410
P8[5.90,10.00,0.00]=3.79;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.86;null;[1.98,9.95,-0.90];19:33:14.510
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=10.01;P7[2.90,24.00,0.00]=13.87;null;[1.99,9.95,-0.86];19:33:14.610
P8[5.90,10.00,0.00]=3.80;P1[0.00,0.00,0.00]=9.94;P7[2.90,24.00,0.00]=13.91;null;[1.98,9.95,-0.79];19:33:14.710
P8[5.90,10.00,0.00]=3.80;P1[0.00,0.00,0.00]=9.95;P7[2.90,24.00,0.00]=13.92;null;[1.98,9.95,-0.78];19:33:14.810
P8[5.90,10.00,0.00]=3.77;P1[0.00,0.00,0.00]=9.99;P7[2.90,24.00,0.00]=13.89;null;[1.98,9.95,-0.77];19:33:14.910
P8[5.90,10.00,0.00]=3.77;P1[0.00,0.00,0.00]=9.97;P7[2.90,24.00,0.00]=13.91;null;[1.99,9.95,-0.77];19:33:15.010
P8[5.90,10.00,0.00]=3.74;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.84;null;[1.99,9.96,-0.69];19:33:15.110
P8[5.90,10.00,0.00]=3.73;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.91;null;[2.01,9.95,-0.72];19:33:15.210
P8[5.90,10.00,0.00]=3.80;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.88;null;[2.02,9.95,-0.91];19:33:15.310
P8[5.90,10.00,0.00]=3.76;P1[0.00,0.00,0.00]=9.96;P7[2.90,24.00,0.00]=13.87;null;[2.00,9.95,-0.75];19:33:15.410
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=10.00;P7[2.90,24.00,0.00]=13.95;null;[2.02,9.94,-0.85];19:33:15.510
P8[5.90,10.00,0.00]=3.82;P1[0.00,0.00,0.00]=9.93;P7[2.90,24.00,0.00]=13.92;null;[2.00,9.94,-0.78];19:33:15.610
P8[5.90,10.00,0.00]=3.85;P1[0.00,0.00,0.00]=9.98;P7[2.90,24.00,0.00]=13.82;null;[1.96,9.96,-0.59];19:33:15.710
P8[5.90,10.00,0.00]=3.78;P1[0.00,0.00,0.00]=10.02;P7[2.90,24.00,0.00]=13.81;null;[1.96,9.98,-0.54];19:33:15.810
