Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.88;P8[5.90,10.00,0.00]=9.59;null;[2.26,1.13,0.56];19:07:50.759
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.91;P8[5.90,10.00,0.00]=9.60;null;[2.25,1.13,0.49];19:07:50.759
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.85;P8[5.90,10.00,0.00]=9.51;null;[2.25,1.14,0.55];19:07:50.760
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.84;P8[5.90,10.00,0.00]=9.48;null;[2.24,1.15,0.57];19:07:50.760
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.94;P8[5.90,10.00,0.00]=9.55;null;[2.23,1.16,0.56];19:07:50.761
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.95;P8[5.90,10.00,0.00]=9.56;null;[2.23,1.17,0.56];19:07:50.761
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.87;P8[5.90,10.00,0.00]=9.52;null;[2.22,1.16,0.62];19:07:50.761
P1[0.00,0.00,0.00]=2.60;P2[8.00,2.40,0.00]=5.96;P8[5.90,10.00,0.00]=9.61;null;[2.22,1.16,0.65];19:07:50.762
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.91;P8[5.90,10.00,0.00]=9.52;null;[2.21,1.16,0.70];19:07:50.762
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.84;P8[5.90,10.00,0.00]=9.49;null;[2.21,1.16,0.70];19:07:50.763
P1[0.00,0.00,0.00]=2.48;P2[8.00,2.40,0.00]=5.92;P8[5.90,10.00,0.00]=9.55;null;[2.20,1.16,0.73];19:07:50.763
P1[0.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=5.87;P8[5.90,10.00,0.00]=9.53;null;[2.20,1.15,0.69];19:07:50.763
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.89;P8[5.90,10.00,0.00]=9.56;null;[2.20,1.14,0.69];19:07:50.780
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.89;P8[5.90,10.00,0.00]=9.57;null;[2.21,1.14,0.59];19:07:50.879
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.90;P8[5.90,10.00,0.00]=9.63;null;[2.22,1.13,0.56];19:07:50.980
P1[0.00,0.00,0.00]=2.60;P2[8.00,2.40,0.00]=5.95;P8[5.90,10.00,0.00]=9.53;null;[2.22,1.16,0.57];19:07:51.080
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.88;P8[5.90,10.00,0.00]=9.65;null;[2.24,1.13,0.55];19:07:51.180
