Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P4[11.00,11.00,0.00]=1.01;P9[13.00,16.50,0.00]=5.84;P3[13.00,0.00,0.00]=10.01;null;[12.15,10.33,-0.53];19:37:56.298
P4[11.00,11.00,0.00]=1.04;P9[13.00,16.50,0.00]=5.82;P3[13.00,0.00,0.00]=9.88;null;[12.13,10.33,-0.61];19:37:56.299
P4[11.00,11.00,0.00]=0.96;P9[13.00,16.50,0.00]=5.80;P3[13.00,0.00,0.00]=10.09;null;[12.10,10.35,-0.63];19:37:56.883
P4[11.00,11.00,0.00]=0.98;P9[13.00,16.50,0.00]=5.73;P3[13.00,0.00,0.00]=9.97;null;[12.10,10.36,-0.67];19:37:56.983
P4[11.00,11.00,0.00]=0.98;P9[13.00,16.50,0.00]=5.84;P3[13.00,0.00,0.00]=10.03;null;[12.08,10.36,-0.67];19:37:57.083
P4[11.00,11.00,0.00]=1.02;P9[13.00,16.50,0.00]=5.84;P3[13.00,0.00,0.00]=10.17;null;[12.10,10.38,-0.58];19:37:57.182
P4[11.00,11.00,0.00]=1.00;P9[13.00,16.50,0.00]=5.66;P3[13.00,0.00,0.00]=10.19;null;[12.11,10.42,-0.60];19:37:57.283
P4[11.00,11.00,0.00]=1.01;P9[13.00,16.50,0.00]=5.72;P3[13.00,0.00,0.00]=10.02;null;[12.09,10.42,-0.69];19:37:57.383
P4[11.00,11.00,0.00]=0.97;P9[13.00,16.50,0.00]=5.82;P3[13.00,0.00,0.00]=9.99;null;[12.10,10.40,-0.62];19:37:57.583
P4[11.00,11.00,0.00]=1.01;P9[13.00,16.50,0.00]=5.78;P3[13.00,0.00,0.00]=10.21;null;[12.13,10.42,-0.49];19:37:57.683
P4[11.00,11.00,0.00]=1.02;P9[13.00,16.50,0.00]=5.79;P3[13.00,0.00,0.00]=9.95;null;[12.10,10.41,-0.60];19:37:57.784
P4[11.00,11.00,0.00]=1.05;P9[13.00,16.50,0.00]=5.75;P3[13.00,0.00,0.00]=9.92;null;[12.11,10.39,-0.66];19:37:58.083
P4[11.00,11.00,0.00]=1.04;P9[13.00,16.50,0.00]=5.75;P3[13.00,0.00,0.00]=9.96;null;[12.11,10.39,-0.71];19:37:58.183
P4[11.00,11.00,0.00]=1.00;P9[13.00,16.50,0.00]=5.75;P3[13.00,0.00,0.00]=9.97;null;[12.09,10.39,-0.76];19:37:58.483
P4[11.00,11.00,0.00]=0.96;P9[13.00,16.50,0.00]=5.69;P3[13.00,0.00,0.00]=9.94;null;[12.11,10.39,-0.72];19:37:59.483
P4[11.00,11.00,0.00]=1.00;P9[13.00,16.50,0.00]=5.68;P3[13.00,0.00,0.00]=10.04;null;[12.10,10.41,-0.77];19:37:59.684
P4[11.00,11.00,0.00]=0.97;P9[13.00,16.50,0.00]=5.64;P3[13.00,0.00,0.00]=10.07;null;[12.09,10.43,-0.79];19:37:59.883
P4[11.00,11.00,0.00]=0.94;P9[13.00,16.50,0.00]=5.60;P3[13.00,0.00,0.00]=10.07;null;[12.11,10.45,-0.78];19:38:00.083
