Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P2[8.00,2.40,0.00]=4.29;P3[13.00,0.00,0.00]=1.59;P4[11.00,11.00,0.00]=8.83;P1[0.00,0.00,0.00]=12.30;[12.58,1.94,0.00];19:11:09.213
P2[8.00,2.40,0.00]=4.24;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.75;P1[0.00,0.00,0.00]=12.02;[12.53,1.92,0.14];19:11:09.214
P3[13.00,0.00,0.00]=1.59;P2[8.00,2.40,0.00]=4.21;P1[0.00,0.00,0.00]=12.37;P4[11.00,11.00,0.00]=8.62;[12.57,1.95,0.03];19:11:09.215
P2[8.00,2.40,0.00]=4.27;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.76;P1[0.00,0.00,0.00]=12.35;[12.60,1.94,0.15];19:11:09.216
P2[8.00,2.40,0.00]=4.29;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.80;P1[0.00,0.00,0.00]=12.41;[12.64,1.95,0.00];19:11:09.217
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=4.31;P4[11.00,11.00,0.00]=8.72;null;[12.67,1.96,-0.13];19:11:09.218
P2[8.00,2.40,0.00]=4.22;P3[13.00,0.00,0.00]=1.57;P4[11.00,11.00,0.00]=8.80;P1[0.00,0.00,0.00]=12.29;[12.66,1.94,0.10];19:11:09.218
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=4.25;P1[0.00,0.00,0.00]=12.30;P4[11.00,11.00,0.00]=8.79;[12.65,1.92,-0.10];19:11:09.218
P3[13.00,0.00,0.00]=1.57;P2[8.00,2.40,0.00]=4.24;P1[0.00,0.00,0.00]=12.06;P4[11.00,11.00,0.00]=8.71;[12.59,1.92,-0.21];19:11:09.219
P2[8.00,2.40,0.00]=4.29;P3[13.00,0.00,0.00]=1.50;P4[11.00,11.00,0.00]=8.75;P1[0.00,0.00,0.00]=12.35;[12.61,1.92,-0.03];19:11:09.219
P2[8.00,2.40,0.00]=4.28;P3[13.00,0.00,0.00]=1.57;P4[11.00,11.00,0.00]=8.82;P1[0.00,0.00,0.00]=12.00;[12.55,1.89,0.17];19:11:09.219
P2[8.00,2.40,0.00]=4.23;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.83;P1[0.00,0.00,0.00]=12.00;[12.50,1.87,0.31];19:11:09.337
P2[8.00,2.40,0.00]=4.25;P3[13.00,0.00,0.00]=1.53;P4[11.00,11.00,0.00]=8.69;null;[12.55,1.90,0.31];19:11:09.833
P3[13.00,0.00,0.00]=1.62;P2[8.00,2.40,0.00]=4.23;P1[0.00,0.00,0.00]=12.41;P4[11.00,11.00,0.00]=8.79;[12.57,1.91,0.16];19:11:09.937
