Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P3[13.00,0.00,0.00]=1.58;P2[8.00,2.40,0.00]=4.27;P1[0.00,0.00,0.00]=12.15;P4[11.00,11.00,0.00]=8.68;[12.55,1.92,-0.00];19:11:10.035
P2[8.00,2.40,0.00]=4.24;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.75;P1[0.00,0.00,0.00]=12.36;[12.57,1.92,-0.05];19:11:10.437
P2[8.00,2.40,0.00]=4.31;P3[13.00,0.00,0.00]=1.48;P4[11.00,11.00,0.00]=8.73;P1[0.00,0.00,0.00]=12.33;[12.60,1.92,0.05];19:11:10.636
P2[8.00,2.40,0.00]=4.27;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.78;P1[0.00,0.00,0.00]=12.36;[12.62,1.92,0.21];19:11:10.936
P3[13.00,0.00,0.00]=1.57;P2[8.00,2.40,0.00]=4.23;P1[0.00,0.00,0.00]=12.38;P4[11.00,11.00,0.00]=8.71;[12.64,1.95,0.18];19:11:11.037
P3[13.00,0.00,0.00]=1.56;P2[8.00,2.40,0.00]=4.33;P1[0.00,0.00,0.00]=12.44;P4[11.00,11.00,0.00]=8.74;[12.68,1.95,-0.02];19:11:11.137
P2[8.00,2.40,0.00]=4.30;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.85;P1[0.00,0.00,0.00]=12.41;[12.67,1.94,0.04];19:11:11.336
P3[13.00,0.00,0.00]=1.54;P2[8.00,2.40,0.00]=4.37;P1[0.00,0.00,0.00]=12.41;null;[12.63,1.87,0.08];19:11:11.432
P3[13.00,0.00,0.00]=1.52;P2[8.00,2.40,0.00]=4.23;P1[0.00,0.00,0.00]=12.38;P4[11.00,11.00,0.00]=8.86;[12.63,1.87,0.05];19:11:11.536
P3[13.00,0.00,0.00]=1.62;P2[8.00,2.40,0.00]=4.23;P4[11.00,11.00,0.00]=8.67;null;[12.64,1.90,-0.12];19:11:11.632
P2[8.00,2.40,0.00]=4.26;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.73;null;[12.66,1.92,0.05];19:11:11.832
P2[8.00,2.40,0.00]=4.08;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.70;P1[0.00,0.00,0.00]=12.08;[12.60,1.91,0.10];19:11:12.036
P3[13.00,0.00,0.00]=1.51;P2[8.00,2.40,0.00]=4.02;P1[0.00,0.00,0.00]=12.19;P4[11.00,11.00,0.00]=8.69;[12.57,1.92,0.03];19:11:12.137
P3[13.00,0.00,0.00]=1.54;P2[8.00,2.40,0.00]=4.07;P1[0.00,0.00,0.00]=12.30;P4[11.00,11.00,0.00]=8.76;[12.56,1.91,-0.13];19:11:12.239
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=4.10;P4[11.00,11.00,0.00]=8.76;null;[12.55,1.91,-0.25];19:11:12.332
P3[13.00,0.00,0.00]=1.51;P2[8.00,2.40,0.00]=4.06;P1[0.00,0.00,0.00]=12.08;P4[11.00,11.00,0.00]=8.75;[12.52,1.90,-0.30];19:11:12.435
P2[8.00,2.40,0.00]=4.09;P3[13.00,0.00,0.00]=1.45;P4[11.00,11.00,0.00]=8.78;P1[0.00,0.00,0.00]=12.13;[12.51,1.88,-0.13];19:11:12.636
P2[8.00,2.40,0.00]=4.08;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.73;null;[12.52,1.89,0.01];19:11:13.331
P2[8.00,2.40,0.00]=4.05;P3[13.00,0.00,0.00]=1.50;P4[11.00,11.00,0.00]=8.69;P1[0.00,0.00,0.00]=12.34;[12.52,1.90,0.02];19:11:13.639
P2[8.00,2.40,0.00]=3.96;P3[13.00,0.00,0.00]=1.52;P4[11.00,11.00,0.00]=8.68;null;[12.50,1.91,0.06];19:11:14.031
P2[8.00,2.40,0.00]=3.99;P3[13.00,0.00,0.00]=1.60;P4[11.00,11.00,0.00]=8.66;null;[12.49,1.93,0.16];19:11:14.431
P2[8.00,2.40,0.00]=3.94;P3[13.00,0.00,0.00]=1.57;P4[11.00,11.00,0.00]=8.67;null;[12.46,1.93,0.22];19:11:15.931
P2[8.00,2.40,0.00]=3.95;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.71;null;[12.45,1.92,0.28];19:11:17.730
P2[8.00,2.40,0.00]=3.98;P3[13.00,0.00,0.00]=1.53;P4[11.00,11.00,0.00]=8.67;null;[12.45,1.93,0.24];19:11:18.030
P2[8.00,2.40,0.00]=4.01;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.69;P1[0.00,0.00,0.00]=12.28;[12.46,1.93,0.22];19:11:18.538
P3[13.00,0.00,0.00]=1.57;P2[8.00,2.40,0.00]=3.95;P1[0.00,0.00,0.00]=12.22;P4[11.00,11.00,0.00]=8.68;[12.45,1.93,0.06];19:11:18.637
P2[8.00,2.40,0.00]=3.98;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.74;P1[0.00,0.00,0.00]=12.38;[12.44,1.92,0.15];19:11:18.938
P3[13.00,0.00,0.00]=1.49;P2[8.00,2.40,0.00]=3.96;P1[0.00,0.00,0.00]=12.36;P4[11.00,11.00,0.00]=8.70;[12.44,1.92,0.11];19:11:19.037
P2[8.00,2.40,0.00]=4.03;P3[13.00,0.00,0.00]=1.49;P4[11.00,11.00,0.00]=8.73;null;[12.45,1.91,0.16];19:11:20.129
P2[8.00,2.40,0.00]=4.06;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.74;P1[0.00,0.00,0.00]=12.37;[12.47,1.91,0.24];19:11:20.437
P3[13.00,0.00,0.00]=1.54;P2[8.00,2.40,0.00]=4.06;P4[11.00,11.00,0.00]=8.72;null;[12.48,1.91,0.05];19:11:20.529
P2[8.00,2.40,0.00]=4.07;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.72;null;[12.49,1.91,0.17];19:11:21.029
P2[8.00,2.40,0.00]=3.99;P3[13.00,0.00,0.00]=1.54;P4[11.00,11.00,0.00]=8.74;null;[12.47,1.91,0.26];19:11:21.429
P2[8.00,2.40,0.00]=3.95;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.69;null;[12.46,1.91,0.28];19:11:21.629
P2[8.00,2.40,0.00]=3.92;P3[13.00,0.00,0.00]=1.56;P4[11.00,11.00,0.00]=8.69;null;[12.44,1.92,0.30];19:11:21.829
P3[13.00,0.00,0.00]=1.59;P2[8.00,2.40,0.00]=3.94;P4[11.00,11.00,0.00]=8.64;null;[12.43,1.93,0.14];19:11:21.928
P2[8.00,2.40,0.00]=4.01;P3[13.00,0.00,0.00]=1.60;P4[11.00,11.00,0.00]=8.66;null;[12.44,1.94,0.22];19:11:22.329
P2[8.00,2.40,0.00]=4.06;P3[13.00,0.00,0.00]=1.56;P4[11.00,11.00,0.00]=8.68;null;[12.46,1.94,0.27];19:11:22.628
P2[8.00,2.40,0.00]=4.04;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.68;null;[12.47,1.95,0.30];19:11:22.829
P2[8.00,2.40,0.00]=4.06;P3[13.00,0.00,0.00]=1.59;P4[11.00,11.00,0.00]=8.66;null;[12.48,1.95,0.34];19:11:23.228
P2[8.00,2.40,0.00]=4.04;P3[13.00,0.00,0.00]=1.57;P4[11.00,11.00,0.00]=8.65;null;[12.49,1.96,0.35];19:11:23.429
P3[13.00,0.00,0.00]=1.56;P2[8.00,2.40,0.00]=4.00;P4[11.00,11.00,0.00]=8.69;null;[12.48,1.96,0.16];19:11:23.528
P2[8.00,2.40,0.00]=4.06;P3[13.00,0.00,0.00]=1.63;P4[11.00,11.00,0.00]=8.69;null;[12.48,1.96,0.28];19:11:23.728
P3[13.00,0.00,0.00]=1.60;P2[8.00,2.40,0.00]=4.02;P4[11.00,11.00,0.00]=8.70;null;[12.48,1.95,0.06];19:11:23.828
P2[8.00,2.40,0.00]=4.00;P3[13.00,0.00,0.00]=1.59;P4[11.00,11.00,0.00]=8.67;null;[12.47,1.95,0.17];19:11:24.328
P2[8.00,2.40,0.00]=4.02;P3[13.00,0.00,0.00]=1.57;P4[11.00,11.00,0.00]=8.67;null;[12.47,1.95,0.23];19:11:24.528
P3[13.00,0.00,0.00]=1.62;P2[8.00,2.40,0.00]=4.04;P4[11.00,11.00,0.00]=8.65;null;[12.48,1.96,0.04];19:11:24.628
P2[8.00,2.40,0.00]=4.00;P3[13.00,0.00,0.00]=1.63;P4[11.00,11.00,0.00]=8.69;null;[12.46,1.96,0.20];19:11:25.228
P3[13.00,0.00,0.00]=1.56;P2[8.00,2.40,0.00]=4.08;P4[11.00,11.00,0.00]=8.67;null;[12.48,1.96,0.06];19:11:25.327
P2[8.00,2.40,0.00]=4.07;P3[13.00,0.00,0.00]=1.62;P4[11.00,11.00,0.00]=8.72;null;[12.49,1.95,0.22];19:11:25.828
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=4.09;P4[11.00,11.00,0.00]=8.71;null;[12.50,1.95,0.04];19:11:25.927
P2[8.00,2.40,0.00]=4.08;P3[13.00,0.00,0.00]=1.48;P4[11.00,11.00,0.00]=8.72;null;[12.51,1.94,0.10];19:11:26.327
P3[13.00,0.00,0.00]=1.54;P2[8.00,2.40,0.00]=4.06;P4[11.00,11.00,0.00]=8.70;null;[12.51,1.94,-0.03];19:11:26.427
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=3.99;P4[11.00,11.00,0.00]=8.74;null;[12.49,1.92,-0.16];19:11:26.527
P2[8.00,2.40,0.00]=4.02;P3[13.00,0.00,0.00]=1.54;P4[11.00,11.00,0.00]=8.69;null;[12.49,1.93,-0.03];19:11:26.927
P2[8.00,2.40,0.00]=4.03;P3[13.00,0.00,0.00]=1.63;P4[11.00,11.00,0.00]=8.69;P1[0.00,0.00,0.00]=12.10;[12.47,1.93,0.13];19:11:27.331
P2[8.00,2.40,0.00]=4.04;P3[13.00,0.00,0.00]=1.62;P4[11.00,11.00,0.00]=8.72;null;[12.47,1.93,0.28];19:11:27.627
P3[13.00,0.00,0.00]=1.57;P2[8.00,2.40,0.00]=4.02;P4[11.00,11.00,0.00]=8.71;null;[12.47,1.93,0.07];19:11:27.727
P2[8.00,2.40,0.00]=4.06;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.72;null;[12.48,1.92,0.15];19:11:28.027
P3[13.00,0.00,0.00]=1.49;P2[8.00,2.40,0.00]=4.05;P4[11.00,11.00,0.00]=8.71;null;[12.49,1.92,0.06];19:11:28.126
P3[13.00,0.00,0.00]=1.60;P2[8.00,2.40,0.00]=4.01;P4[11.00,11.00,0.00]=8.70;null;[12.48,1.92,-0.11];19:11:28.227
P2[8.00,2.40,0.00]=4.02;P3[13.00,0.00,0.00]=1.49;P4[11.00,11.00,0.00]=8.71;null;[12.48,1.92,-0.02];19:11:28.627
P2[8.00,2.40,0.00]=4.05;P3[13.00,0.00,0.00]=1.50;P4[11.00,11.00,0.00]=8.73;null;[12.49,1.92,0.08];19:11:29.826
P2[8.00,2.40,0.00]=4.11;P3[13.00,0.00,0.00]=1.49;P4[11.00,11.00,0.00]=8.70;null;[12.51,1.92,0.11];19:11:30.126
P2[8.00,2.40,0.00]=4.08;P3[13.00,0.00,0.00]=1.48;P4[11.00,11.00,0.00]=8.72;null;[12.52,1.92,0.15];19:11:31.125
P2[8.00,2.40,0.00]=4.08;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.70;null;[12.53,1.93,0.18];19:11:31.326
P2[8.00,2.40,0.00]=4.06;P3[13.00,0.00,0.00]=1.50;P4[11.00,11.00,0.00]=8.71;null;[12.53,1.92,0.21];19:11:31.626
P2[8.00,2.40,0.00]=4.06;P3[13.00,0.00,0.00]=1.49;P4[11.00,11.00,0.00]=8.72;P1[0.00,0.00,0.00]=12.00;[12.49,1.91,0.20];19:11:31.829
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=4.02;P4[11.00,11.00,0.00]=8.64;null;[12.49,1.93,0.12];19:11:31.925
P3[13.00,0.00,0.00]=1.49;P2[8.00,2.40,0.00]=4.01;P1[0.00,0.00,0.00]=12.16;P4[11.00,11.00,0.00]=8.72;[12.49,1.92,0.02];19:11:32.029
P3[13.00,0.00,0.00]=1.51;P2[8.00,2.40,0.00]=4.01;P4[11.00,11.00,0.00]=8.75;null;[12.48,1.91,-0.10];19:11:32.125
P2[8.00,2.40,0.00]=4.03;P3[13.00,0.00,0.00]=1.49;P4[11.00,11.00,0.00]=8.72;P1[0.00,0.00,0.00]=12.08;[12.47,1.91,-0.02];19:11:32.530
P2[8.00,2.40,0.00]=4.04;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.74;null;[12.47,1.90,0.10];19:11:32.924
P2[8.00,2.40,0.00]=4.11;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.68;null;[12.50,1.92,0.17];19:11:33.125
P2[8.00,2.40,0.00]=4.06;P3[13.00,0.00,0.00]=1.56;P4[11.00,11.00,0.00]=8.75;null;[12.50,1.91,0.29];19:11:33.524
P2[8.00,2.40,0.00]=4.06;P3[13.00,0.00,0.00]=1.48;P4[11.00,11.00,0.00]=8.76;null;[12.50,1.90,0.31];19:11:33.925
P2[8.00,2.40,0.00]=4.01;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.70;null;[12.50,1.91,0.29];19:11:34.524
P2[8.00,2.40,0.00]=4.03;P3[13.00,0.00,0.00]=1.54;P4[11.00,11.00,0.00]=8.76;null;[12.49,1.90,0.37];19:11:35.824
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=4.08;P4[11.00,11.00,0.00]=8.69;null;[12.50,1.91,0.17];19:11:35.923
P3[13.00,0.00,0.00]=1.58;P2[8.00,2.40,0.00]=4.04;P4[11.00,11.00,0.00]=8.70;null;[12.50,1.92,-0.01];19:11:36.024
P3[13.00,0.00,0.00]=1.56;P2[8.00,2.40,0.00]=4.01;P4[11.00,11.00,0.00]=8.72;null;[12.49,1.92,-0.14];19:11:36.124
P2[8.00,2.40,0.00]=4.05;P3[13.00,0.00,0.00]=1.57;P4[11.00,11.00,0.00]=8.71;null;[12.49,1.92,0.04];19:11:37.123
P2[8.00,2.40,0.00]=4.03;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.69;null;[12.49,1.93,0.13];19:11:37.723
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=4.03;P4[11.00,11.00,0.00]=8.69;null;[12.49,1.93,-0.00];19:11:37.823
P2[8.00,2.40,0.00]=4.05;P3[13.00,0.00,0.00]=1.57;P4[11.00,11.00,0.00]=8.78;null;[12.48,1.91,0.17];19:11:38.023
P2[8.00,2.40,0.00]=3.97;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.69;null;[12.47,1.92,0.22];19:11:38.423
P2[8.00,2.40,0.00]=4.00;P3[13.00,0.00,0.00]=1.56;P4[11.00,11.00,0.00]=8.72;P1[0.00,0.00,0.00]=12.29;[12.46,1.92,0.31];19:11:38.931
P2[8.00,2.40,0.00]=4.03;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.76;P1[0.00,0.00,0.00]=12.38;[12.46,1.91,0.35];19:11:39.731
P3[13.00,0.00,0.00]=1.46;P2[8.00,2.40,0.00]=3.98;P1[0.00,0.00,0.00]=12.31;P4[11.00,11.00,0.00]=8.76;[12.46,1.89,0.20];19:11:39.830
P3[13.00,0.00,0.00]=1.49;P2[8.00,2.40,0.00]=3.96;P1[0.00,0.00,0.00]=12.37;P4[11.00,11.00,0.00]=8.74;[12.45,1.89,0.07];19:11:39.930
P2[8.00,2.40,0.00]=4.01;P3[13.00,0.00,0.00]=1.49;P4[11.00,11.00,0.00]=8.72;P1[0.00,0.00,0.00]=12.05;[12.44,1.89,0.11];19:11:40.327
P2[8.00,2.40,0.00]=4.00;P3[13.00,0.00,0.00]=1.56;P4[11.00,11.00,0.00]=8.69;null;[12.44,1.90,0.19];19:11:40.622
P2[8.00,2.40,0.00]=4.02;P3[13.00,0.00,0.00]=1.48;P4[11.00,11.00,0.00]=8.71;P1[0.00,0.00,0.00]=12.26;[12.46,1.90,0.18];19:11:41.130
