Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P8[5.90,10.00,0.00]=5.07;P7[2.90,24.00,0.00]=10.67;P1[0.00,0.00,0.00]=13.30;null;[1.87,13.33,0.79];19:24:01.579
P8[5.90,10.00,0.00]=5.11;P7[2.90,24.00,0.00]=10.68;P1[0.00,0.00,0.00]=13.29;null;[1.89,13.31,0.96];19:24:01.580
P8[5.90,10.00,0.00]=5.04;P7[2.90,24.00,0.00]=10.53;P1[0.00,0.00,0.00]=13.34;null;[1.92,13.32,0.96];19:24:01.581
P8[5.90,10.00,0.00]=4.99;P7[2.90,24.00,0.00]=10.57;P1[0.00,0.00,0.00]=13.41;null;[1.99,13.33,1.09];19:24:01.581
P8[5.90,10.00,0.00]=5.04;P7[2.90,24.00,0.00]=10.62;P1[0.00,0.00,0.00]=13.33;null;[2.01,13.32,1.16];19:24:01.581
P8[5.90,10.00,0.00]=5.08;P7[2.90,24.00,0.00]=10.56;P1[0.00,0.00,0.00]=13.35;null;[2.01,13.33,1.16];19:24:01.582
P8[5.90,10.00,0.00]=5.10;P7[2.90,24.00,0.00]=10.55;P1[0.00,0.00,0.00]=13.36;null;[2.00,13.34,1.17];19:24:01.582
P8[5.90,10.00,0.00]=5.09;P7[2.90,24.00,0.00]=10.55;P1[0.00,0.00,0.00]=13.35;null;[2.00,13.34,1.17];19:24:01.583
P8[5.90,10.00,0.00]=5.08;P7[2.90,24.00,0.00]=10.62;P1[0.00,0.00,0.00]=13.35;null;[2.01,13.33,1.24];19:24:01.583
P8[5.90,10.00,0.00]=5.08;P7[2.90,24.00,0.00]=10.58;P1[0.00,0.00,0.00]=13.38;null;[2.03,13.34,1.29];19:24:01.583
P8[5.90,10.00,0.00]=5.10;P7[2.90,24.00,0.00]=10.57;P1[0.00,0.00,0.00]=13.33;null;[2.01,13.34,1.26];19:24:01.583
P8[5.90,10.00,0.00]=5.07;P7[2.90,24.00,0.00]=10.60;P1[0.00,0.00,0.00]=13.35;null;[2.02,13.33,1.29];19:24:01.583
