Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P3[13.00,0.00,0.00]=6.87;P1[0.00,0.00,0.00]=6.33;P2[8.00,2.40,0.00]=2.31;null;[6.04,1.01,0.43];19:09:24.822
P3[13.00,0.00,0.00]=7.02;P1[0.00,0.00,0.00]=6.16;P2[8.00,2.40,0.00]=2.35;null;[6.04,1.03,0.28];19:09:25.125
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.04;P3[13.00,0.00,0.00]=7.27;null;[6.00,1.22,0.30];19:09:25.325
P2[8.00,2.40,0.00]=2.20;P1[0.00,0.00,0.00]=6.12;P3[13.00,0.00,0.00]=6.96;null;[6.02,1.23,0.36];19:09:25.425
P2[8.00,2.40,0.00]=2.28;P1[0.00,0.00,0.00]=5.98;P8[5.90,10.00,0.00]=8.79;null;[6.03,1.18,0.09];19:09:25.526
P2[8.00,2.40,0.00]=2.25;P1[0.00,0.00,0.00]=5.85;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.71;[6.00,1.18,0.18];19:09:25.629
P2[8.00,2.40,0.00]=2.27;P1[0.00,0.00,0.00]=5.82;P3[13.00,0.00,0.00]=7.10;P8[5.90,10.00,0.00]=8.64;[5.96,1.22,0.27];19:09:25.729
P2[8.00,2.40,0.00]=2.26;P1[0.00,0.00,0.00]=5.97;P8[5.90,10.00,0.00]=8.68;null;[5.98,1.20,0.02];19:09:25.825
P2[8.00,2.40,0.00]=2.29;P1[0.00,0.00,0.00]=6.02;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.71;[5.98,1.22,0.15];19:09:25.928
P2[8.00,2.40,0.00]=2.23;P1[0.00,0.00,0.00]=6.22;P3[13.00,0.00,0.00]=7.17;P8[5.90,10.00,0.00]=8.80;[6.03,1.20,-0.07];19:09:26.030
P2[8.00,2.40,0.00]=2.22;P1[0.00,0.00,0.00]=5.97;P3[13.00,0.00,0.00]=7.08;P8[5.90,10.00,0.00]=8.82;[6.04,1.15,-0.15];19:09:26.130
P2[8.00,2.40,0.00]=2.31;P1[0.00,0.00,0.00]=6.28;P3[13.00,0.00,0.00]=6.96;P8[5.90,10.00,0.00]=8.76;[6.06,1.18,-0.28];19:09:26.227
P2[8.00,2.40,0.00]=2.21;P1[0.00,0.00,0.00]=6.23;P3[13.00,0.00,0.00]=7.10;P8[5.90,10.00,0.00]=8.90;[6.10,1.14,-0.34];19:09:26.330
P2[8.00,2.40,0.00]=2.21;P1[0.00,0.00,0.00]=6.24;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=8.84;[6.13,1.13,-0.41];19:09:26.429
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.26;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.80;[6.15,1.13,-0.47];19:09:26.530
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.01;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.76;[6.14,1.11,-0.42];19:09:26.631
P2[8.00,2.40,0.00]=2.19;P1[0.00,0.00,0.00]=6.21;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.74;[6.13,1.15,-0.26];19:09:26.730
P2[8.00,2.40,0.00]=2.08;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=7.10;P8[5.90,10.00,0.00]=8.70;[6.16,1.17,-0.36];19:09:26.830
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.41;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.73;[6.18,1.20,-0.41];19:09:26.928
P2[8.00,2.40,0.00]=2.07;P1[0.00,0.00,0.00]=6.43;P3[13.00,0.00,0.00]=7.03;P8[5.90,10.00,0.00]=8.88;[6.24,1.17,-0.46];19:09:27.029
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.41;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=8.70;[6.24,1.20,-0.46];19:09:27.129
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.02;P3[13.00,0.00,0.00]=7.02;P8[5.90,10.00,0.00]=8.86;[6.24,1.12,-0.51];19:09:27.230
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.31;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.81;[6.25,1.12,-0.55];19:09:27.329
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.33;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.81;[6.26,1.12,-0.56];19:09:27.429
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=8.70;[6.24,1.17,-0.38];19:09:27.529
P2[8.00,2.40,0.00]=2.17;P1[0.00,0.00,0.00]=6.31;P3[13.00,0.00,0.00]=6.98;P8[5.90,10.00,0.00]=8.74;[6.22,1.19,-0.15];19:09:27.629
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.05;P3[13.00,0.00,0.00]=6.90;P8[5.90,10.00,0.00]=8.68;[6.18,1.23,0.06];19:09:27.728
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.01;P3[13.00,0.00,0.00]=6.92;P8[5.90,10.00,0.00]=8.85;[6.19,1.14,-0.09];19:09:27.830
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.30;P3[13.00,0.00,0.00]=6.89;P8[5.90,10.00,0.00]=8.87;[6.22,1.12,-0.21];19:09:27.929
P2[8.00,2.40,0.00]=2.22;P1[0.00,0.00,0.00]=6.34;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=8.74;[6.21,1.16,-0.02];19:09:28.025
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.30;P3[13.00,0.00,0.00]=6.95;P8[5.90,10.00,0.00]=8.73;[6.20,1.19,-0.00];19:09:28.126
P2[8.00,2.40,0.00]=2.15;P1[0.00,0.00,0.00]=6.37;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.86;[6.21,1.18,-0.06];19:09:28.228
P2[8.00,2.40,0.00]=2.10;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=8.89;[6.24,1.14,-0.14];19:09:28.328
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.31;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.84;[6.25,1.13,-0.25];19:09:28.428
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=5.99;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=8.80;[6.24,1.08,-0.34];19:09:28.529
P2[8.00,2.40,0.00]=2.16;P1[0.00,0.00,0.00]=6.34;P3[13.00,0.00,0.00]=6.94;P8[5.90,10.00,0.00]=8.77;[6.23,1.12,-0.12];19:09:28.628
P2[8.00,2.40,0.00]=2.07;P1[0.00,0.00,0.00]=6.36;P3[13.00,0.00,0.00]=6.99;P8[5.90,10.00,0.00]=8.86;[6.26,1.11,-0.21];19:09:28.728
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.29;P3[13.00,0.00,0.00]=7.00;P8[5.90,10.00,0.00]=8.87;[6.26,1.09,-0.28];19:09:28.828
P2[8.00,2.40,0.00]=2.13;P1[0.00,0.00,0.00]=6.32;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.69;[6.24,1.15,-0.25];19:09:28.928
P2[8.00,2.40,0.00]=2.14;P1[0.00,0.00,0.00]=6.30;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.70;[6.24,1.17,-0.37];19:09:29.028
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.30;P3[13.00,0.00,0.00]=7.07;P8[5.90,10.00,0.00]=8.86;[6.25,1.14,-0.39];19:09:29.127
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.40;P3[13.00,0.00,0.00]=7.09;P8[5.90,10.00,0.00]=8.79;[6.26,1.16,-0.39];19:09:29.227
P2[8.00,2.40,0.00]=2.07;P1[0.00,0.00,0.00]=6.35;P3[13.00,0.00,0.00]=6.97;P8[5.90,10.00,0.00]=8.73;[6.27,1.17,-0.45];19:09:29.328
P2[8.00,2.40,0.00]=2.09;P1[0.00,0.00,0.00]=6.37;P3[13.00,0.00,0.00]=7.09;P8[5.90,10.00,0.00]=8.74;[6.28,1.18,-0.52];19:09:29.427
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.02;P3[13.00,0.00,0.00]=7.04;P8[5.90,10.00,0.00]=8.91;[6.27,1.09,-0.51];19:09:29.529
P2[8.00,2.40,0.00]=2.06;P1[0.00,0.00,0.00]=6.27;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=8.84;[6.30,1.06,-0.54];19:09:29.628
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=5.77;P3[13.00,0.00,0.00]=7.15;P8[5.90,10.00,0.00]=8.83;[6.25,0.99,-0.50];19:09:29.729
P2[8.00,2.40,0.00]=2.09;P1[0.00,0.00,0.00]=6.40;P3[13.00,0.00,0.00]=7.12;P8[5.90,10.00,0.00]=8.84;[6.28,1.02,-0.54];19:09:29.827
P2[8.00,2.40,0.00]=2.09;P1[0.00,0.00,0.00]=6.35;P3[13.00,0.00,0.00]=7.05;P8[5.90,10.00,0.00]=8.88;[6.30,1.02,-0.53];19:09:29.928
P2[8.00,2.40,0.00]=2.11;P1[0.00,0.00,0.00]=6.42;P3[13.00,0.00,0.00]=7.01;P8[5.90,10.00,0.00]=8.82;[6.30,1.07,-0.48];19:09:30.027
P2[8.00,2.40,0.00]=2.12;P1[0.00,0.00,0.00]=6.39;P3[13.00,0.00,0.00]=7.04;P8[5.90,10.00,0.00]=8.82;[6.29,1.10,-0.42];19:09:30.127
P2[8.00,2.40,0.00]=2.04;P1[0.00,0.00,0.00]=6.36;P3[13.00,0.00,0.00]=7.06;P8[5.90,10.00,0.00]=8.91;[6.31,1.08,-0.36];19:09:30.227
