Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.14;P3[13.00,0.00,0.00]=13.61;P5[13.00,24.00,0.00]=10.35;[12.87,13.88,0.59];19:35:10.775
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.17;P3[13.00,0.00,0.00]=13.52;P5[13.00,24.00,0.00]=10.40;[12.91,13.86,0.52];19:35:10.775
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.28;P3[13.00,0.00,0.00]=13.59;P5[13.00,24.00,0.00]=10.41;[12.94,13.86,0.55];19:35:10.776
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.25;P3[13.00,0.00,0.00]=13.63;P5[13.00,24.00,0.00]=10.49;[12.93,13.88,0.60];19:35:10.776
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.13;P3[13.00,0.00,0.00]=13.66;P5[13.00,24.00,0.00]=10.45;[12.85,13.89,0.63];19:35:10.777
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.20;P3[13.00,0.00,0.00]=13.67;P5[13.00,24.00,0.00]=10.45;[12.81,13.90,0.68];19:35:10.777
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.18;P3[13.00,0.00,0.00]=13.63;P5[13.00,24.00,0.00]=10.44;[12.80,13.90,0.70];19:35:10.778
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.66;P5[13.00,24.00,0.00]=10.44;[12.81,13.91,0.72];19:35:10.778
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.24;P3[13.00,0.00,0.00]=13.65;P5[13.00,24.00,0.00]=10.32;[12.82,13.92,0.72];19:35:10.779
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.19;P3[13.00,0.00,0.00]=13.64;P5[13.00,24.00,0.00]=10.37;[12.82,13.92,0.71];19:35:10.785
P9[13.00,16.50,0.00]=2.43;P4[11.00,11.00,0.00]=3.12;P3[13.00,0.00,0.00]=13.63;P5[13.00,24.00,0.00]=10.42;[12.77,13.92,0.72];19:35:10.885
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.22;P3[13.00,0.00,0.00]=13.56;P5[13.00,24.00,0.00]=10.42;[12.83,13.90,0.66];19:35:10.986
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.24;P5[13.00,24.00,0.00]=10.43;P3[13.00,0.00,0.00]=13.59;[12.87,13.89,0.65];19:35:11.185
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.17;P3[13.00,0.00,0.00]=13.59;P5[13.00,24.00,0.00]=10.39;[12.87,13.89,0.62];19:35:11.286
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.20;P3[13.00,0.00,0.00]=13.56;P5[13.00,24.00,0.00]=10.42;[12.90,13.88,0.57];19:35:11.385
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.19;P3[13.00,0.00,0.00]=13.64;P5[13.00,24.00,0.00]=10.50;[12.86,13.89,0.62];19:35:11.485
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.17;P3[13.00,0.00,0.00]=13.54;P5[13.00,24.00,0.00]=10.40;[12.89,13.88,0.52];19:35:11.585
P9[13.00,16.50,0.00]=2.42;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.46;P5[13.00,24.00,0.00]=10.47;[12.95,13.87,0.61];19:35:11.686
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.45;P5[13.00,24.00,0.00]=10.49;[13.01,13.86,0.65];19:35:11.785
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.47;P3[13.00,0.00,0.00]=13.61;[13.01,13.87,0.64];19:35:11.885
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.25;P5[13.00,24.00,0.00]=10.41;P3[13.00,0.00,0.00]=13.56;[13.02,13.86,0.61];19:35:11.986
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.28;P5[13.00,24.00,0.00]=10.47;P3[13.00,0.00,0.00]=13.50;[13.04,13.86,0.70];19:35:12.086
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.25;P5[13.00,24.00,0.00]=10.44;P3[13.00,0.00,0.00]=13.56;[13.04,13.86,0.66];19:35:12.185
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.24;P5[13.00,24.00,0.00]=10.53;P3[13.00,0.00,0.00]=13.58;[13.04,13.86,0.61];19:35:12.285
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.25;P5[13.00,24.00,0.00]=10.43;P3[13.00,0.00,0.00]=13.40;[13.10,13.84,0.57];19:35:12.386
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.46;P3[13.00,0.00,0.00]=13.64;[13.05,13.86,0.63];19:35:12.486
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.24;P5[13.00,24.00,0.00]=10.49;P3[13.00,0.00,0.00]=13.67;[12.99,13.88,0.66];19:35:12.585
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.21;P3[13.00,0.00,0.00]=13.60;P5[13.00,24.00,0.00]=10.50;[12.96,13.89,0.65];19:35:12.685
P9[13.00,16.50,0.00]=2.42;P4[11.00,11.00,0.00]=3.21;P3[13.00,0.00,0.00]=13.51;P5[13.00,24.00,0.00]=10.44;[12.99,13.86,0.58];19:35:12.786
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.20;P3[13.00,0.00,0.00]=13.62;P5[13.00,24.00,0.00]=10.42;[12.95,13.87,0.60];19:35:12.885
P9[13.00,16.50,0.00]=2.42;P4[11.00,11.00,0.00]=3.24;P3[13.00,0.00,0.00]=13.53;P5[13.00,24.00,0.00]=10.39;[12.98,13.86,0.58];19:35:12.985
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.63;P5[13.00,24.00,0.00]=10.47;[12.96,13.87,0.63];19:35:13.085
P9[13.00,16.50,0.00]=2.42;P4[11.00,11.00,0.00]=3.28;P3[13.00,0.00,0.00]=13.61;P5[13.00,24.00,0.00]=10.42;[12.96,13.88,0.66];19:35:13.186
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.23;P3[13.00,0.00,0.00]=13.57;P5[13.00,24.00,0.00]=10.43;[12.97,13.88,0.60];19:35:13.285
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.24;P3[13.00,0.00,0.00]=13.50;P5[13.00,24.00,0.00]=10.43;[12.99,13.87,0.68];19:35:13.386
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.25;P3[13.00,0.00,0.00]=13.59;P5[13.00,24.00,0.00]=10.42;[12.98,13.87,0.68];19:35:13.485
P9[13.00,16.50,0.00]=2.43;P4[11.00,11.00,0.00]=3.25;P3[13.00,0.00,0.00]=13.46;P5[13.00,24.00,0.00]=10.44;[13.02,13.86,0.74];19:35:13.586
P9[13.00,16.50,0.00]=2.42;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.54;P3[13.00,0.00,0.00]=13.60;[13.01,13.87,0.74];19:35:13.685
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.30;P5[13.00,24.00,0.00]=10.50;P3[13.00,0.00,0.00]=13.56;[13.04,13.86,0.69];19:35:13.785
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.26;P5[13.00,24.00,0.00]=10.43;P3[13.00,0.00,0.00]=13.58;[13.03,13.86,0.67];19:35:13.885
P9[13.00,16.50,0.00]=2.43;P4[11.00,11.00,0.00]=3.29;P5[13.00,24.00,0.00]=10.50;P3[13.00,0.00,0.00]=13.60;[13.02,13.87,0.70];19:35:13.985
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.26;P5[13.00,24.00,0.00]=10.42;P3[13.00,0.00,0.00]=13.66;[12.98,13.89,0.72];19:35:14.085
P9[13.00,16.50,0.00]=2.44;P4[11.00,11.00,0.00]=3.27;P3[13.00,0.00,0.00]=13.56;P5[13.00,24.00,0.00]=10.39;[13.00,13.88,0.70];19:35:14.185
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.25;P5[13.00,24.00,0.00]=10.46;P3[13.00,0.00,0.00]=13.58;[13.01,13.87,0.66];19:35:14.285
P9[13.00,16.50,0.00]=2.42;P4[11.00,11.00,0.00]=3.22;P5[13.00,24.00,0.00]=10.50;P3[13.00,0.00,0.00]=13.62;[12.96,13.88,0.69];19:35:14.385
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.28;P3[13.00,0.00,0.00]=13.73;P5[13.00,24.00,0.00]=10.51;[12.94,13.89,0.56];19:35:14.485
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.66;P5[13.00,24.00,0.00]=10.39;[12.92,13.90,0.62];19:35:14.585
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.27;P3[13.00,0.00,0.00]=13.62;P5[13.00,24.00,0.00]=10.51;[12.93,13.90,0.63];19:35:14.685
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.69;P5[13.00,24.00,0.00]=10.52;[12.89,13.92,0.70];19:35:14.785
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.28;P3[13.00,0.00,0.00]=13.66;P5[13.00,24.00,0.00]=10.44;[12.89,13.92,0.73];19:35:14.885
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.24;P3[13.00,0.00,0.00]=13.62;P5[13.00,24.00,0.00]=10.46;[12.89,13.92,0.73];19:35:14.985
