Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;Estimated;Timestamp
P9[13.00,16.50,0.00]=2.42;P4[11.00,11.00,0.00]=3.22;P3[13.00,0.00,0.00]=13.65;P5[13.00,24.00,0.00]=10.38;[12.86,13.92,0.75];19:35:15.086
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.29;P3[13.00,0.00,0.00]=13.59;P5[13.00,24.00,0.00]=10.50;[12.91,13.91,0.70];19:35:15.185
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.23;P3[13.00,0.00,0.00]=13.61;P5[13.00,24.00,0.00]=10.44;[12.91,13.90,0.70];19:35:15.285
P9[13.00,16.50,0.00]=2.43;P4[11.00,11.00,0.00]=3.24;P3[13.00,0.00,0.00]=13.67;P5[13.00,24.00,0.00]=10.48;[12.87,13.91,0.76];19:35:15.385
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.19;P3[13.00,0.00,0.00]=13.59;P5[13.00,24.00,0.00]=10.47;[12.87,13.91,0.71];19:35:15.485
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.68;P5[13.00,24.00,0.00]=10.47;[12.86,13.92,0.74];19:35:15.585
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.27;P3[13.00,0.00,0.00]=13.61;P5[13.00,24.00,0.00]=10.48;[12.89,13.91,0.73];19:35:15.685
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.24;P3[13.00,0.00,0.00]=13.68;P5[13.00,24.00,0.00]=10.36;[12.85,13.92,0.76];19:35:15.785
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.58;P5[13.00,24.00,0.00]=10.50;[12.90,13.91,0.70];19:35:15.885
P9[13.00,16.50,0.00]=2.43;P4[11.00,11.00,0.00]=3.22;P3[13.00,0.00,0.00]=13.63;P5[13.00,24.00,0.00]=10.50;[12.88,13.91,0.73];19:35:15.985
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.23;P3[13.00,0.00,0.00]=13.54;P5[13.00,24.00,0.00]=10.46;[12.92,13.89,0.62];19:35:16.086
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.62;P5[13.00,24.00,0.00]=10.35;[12.92,13.89,0.65];19:35:16.185
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.23;P3[13.00,0.00,0.00]=13.60;P5[13.00,24.00,0.00]=10.47;[12.92,13.89,0.66];19:35:16.285
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.25;P3[13.00,0.00,0.00]=13.58;P5[13.00,24.00,0.00]=10.41;[12.95,13.88,0.65];19:35:16.385
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.34;P3[13.00,0.00,0.00]=13.52;P5[13.00,24.00,0.00]=10.44;[13.01,13.88,0.72];19:35:16.486
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.31;P5[13.00,24.00,0.00]=10.43;P3[13.00,0.00,0.00]=13.63;[13.00,13.89,0.73];19:35:16.585
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.29;P5[13.00,24.00,0.00]=10.52;P3[13.00,0.00,0.00]=13.54;[13.05,13.88,0.58];19:35:16.685
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.21;P5[13.00,24.00,0.00]=10.46;P3[13.00,0.00,0.00]=13.65;[12.99,13.89,0.61];19:35:16.785
P9[13.00,16.50,0.00]=2.44;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.60;P5[13.00,24.00,0.00]=10.42;[12.98,13.89,0.65];19:35:16.884
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.27;P3[13.00,0.00,0.00]=13.67;P5[13.00,24.00,0.00]=10.44;[12.95,13.90,0.69];19:35:16.985
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.31;P3[13.00,0.00,0.00]=13.47;P5[13.00,24.00,0.00]=10.29;[13.02,13.89,0.72];19:35:17.086
P9[13.00,16.50,0.00]=2.39;P4[11.00,11.00,0.00]=3.33;P5[13.00,24.00,0.00]=10.80;P3[13.00,0.00,0.00]=13.61;[13.03,13.89,0.71];19:35:17.185
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.40;P3[13.00,0.00,0.00]=13.53;[13.07,13.87,0.55];19:35:17.285
P9[13.00,16.50,0.00]=2.42;P4[11.00,11.00,0.00]=3.26;P5[13.00,24.00,0.00]=10.42;P3[13.00,0.00,0.00]=13.74;[13.00,13.89,0.52];19:35:17.385
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.26;P5[13.00,24.00,0.00]=10.44;P3[13.00,0.00,0.00]=13.47;[13.04,13.88,0.59];19:35:17.486
P9[13.00,16.50,0.00]=2.43;P4[11.00,11.00,0.00]=3.28;P5[13.00,24.00,0.00]=10.41;P3[13.00,0.00,0.00]=13.75;[12.98,13.89,0.58];19:35:17.584
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.27;P3[13.00,0.00,0.00]=13.58;P5[13.00,24.00,0.00]=10.43;[13.00,13.88,0.59];19:35:17.685
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.25;P3[13.00,0.00,0.00]=13.59;P5[13.00,24.00,0.00]=10.35;[13.00,13.89,0.57];19:35:17.785
P9[13.00,16.50,0.00]=2.42;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.44;P5[13.00,24.00,0.00]=10.43;[13.05,13.87,0.63];19:35:17.886
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.18;P5[13.00,24.00,0.00]=10.54;P3[13.00,0.00,0.00]=13.54;[13.03,13.86,0.55];19:35:17.985
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.25;P5[13.00,24.00,0.00]=10.46;P3[13.00,0.00,0.00]=13.48;[13.06,13.86,0.62];19:35:18.085
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.20;P5[13.00,24.00,0.00]=10.38;P3[13.00,0.00,0.00]=13.60;[13.01,13.87,0.60];19:35:18.185
P9[13.00,16.50,0.00]=2.35;P4[11.00,11.00,0.00]=3.20;P5[13.00,24.00,0.00]=10.40;P3[13.00,0.00,0.00]=13.54;[12.99,13.88,0.68];19:35:18.285
P9[13.00,16.50,0.00]=2.36;P4[11.00,11.00,0.00]=3.22;P3[13.00,0.00,0.00]=13.63;P5[13.00,24.00,0.00]=10.43;[12.96,13.89,0.67];19:35:18.385
P9[13.00,16.50,0.00]=2.33;P4[11.00,11.00,0.00]=3.23;P3[13.00,0.00,0.00]=13.46;P5[13.00,24.00,0.00]=10.35;[13.01,13.88,0.65];19:35:18.485
P9[13.00,16.50,0.00]=2.35;P4[11.00,11.00,0.00]=3.22;P5[13.00,24.00,0.00]=10.28;P3[13.00,0.00,0.00]=13.73;[12.92,13.91,0.70];19:35:18.586
P9[13.00,16.50,0.00]=2.35;P4[11.00,11.00,0.00]=3.23;P3[13.00,0.00,0.00]=13.58;P5[13.00,24.00,0.00]=10.22;[12.94,13.90,0.62];19:35:18.685
P9[13.00,16.50,0.00]=2.34;P4[11.00,11.00,0.00]=3.28;P3[13.00,0.00,0.00]=13.42;P5[13.00,24.00,0.00]=10.28;[13.05,13.88,0.56];19:35:18.786
P9[13.00,16.50,0.00]=2.35;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.81;P3[13.00,0.00,0.00]=13.41;[13.12,13.86,0.50];19:35:18.885
P9[13.00,16.50,0.00]=2.34;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.39;P3[13.00,0.00,0.00]=13.77;[13.04,13.88,0.39];19:35:18.984
P9[13.00,16.50,0.00]=2.36;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.38;P3[13.00,0.00,0.00]=13.70;[12.99,13.91,0.49];19:35:19.084
P9[13.00,16.50,0.00]=2.33;P4[11.00,11.00,0.00]=3.23;P3[13.00,0.00,0.00]=14.05;P5[13.00,24.00,0.00]=10.49;[12.76,13.98,0.51];19:35:19.184
P9[13.00,16.50,0.00]=2.34;P4[11.00,11.00,0.00]=3.25;P3[13.00,0.00,0.00]=14.01;P5[13.00,24.00,0.00]=10.45;[12.62,14.03,0.54];19:35:19.285
P9[13.00,16.50,0.00]=2.33;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=14.03;P5[13.00,24.00,0.00]=10.48;[12.51,14.07,0.56];19:35:19.385
P9[13.00,16.50,0.00]=2.33;P4[11.00,11.00,0.00]=3.29;P3[13.00,0.00,0.00]=13.97;P5[13.00,24.00,0.00]=10.45;[12.47,14.09,0.59];19:35:19.484
P9[13.00,16.50,0.00]=2.36;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.96;P5[13.00,24.00,0.00]=10.77;[12.44,14.10,0.61];19:35:19.585
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.24;P3[13.00,0.00,0.00]=14.03;P5[13.00,24.00,0.00]=10.45;[12.35,14.12,0.63];19:35:19.685
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.22;P3[13.00,0.00,0.00]=14.04;P5[13.00,24.00,0.00]=10.50;[12.27,14.14,0.63];19:35:19.784
P9[13.00,16.50,0.00]=2.35;P4[11.00,11.00,0.00]=3.16;P3[13.00,0.00,0.00]=14.12;P5[13.00,24.00,0.00]=10.50;[12.15,14.17,0.51];19:35:19.884
P9[13.00,16.50,0.00]=2.35;P4[11.00,11.00,0.00]=3.25;P3[13.00,0.00,0.00]=14.03;P5[13.00,24.00,0.00]=10.43;[12.15,14.17,0.54];19:35:19.985
P9[13.00,16.50,0.00]=2.36;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.99;P5[13.00,24.00,0.00]=10.57;[12.17,14.17,0.58];19:35:20.085
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.26;P3[13.00,0.00,0.00]=13.98;P5[13.00,24.00,0.00]=10.74;[12.19,14.16,0.63];19:35:20.184
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.23;P3[13.00,0.00,0.00]=13.56;P5[13.00,24.00,0.00]=10.52;[12.40,14.08,0.57];19:35:20.285
P9[13.00,16.50,0.00]=2.43;P4[11.00,11.00,0.00]=3.29;P3[13.00,0.00,0.00]=13.59;P5[13.00,24.00,0.00]=10.38;[12.56,14.03,0.62];19:35:20.385
P9[13.00,16.50,0.00]=2.44;P4[11.00,11.00,0.00]=3.20;P3[13.00,0.00,0.00]=13.35;P5[13.00,24.00,0.00]=10.76;[12.73,13.96,0.61];19:35:20.484
P4[11.00,11.00,0.00]=3.24;P9[13.00,16.50,0.00]=2.39;P3[13.00,0.00,0.00]=13.26;P5[13.00,24.00,0.00]=10.33;[12.91,13.90,0.28];19:35:21.386
P4[11.00,11.00,0.00]=3.25;P9[13.00,16.50,0.00]=2.45;P3[13.00,0.00,0.00]=13.33;P5[13.00,24.00,0.00]=10.36;[13.03,13.86,0.10];19:35:21.886
P4[11.00,11.00,0.00]=3.26;P9[13.00,16.50,0.00]=2.34;P3[13.00,0.00,0.00]=13.55;P5[13.00,24.00,0.00]=10.42;[13.03,13.87,-0.15];19:35:22.285
P9[13.00,16.50,0.00]=2.38;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.51;P3[13.00,0.00,0.00]=13.23;[13.16,13.83,-0.00];19:35:22.386
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.48;P3[13.00,0.00,0.00]=13.32;[13.21,13.82,0.23];19:35:22.485
P4[11.00,11.00,0.00]=3.29;P9[13.00,16.50,0.00]=2.34;P3[13.00,0.00,0.00]=13.29;P5[13.00,24.00,0.00]=10.27;[13.29,13.81,0.04];19:35:22.986
P4[11.00,11.00,0.00]=3.33;P9[13.00,16.50,0.00]=2.38;P3[13.00,0.00,0.00]=13.30;P5[13.00,24.00,0.00]=10.75;[13.35,13.80,-0.16];19:35:23.285
P9[13.00,16.50,0.00]=2.34;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.40;P3[13.00,0.00,0.00]=13.26;[13.40,13.78,-0.02];19:35:23.386
P4[11.00,11.00,0.00]=3.23;P9[13.00,16.50,0.00]=2.34;P3[13.00,0.00,0.00]=13.27;P5[13.00,24.00,0.00]=10.37;[13.41,13.78,-0.15];19:35:23.786
P4[11.00,11.00,0.00]=3.29;P9[13.00,16.50,0.00]=2.37;P3[13.00,0.00,0.00]=13.31;P5[13.00,24.00,0.00]=10.30;[13.42,13.78,-0.31];19:35:24.386
P4[11.00,11.00,0.00]=3.32;P9[13.00,16.50,0.00]=2.38;P3[13.00,0.00,0.00]=13.30;P5[13.00,24.00,0.00]=10.35;[13.44,13.78,-0.43];19:35:25.486
P9[13.00,16.50,0.00]=2.43;P4[11.00,11.00,0.00]=3.22;P5[13.00,24.00,0.00]=10.31;P3[13.00,0.00,0.00]=13.30;[13.40,13.77,-0.07];19:35:25.586
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.27;P5[13.00,24.00,0.00]=10.41;P3[13.00,0.00,0.00]=13.29;[13.41,13.77,0.14];19:35:25.685
P4[11.00,11.00,0.00]=3.29;P9[13.00,16.50,0.00]=2.37;P3[13.00,0.00,0.00]=13.38;P5[13.00,24.00,0.00]=10.23;[13.41,13.77,0.04];19:35:25.886
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.26;P5[13.00,24.00,0.00]=10.37;P3[13.00,0.00,0.00]=13.38;[13.39,13.77,0.16];19:35:25.986
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.25;P5[13.00,24.00,0.00]=10.45;P3[13.00,0.00,0.00]=13.26;[13.40,13.76,0.32];19:35:26.085
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.25;P5[13.00,24.00,0.00]=10.35;P3[13.00,0.00,0.00]=13.36;[13.40,13.76,0.34];19:35:26.185
P4[11.00,11.00,0.00]=3.31;P9[13.00,16.50,0.00]=2.42;P3[13.00,0.00,0.00]=13.40;P5[13.00,24.00,0.00]=10.43;[13.39,13.76,0.09];19:35:26.386
P4[11.00,11.00,0.00]=3.31;P9[13.00,16.50,0.00]=2.45;P3[13.00,0.00,0.00]=13.38;P5[13.00,24.00,0.00]=10.40;[13.38,13.76,-0.11];19:35:26.585
P9[13.00,16.50,0.00]=2.40;P4[11.00,11.00,0.00]=3.31;P5[13.00,24.00,0.00]=10.36;P3[13.00,0.00,0.00]=13.43;[13.37,13.77,0.09];19:35:26.686
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.31;P5[13.00,24.00,0.00]=10.33;P3[13.00,0.00,0.00]=13.44;[13.35,13.78,0.26];19:35:26.786
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.29;P5[13.00,24.00,0.00]=10.77;P3[13.00,0.00,0.00]=13.42;[13.35,13.79,0.33];19:35:26.885
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.31;P5[13.00,24.00,0.00]=10.40;P3[13.00,0.00,0.00]=13.39;[13.36,13.79,0.39];19:35:26.985
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.30;P5[13.00,24.00,0.00]=10.31;P3[13.00,0.00,0.00]=13.26;[13.41,13.77,0.43];19:35:27.085
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.28;P5[13.00,24.00,0.00]=10.34;P3[13.00,0.00,0.00]=13.31;[13.42,13.78,0.53];19:35:27.185
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=3.31;P5[13.00,24.00,0.00]=10.34;P3[13.00,0.00,0.00]=13.31;[13.43,13.78,0.59];19:35:27.285
P4[11.00,11.00,0.00]=3.29;P9[13.00,16.50,0.00]=2.35;P3[13.00,0.00,0.00]=13.42;P5[13.00,24.00,0.00]=10.36;[13.41,13.79,0.34];19:35:27.585
P9[13.00,16.50,0.00]=2.41;P4[11.00,11.00,0.00]=3.31;P5[13.00,24.00,0.00]=10.39;P3[13.00,0.00,0.00]=13.43;[13.39,13.79,0.44];19:35:27.685
P4[11.00,11.00,0.00]=3.33;P9[13.00,16.50,0.00]=2.41;P3[13.00,0.00,0.00]=13.32;P5[13.00,24.00,0.00]=10.39;[13.41,13.79,0.09];19:35:27.885
P4[11.00,11.00,0.00]=3.35;P9[13.00,16.50,0.00]=2.45;P3[13.00,0.00,0.00]=13.25;P5[13.00,24.00,0.00]=10.69;[13.46,13.77,-0.11];19:35:28.485
P4[11.00,11.00,0.00]=3.34;P9[13.00,16.50,0.00]=2.45;P3[13.00,0.00,0.00]=13.23;P5[13.00,24.00,0.00]=10.76;[13.51,13.75,-0.25];19:35:29.085
