Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated
P2[8.00,2.40,0.00]=2.07;P3[13.00,0.00,0.00]=3.22;P1[0.00,0.00,0.00]=10.02;null;[9.94, 1.27, 0.0]
P2[8.00,2.40,0.00]=2.09;P3[13.00,0.00,0.00]=3.17;P1[0.00,0.00,0.00]=10.13;P4[11.00,11.00,0.00]=9.82;[10.05, 1.23, 0.0]
P2[8.00,2.40,0.00]=2.29;P3[13.00,0.00,0.00]=3.03;P1[0.00,0.00,0.00]=10.27;null;[10.18, 1.33, 0.0]
P2[8.00,2.40,0.00]=2.44;P3[13.00,0.00,0.00]=2.92;P1[0.00,0.00,0.00]=10.34;null;[10.27, 1.24, 0.0]
P2[8.00,2.40,0.00]=2.58;P3[13.00,0.00,0.00]=2.79;P4[11.00,11.00,0.00]=9.55;P1[0.00,0.00,0.00]=10.46;[10.38, 1.46, -0.0]
P2[8.00,2.40,0.00]=2.63;P3[13.00,0.00,0.00]=2.65;P1[0.00,0.00,0.00]=10.58;null;[10.51, 1.23, 0.0]
P2[8.00,2.40,0.00]=2.71;P3[13.00,0.00,0.00]=2.56;P1[0.00,0.00,0.00]=10.86;null;[10.75, 1.5, 0.0]
P2[8.00,2.40,0.00]=2.89;P3[13.00,0.00,0.00]=2.52;P1[0.00,0.00,0.00]=10.95;P9[13.00,16.50,0.00]=14.07;[10.72, 2.57, 0.0]
P2[8.00,2.40,0.00]=3.03;P3[13.00,0.00,0.00]=2.30;P1[0.00,0.00,0.00]=11.13;P9[13.00,16.50,0.00]=14.05;[10.9, 2.56, 0.0]
P2[8.00,2.40,0.00]=3.14;P3[13.00,0.00,0.00]=2.19;P4[11.00,11.00,0.00]=8.52;P1[0.00,0.00,0.00]=11.09;[10.9, 2.37, -0.0]
P3[13.00,0.00,0.00]=2.11;P2[8.00,2.40,0.00]=3.21;P4[11.00,11.00,0.00]=8.51;P1[0.00,0.00,0.00]=11.10;[10.91, 2.38, -0.0]
P2[8.00,2.40,0.00]=3.70;P3[13.00,0.00,0.00]=2.33;P4[11.00,11.00,0.00]=8.53;P1[0.00,0.00,0.00]=11.53;[11.33, 2.41, 0.0]
P2[8.00,2.40,0.00]=4.08;P3[13.00,0.00,0.00]=1.54;P4[11.00,11.00,0.00]=8.71;P1[0.00,0.00,0.00]=11.84;[11.69, 2.23, 0.0]
P3[13.00,0.00,0.00]=1.59;P2[8.00,2.40,0.00]=3.98;P1[0.00,0.00,0.00]=11.87;P9[13.00,16.50,0.00]=14.20;[11.7, 2.33, 0.0]
P3[13.00,0.00,0.00]=1.62;P4[11.00,11.00,0.00]=8.68;P1[0.00,0.00,0.00]=11.76;null;[11.56, 2.26, -0.0]
P2[8.00,2.40,0.00]=4.04;P3[13.00,0.00,0.00]=1.57;P4[11.00,11.00,0.00]=8.72;P1[0.00,0.00,0.00]=11.89;[11.73, 2.23, 0.0]
P2[8.00,2.40,0.00]=4.03;P3[13.00,0.00,0.00]=1.62;P4[11.00,11.00,0.00]=8.71;P1[0.00,0.00,0.00]=11.80;[11.64, 2.23, 0.0]
P3[13.00,0.00,0.00]=1.58;P2[8.00,2.40,0.00]=4.07;P1[0.00,0.00,0.00]=11.86;P9[13.00,16.50,0.00]=14.15;[11.69, 2.37, -0.0]
P3[13.00,0.00,0.00]=1.59;P2[8.00,2.40,0.00]=3.99;P1[0.00,0.00,0.00]=11.85;P9[13.00,16.50,0.00]=14.13;[11.67, 2.39, 0.0]
P3[13.00,0.00,0.00]=1.63;P2[8.00,2.40,0.00]=4.03;P1[0.00,0.00,0.00]=11.87;P9[13.00,16.50,0.00]=14.20;[11.7, 2.33, -0.0]
P3[13.00,0.00,0.00]=1.57;P2[8.00,2.40,0.00]=4.01;P1[0.00,0.00,0.00]=11.95;P9[13.00,16.50,0.00]=14.18;[11.77, 2.34, 0.0]
P3[13.00,0.00,0.00]=1.63;P2[8.00,2.40,0.00]=3.95;P1[0.00,0.00,0.00]=11.93;P9[13.00,16.50,0.00]=14.21;[11.75, 2.31, 0.0]
P2[8.00,2.40,0.00]=4.04;P3[13.00,0.00,0.00]=1.64;P4[11.00,11.00,0.00]=8.70;P1[0.00,0.00,0.00]=11.91;[11.74, 2.25, 0.0]
P2[8.00,2.40,0.00]=4.06;P3[13.00,0.00,0.00]=1.56;P4[11.00,11.00,0.00]=8.71;P1[0.00,0.00,0.00]=11.85;[11.69, 2.23, 0.0]
P3[13.00,0.00,0.00]=1.53;P2[8.00,2.40,0.00]=4.02;P1[0.00,0.00,0.00]=11.89;P9[13.00,16.50,0.00]=14.21;[11.72, 2.31, 0.0]
P2[8.00,2.40,0.00]=4.00;P3[13.00,0.00,0.00]=1.53;P4[11.00,11.00,0.00]=8.73;P1[0.00,0.00,0.00]=11.90;[11.73, 2.22, 0.0]
P3[13.00,0.00,0.00]=1.49;P2[8.00,2.40,0.00]=4.01;P1[0.00,0.00,0.00]=11.86;P9[13.00,16.50,0.00]=14.30;[11.71, 2.23, -0.0]
P2[8.00,2.40,0.00]=3.99;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.73;P1[0.00,0.00,0.00]=11.94;[11.77, 2.23, 0.0]
P3[13.00,0.00,0.00]=1.56;P2[8.00,2.40,0.00]=3.95;P1[0.00,0.00,0.00]=11.85;P9[13.00,16.50,0.00]=14.25;[11.68, 2.28, -0.0]
P2[8.00,2.40,0.00]=3.98;P3[13.00,0.00,0.00]=1.58;P4[11.00,11.00,0.00]=8.70;P1[0.00,0.00,0.00]=11.89;[11.72, 2.25, -0.0]
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=3.95;P1[0.00,0.00,0.00]=11.85;P9[13.00,16.50,0.00]=14.21;[11.68, 2.32, 0.0]
P3[13.00,0.00,0.00]=1.54;P2[8.00,2.40,0.00]=3.96;P1[0.00,0.00,0.00]=11.89;P9[13.00,16.50,0.00]=14.19;[11.71, 2.33, -0.0]
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=3.95;P1[0.00,0.00,0.00]=11.83;P9[13.00,16.50,0.00]=14.27;[11.67, 2.26, 0.0]
P2[8.00,2.40,0.00]=3.99;P3[13.00,0.00,0.00]=1.63;P4[11.00,11.00,0.00]=8.72;P1[0.00,0.00,0.00]=11.77;[11.62, 2.22, -0.0]
P2[8.00,2.40,0.00]=3.96;P3[13.00,0.00,0.00]=1.67;P4[11.00,11.00,0.00]=8.69;P1[0.00,0.00,0.00]=11.70;[11.55, 2.24, 0.0]
P3[13.00,0.00,0.00]=1.59;P2[8.00,2.40,0.00]=3.93;P1[0.00,0.00,0.00]=11.72;P9[13.00,16.50,0.00]=14.27;[11.57, 2.27, -0.0]
P3[13.00,0.00,0.00]=1.63;P2[8.00,2.40,0.00]=3.92;P1[0.00,0.00,0.00]=11.78;P9[13.00,16.50,0.00]=14.23;[11.61, 2.3, 0.0]
P2[8.00,2.40,0.00]=3.96;P3[13.00,0.00,0.00]=1.57;P4[11.00,11.00,0.00]=8.82;P1[0.00,0.00,0.00]=11.85;[11.7, 2.14, -0.0]
P2[8.00,2.40,0.00]=3.97;P3[13.00,0.00,0.00]=1.62;P4[11.00,11.00,0.00]=8.69;P1[0.00,0.00,0.00]=11.76;[11.6, 2.24, 0.0]
P2[8.00,2.40,0.00]=4.00;P3[13.00,0.00,0.00]=1.66;P4[11.00,11.00,0.00]=8.67;P1[0.00,0.00,0.00]=11.75;[11.59, 2.26, 0.0]
P2[8.00,2.40,0.00]=3.95;P3[13.00,0.00,0.00]=1.68;P4[11.00,11.00,0.00]=8.73;P1[0.00,0.00,0.00]=11.82;[11.66, 2.22, 0.0]
P3[13.00,0.00,0.00]=1.63;P2[8.00,2.40,0.00]=3.90;P1[0.00,0.00,0.00]=11.78;P9[13.00,16.50,0.00]=14.26;[11.61, 2.27, 0.0]
P3[13.00,0.00,0.00]=1.62;P2[8.00,2.40,0.00]=3.95;P1[0.00,0.00,0.00]=11.73;P9[13.00,16.50,0.00]=14.26;[11.57, 2.28, -0.0]
P3[13.00,0.00,0.00]=1.67;P2[8.00,2.40,0.00]=3.99;P1[0.00,0.00,0.00]=11.75;P9[13.00,16.50,0.00]=14.22;[11.59, 2.31, 0.0]
P3[13.00,0.00,0.00]=1.71;P2[8.00,2.40,0.00]=3.96;P1[0.00,0.00,0.00]=11.69;P9[13.00,16.50,0.00]=14.19;[11.53, 2.35, 0.0]
P2[8.00,2.40,0.00]=3.97;P3[13.00,0.00,0.00]=1.62;P4[11.00,11.00,0.00]=8.70;P1[0.00,0.00,0.00]=11.69;[11.54, 2.23, -0.0]
P3[13.00,0.00,0.00]=1.62;P2[8.00,2.40,0.00]=3.96;P1[0.00,0.00,0.00]=11.69;P9[13.00,16.50,0.00]=14.22;[11.53, 2.32, 0.0]
P2[8.00,2.40,0.00]=3.97;P3[13.00,0.00,0.00]=1.60;P4[11.00,11.00,0.00]=8.82;P1[0.00,0.00,0.00]=11.63;[11.5, 2.11, 0.0]
P2[8.00,2.40,0.00]=3.98;P3[13.00,0.00,0.00]=1.60;P4[11.00,11.00,0.00]=8.75;P1[0.00,0.00,0.00]=11.70;[11.56, 2.18, -0.0]
P2[8.00,2.40,0.00]=4.02;P3[13.00,0.00,0.00]=1.54;P4[11.00,11.00,0.00]=8.78;P1[0.00,0.00,0.00]=11.77;[11.63, 2.16, -0.0]
P2[8.00,2.40,0.00]=4.04;P3[13.00,0.00,0.00]=1.51;P4[11.00,11.00,0.00]=8.83;P1[0.00,0.00,0.00]=11.80;[11.66, 2.12, 0.0]
P3[13.00,0.00,0.00]=1.48;P2[8.00,2.40,0.00]=3.96;P1[0.00,0.00,0.00]=11.88;P9[13.00,16.50,0.00]=14.32;[11.72, 2.21, -0.0]
P2[8.00,2.40,0.00]=4.04;P3[13.00,0.00,0.00]=1.41;P4[11.00,11.00,0.00]=8.81;P1[0.00,0.00,0.00]=12.01;[11.85, 2.16, -0.0]
P3[13.00,0.00,0.00]=1.44;P2[8.00,2.40,0.00]=4.01;P1[0.00,0.00,0.00]=11.90;P9[13.00,16.50,0.00]=14.26;[11.74, 2.26, 0.0]
P3[13.00,0.00,0.00]=1.51;P2[8.00,2.40,0.00]=4.01;P1[0.00,0.00,0.00]=11.92;P9[13.00,16.50,0.00]=14.22;[11.75, 2.3, -0.0]
P3[13.00,0.00,0.00]=1.51;P2[8.00,2.40,0.00]=4.00;P1[0.00,0.00,0.00]=11.96;P9[13.00,16.50,0.00]=14.28;[11.79, 2.24, 0.0]
P2[8.00,2.40,0.00]=4.01;P3[13.00,0.00,0.00]=1.42;P4[11.00,11.00,0.00]=8.84;P1[0.00,0.00,0.00]=11.90;[11.75, 2.12, 0.0]
P3[13.00,0.00,0.00]=1.48;P2[8.00,2.40,0.00]=4.03;P1[0.00,0.00,0.00]=11.89;P9[13.00,16.50,0.00]=14.27;[11.73, 2.25, -0.0]
P2[8.00,2.40,0.00]=4.00;P3[13.00,0.00,0.00]=1.55;P4[11.00,11.00,0.00]=8.90;P1[0.00,0.00,0.00]=11.99;[11.83, 2.08, 0.0]
P3[13.00,0.00,0.00]=1.50;P2[8.00,2.40,0.00]=4.01;P1[0.00,0.00,0.00]=11.98;P9[13.00,16.50,0.00]=14.23;[11.8, 2.29, 0.0]
P3[13.00,0.00,0.00]=1.53;P2[8.00,2.40,0.00]=4.01;P1[0.00,0.00,0.00]=11.83;P9[13.00,16.50,0.00]=14.27;[11.67, 2.26, 0.0]
P2[8.00,2.40,0.00]=4.00;P3[13.00,0.00,0.00]=1.50;P4[11.00,11.00,0.00]=8.85;P1[0.00,0.00,0.00]=11.89;[11.74, 2.11, -0.0]
P3[13.00,0.00,0.00]=1.51;P2[8.00,2.40,0.00]=4.01;P1[0.00,0.00,0.00]=11.90;P9[13.00,16.50,0.00]=14.33;[11.75, 2.2, 0.0]
P2[8.00,2.40,0.00]=4.00;P3[13.00,0.00,0.00]=1.54;P4[11.00,11.00,0.00]=8.85;P1[0.00,0.00,0.00]=11.78;[11.64, 2.1, 0.0]
P3[13.00,0.00,0.00]=1.56;P2[8.00,2.40,0.00]=4.01;P1[0.00,0.00,0.00]=11.85;P9[13.00,16.50,0.00]=14.33;[11.7, 2.2, -0.0]
P3[13.00,0.00,0.00]=1.55;P2[8.00,2.40,0.00]=4.01;P1[0.00,0.00,0.00]=11.87;P9[13.00,16.50,0.00]=14.29;[11.71, 2.24, 0.0]
P2[8.00,2.40,0.00]=4.02;P3[13.00,0.00,0.00]=1.49;P4[11.00,11.00,0.00]=8.82;P1[0.00,0.00,0.00]=11.81;[11.67, 2.13, -0.0]
P3[13.00,0.00,0.00]=1.51;P2[8.00,2.40,0.00]=4.02;P1[0.00,0.00,0.00]=11.91;P9[13.00,16.50,0.00]=14.31;[11.75, 2.21, 0.0]
P2[8.00,2.40,0.00]=4.02;P3[13.00,0.00,0.00]=1.60;P4[11.00,11.00,0.00]=8.86;P1[0.00,0.00,0.00]=11.75;[11.62, 2.09, 0.0]
P3[13.00,0.00,0.00]=1.57;P2[8.00,2.40,0.00]=3.96;P1[0.00,0.00,0.00]=12.00;P9[13.00,16.50,0.00]=14.19;[11.81, 2.33, 0.0]
P3[13.00,0.00,0.00]=1.54;P2[8.00,2.40,0.00]=3.97;P1[0.00,0.00,0.00]=11.81;P9[13.00,16.50,0.00]=14.22;[11.64, 2.31, 0.0]
P2[8.00,2.40,0.00]=3.98;P3[13.00,0.00,0.00]=1.67;P4[11.00,11.00,0.00]=8.87;P1[0.00,0.00,0.00]=11.76;[11.62, 2.09, -0.0]
P3[13.00,0.00,0.00]=1.63;P2[8.00,2.40,0.00]=3.97;P1[0.00,0.00,0.00]=11.74;P9[13.00,16.50,0.00]=14.28;[11.59, 2.26, 0.0]
P3[13.00,0.00,0.00]=1.71;P2[8.00,2.40,0.00]=3.90;P1[0.00,0.00,0.00]=11.70;P9[13.00,16.50,0.00]=14.15;[11.52, 2.39, 0.0]
P3[13.00,0.00,0.00]=1.76;P2[8.00,2.40,0.00]=3.96;P1[0.00,0.00,0.00]=11.63;P9[13.00,16.50,0.00]=14.20;[11.47, 2.34, 0.0]
P3[13.00,0.00,0.00]=1.80;P2[8.00,2.40,0.00]=3.94;P1[0.00,0.00,0.00]=11.76;P9[13.00,16.50,0.00]=14.10;[11.57, 2.43, -0.0]
P2[8.00,2.40,0.00]=3.76;P3[13.00,0.00,0.00]=2.03;P4[11.00,11.00,0.00]=8.68;P1[0.00,0.00,0.00]=11.85;[11.65, 2.29, -0.0]
P2[8.00,2.40,0.00]=3.80;P3[13.00,0.00,0.00]=2.23;P4[11.00,11.00,0.00]=8.30;P1[0.00,0.00,0.00]=11.57;[11.34, 2.6, 0.0]
P3[13.00,0.00,0.00]=2.37;P2[8.00,2.40,0.00]=3.72;P1[0.00,0.00,0.00]=11.62;P9[13.00,16.50,0.00]=13.53;[11.31, 3.01, -0.0]
P3[13.00,0.00,0.00]=2.38;P2[8.00,2.40,0.00]=3.73;P1[0.00,0.00,0.00]=11.70;P9[13.00,16.50,0.00]=13.67;[11.41, 2.87, 0.0]
P3[13.00,0.00,0.00]=2.44;P2[8.00,2.40,0.00]=3.67;P1[0.00,0.00,0.00]=11.71;P9[13.00,16.50,0.00]=13.46;[11.37, 3.08, -0.0]
P2[8.00,2.40,0.00]=3.73;P3[13.00,0.00,0.00]=2.60;P4[11.00,11.00,0.00]=7.77;P1[0.00,0.00,0.00]=11.78;[11.42, 3.09, -0.0]
P3[13.00,0.00,0.00]=2.72;P2[8.00,2.40,0.00]=3.69;P4[11.00,11.00,0.00]=7.65;P9[13.00,16.50,0.00]=13.29;[11.76, 3.26, 0.0]
P4[11.00,11.00,0.00]=7.29;P2[8.00,2.40,0.00]=3.43;P3[13.00,0.00,0.00]=3.06;P9[13.00,16.50,0.00]=12.78;[11.62, 3.72, 0.0]
P4[11.00,11.00,0.00]=7.80;P2[8.00,2.40,0.00]=3.18;P3[13.00,0.00,0.00]=3.46;P9[13.00,16.50,0.00]=12.46;[11.71, 3.83, 0.0]
P4[11.00,11.00,0.00]=7.99;P2[8.00,2.40,0.00]=2.98;P3[13.00,0.00,0.00]=3.70;P9[13.00,16.50,0.00]=12.57;[11.56, 3.73, -0.0]
P4[11.00,11.00,0.00]=5.72;P9[13.00,16.50,0.00]=11.24;P2[8.00,2.40,0.00]=8.73;P3[13.00,0.00,0.00]=4.53;[15.28, 5.62, 0.0]
P3[13.00,0.00,0.00]=4.54;P4[11.00,11.00,0.00]=5.74;P9[13.00,16.50,0.00]=11.15;null;[12.58, 5.26, 0.0]
P3[13.00,0.00,0.00]=5.14;P4[11.00,11.00,0.00]=5.61;P9[13.00,16.50,0.00]=11.10;null;[12.35, 5.39, 0.0]
P4[11.00,11.00,0.00]=5.39;P9[13.00,16.50,0.00]=10.64;P3[13.00,0.00,0.00]=5.03;P5[13.00,24.00,0.00]=18.89;[12.26, 5.33, 0.0]
P3[13.00,0.00,0.00]=5.16;P4[11.00,11.00,0.00]=5.39;P9[13.00,16.50,0.00]=10.55;null;[12.79, 5.8, 0.0]
P4[11.00,11.00,0.00]=4.59;P9[13.00,16.50,0.00]=9.98;P3[13.00,0.00,0.00]=5.63;P5[13.00,24.00,0.00]=18.22;[12.25, 5.98, 0.0]
P3[13.00,0.00,0.00]=5.81;P4[11.00,11.00,0.00]=4.38;P9[13.00,16.50,0.00]=9.80;null;[12.57, 6.5, 0.0]
P3[13.00,0.00,0.00]=5.95;P4[11.00,11.00,0.00]=4.63;P9[13.00,16.50,0.00]=9.80;null;[12.73, 6.51, 0.0]
P4[11.00,11.00,0.00]=3.45;P9[13.00,16.50,0.00]=8.76;P3[13.00,0.00,0.00]=6.85;P5[13.00,24.00,0.00]=16.86;[12.46, 7.25, 0.0]
P4[11.00,11.00,0.00]=0.81;P8[5.90,10.00,0.00]=6.09;P3[13.00,0.00,0.00]=10.31;P9[13.00,16.50,0.00]=5.72;[12.07, 10.41, 0.0]
P4[11.00,11.00,0.00]=0.82;P8[5.90,10.00,0.00]=6.09;P3[13.00,0.00,0.00]=9.87;P9[13.00,16.50,0.00]=6.09;[12.08, 10.02, 0.0]
P4[11.00,11.00,0.00]=0.83;P3[13.00,0.00,0.00]=9.99;P9[13.00,16.50,0.00]=6.20;P8[5.90,10.00,0.00]=6.23;[12.17, 10.07, 0.0]
P4[11.00,11.00,0.00]=0.90;P9[13.00,16.50,0.00]=6.16;P3[13.00,0.00,0.00]=10.14;P8[5.90,10.00,0.00]=6.35;[12.26, 10.19, 0.0]
P4[11.00,11.00,0.00]=1.01;P9[13.00,16.50,0.00]=5.49;P3[13.00,0.00,0.00]=10.31;P5[13.00,24.00,0.00]=13.78;[12.53, 10.34, 0.0]
P4[11.00,11.00,0.00]=0.81;P9[13.00,16.50,0.00]=5.41;P3[13.00,0.00,0.00]=10.42;P5[13.00,24.00,0.00]=13.76;[12.42, 10.4, 0.0]
P4[11.00,11.00,0.00]=0.78;P9[13.00,16.50,0.00]=5.43;P3[13.00,0.00,0.00]=10.43;P5[13.00,24.00,0.00]=13.77;[12.38, 10.39, -0.0]
P4[11.00,11.00,0.00]=0.81;P9[13.00,16.50,0.00]=5.51;P3[13.00,0.00,0.00]=10.12;P5[13.00,24.00,0.00]=13.85;[12.59, 10.24, -0.0]
P4[11.00,11.00,0.00]=0.85;P9[13.00,16.50,0.00]=5.69;P3[13.00,0.00,0.00]=9.92;P5[13.00,24.00,0.00]=14.36;[12.37, 9.87, -0.0]
P4[11.00,11.00,0.00]=0.88;P9[13.00,16.50,0.00]=5.61;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=13.88;[12.63, 10.17, 0.0]
P4[11.00,11.00,0.00]=0.90;P9[13.00,16.50,0.00]=5.62;P3[13.00,0.00,0.00]=9.99;P5[13.00,24.00,0.00]=13.80;[12.66, 10.22, 0.0]
P4[11.00,11.00,0.00]=0.91;P3[13.00,0.00,0.00]=9.98;P5[13.00,24.00,0.00]=13.91;null;[12.31, 10.06, -0.0]
P4[11.00,11.00,0.00]=0.88;P3[13.00,0.00,0.00]=9.90;P5[13.00,24.00,0.00]=13.89;null;[12.42, 10.04, 0.0]
P4[11.00,11.00,0.00]=0.85;P9[13.00,16.50,0.00]=5.64;P3[13.00,0.00,0.00]=9.96;P5[13.00,24.00,0.00]=13.93;[12.61, 10.13, -0.0]
P4[11.00,11.00,0.00]=0.92;P3[13.00,0.00,0.00]=9.78;P5[13.00,24.00,0.00]=14.06;null;[12.34, 9.89, 0.0]
P4[11.00,11.00,0.00]=0.79;P9[13.00,16.50,0.00]=5.72;P3[13.00,0.00,0.00]=9.89;P5[13.00,24.00,0.00]=13.74;[12.68, 10.21, 0.0]
P4[11.00,11.00,0.00]=1.21;P9[13.00,16.50,0.00]=4.59;P3[13.00,0.00,0.00]=10.98;P5[13.00,24.00,0.00]=12.63;[12.79, 11.26, -0.0]
P4[11.00,11.00,0.00]=2.98;P9[13.00,16.50,0.00]=2.76;P3[13.00,0.00,0.00]=12.90;P5[13.00,24.00,0.00]=10.88;[13.09, 13.02, 0.0]
P4[11.00,11.00,0.00]=3.30;P9[13.00,16.50,0.00]=2.36;P3[13.00,0.00,0.00]=13.30;P5[13.00,24.00,0.00]=10.37;[13.09, 13.45, 0.0]
P4[11.00,11.00,0.00]=3.51;P9[13.00,16.50,0.00]=2.09;P3[13.00,0.00,0.00]=13.53;P5[13.00,24.00,0.00]=10.42;[13.25, 13.57, 0.0]
P4[11.00,11.00,0.00]=3.51;P9[13.00,16.50,0.00]=2.10;P3[13.00,0.00,0.00]=13.52;P5[13.00,24.00,0.00]=10.35;[13.21, 13.59, 0.0]
P4[11.00,11.00,0.00]=3.51;P9[13.00,16.50,0.00]=2.09;P5[13.00,24.00,0.00]=10.35;P3[13.00,0.00,0.00]=13.52;[13.21, 13.59, 0.0]
P4[11.00,11.00,0.00]=3.56;P3[13.00,0.00,0.00]=13.47;P5[13.00,24.00,0.00]=10.34;null;[13.35, 13.54, 0.0]
P4[11.00,11.00,0.00]=3.55;P9[13.00,16.50,0.00]=2.08;P3[13.00,0.00,0.00]=13.53;P5[13.00,24.00,0.00]=10.28;[13.21, 13.62, 0.0]
P4[11.00,11.00,0.00]=3.47;P9[13.00,16.50,0.00]=2.17;P3[13.00,0.00,0.00]=13.52;P5[13.00,24.00,0.00]=10.23;[13.13, 13.63, 0.0]
P4[11.00,11.00,0.00]=3.51;P9[13.00,16.50,0.00]=2.16;P3[13.00,0.00,0.00]=13.46;P5[13.00,24.00,0.00]=10.30;[13.2, 13.57, 0.0]
P4[11.00,11.00,0.00]=3.41;P9[13.00,16.50,0.00]=2.15;P3[13.00,0.00,0.00]=13.47;P5[13.00,24.00,0.00]=10.27;[13.11, 13.59, 0.0]
P4[11.00,11.00,0.00]=3.46;P9[13.00,16.50,0.00]=2.22;P3[13.00,0.00,0.00]=13.47;P5[13.00,24.00,0.00]=10.19;[13.12, 13.61, 0.0]
P4[11.00,11.00,0.00]=3.48;P9[13.00,16.50,0.00]=2.19;P3[13.00,0.00,0.00]=13.47;P5[13.00,24.00,0.00]=10.26;[13.16, 13.59, 0.0]
P4[11.00,11.00,0.00]=3.44;P9[13.00,16.50,0.00]=2.12;P3[13.00,0.00,0.00]=13.51;P5[13.00,24.00,0.00]=10.24;[13.11, 13.62, 0.0]
P4[11.00,11.00,0.00]=3.47;P9[13.00,16.50,0.00]=2.15;P3[13.00,0.00,0.00]=13.49;P5[13.00,24.00,0.00]=10.19;[13.12, 13.63, 0.0]
P4[11.00,11.00,0.00]=3.44;P3[13.00,0.00,0.00]=13.40;P5[13.00,24.00,0.00]=10.24;null;[13.17, 13.54, 0.0]
P9[13.00,16.50,0.00]=2.16;P4[11.00,11.00,0.00]=3.41;P5[13.00,24.00,0.00]=10.33;P3[13.00,0.00,0.00]=13.46;[13.13, 13.56, 0.0]
P4[11.00,11.00,0.00]=3.48;P9[13.00,16.50,0.00]=2.11;P3[13.00,0.00,0.00]=13.49;P5[13.00,24.00,0.00]=10.25;[13.15, 13.61, 0.0]
P9[13.00,16.50,0.00]=2.19;P4[11.00,11.00,0.00]=3.48;P5[13.00,24.00,0.00]=10.33;P3[13.00,0.00,0.00]=13.45;[13.19, 13.55, 0.0]
P4[11.00,11.00,0.00]=3.44;P9[13.00,16.50,0.00]=2.11;P3[13.00,0.00,0.00]=13.47;P5[13.00,24.00,0.00]=10.36;[13.16, 13.56, 0.0]
P9[13.00,16.50,0.00]=2.12;P4[11.00,11.00,0.00]=3.40;P5[13.00,24.00,0.00]=10.32;P3[13.00,0.00,0.00]=13.48;[13.11, 13.58, 0.0]
P4[11.00,11.00,0.00]=3.45;P9[13.00,16.50,0.00]=2.23;P3[13.00,0.00,0.00]=13.41;P5[13.00,24.00,0.00]=10.34;[13.17, 13.53, 0.0]
P4[11.00,11.00,0.00]=3.49;P9[13.00,16.50,0.00]=2.15;P3[13.00,0.00,0.00]=13.46;P5[13.00,24.00,0.00]=10.25;[13.16, 13.59, 0.0]
P4[11.00,11.00,0.00]=3.52;P9[13.00,16.50,0.00]=2.13;P3[13.00,0.00,0.00]=13.52;P5[13.00,24.00,0.00]=10.25;[13.18, 13.63, 0.0]
P4[11.00,11.00,0.00]=3.51;P9[13.00,16.50,0.00]=2.12;P3[13.00,0.00,0.00]=13.51;P5[13.00,24.00,0.00]=10.18;[13.14, 13.64, 0.0]
P4[11.00,11.00,0.00]=3.59;P9[13.00,16.50,0.00]=2.16;P3[13.00,0.00,0.00]=13.52;P5[13.00,24.00,0.00]=10.19;[13.21, 13.65, 0.0]
P4[11.00,11.00,0.00]=3.59;P9[13.00,16.50,0.00]=2.04;P3[13.00,0.00,0.00]=13.64;P5[13.00,24.00,0.00]=10.22;[13.21, 13.71, 0.0]
P4[11.00,11.00,0.00]=3.91;P9[13.00,16.50,0.00]=1.67;P3[13.00,0.00,0.00]=14.00;P5[13.00,24.00,0.00]=9.74;[13.2, 14.1, 0.0]
P9[13.00,16.50,0.00]=1.19;P4[11.00,11.00,0.00]=5.77;P5[13.00,24.00,0.00]=8.15;null;[14.01, 15.92, 0.23]
P9[13.00,16.50,0.00]=1.29;P4[11.00,11.00,0.00]=5.80;P5[13.00,24.00,0.00]=7.89;P3[13.00,0.00,0.00]=15.80;[13.82, 15.87, -0.0]
P4[11.00,11.00,0.00]=6.42;P9[13.00,16.50,0.00]=1.52;P5[13.00,24.00,0.00]=7.52;null;[13.8, 16.63, 1.29]
P9[13.00,16.50,0.00]=1.77;P4[11.00,11.00,0.00]=6.56;P5[13.00,24.00,0.00]=7.62;null;[14.17, 16.59, 1.32]
P9[13.00,16.50,0.00]=1.65;P6[6.70,18.03,0.00]=10.57;P5[13.00,24.00,0.00]=7.34;P4[11.00,11.00,0.00]=6.48;[16.32, 16.42, 0.0]
P9[13.00,16.50,0.00]=2.37;P4[11.00,11.00,0.00]=6.68;P6[6.70,18.03,0.00]=8.73;P5[13.00,24.00,0.00]=7.26;[15.13, 16.73, 0.0]
P9[13.00,16.50,0.00]=2.01;P6[6.70,18.03,0.00]=9.47;P5[13.00,24.00,0.00]=6.70;P4[11.00,11.00,0.00]=6.89;[15.61, 17.04, 0.0]
P9[13.00,16.50,0.00]=2.07;P6[6.70,18.03,0.00]=8.73;P4[11.00,11.00,0.00]=7.03;P5[13.00,24.00,0.00]=6.68;[15.12, 17.2, 0.0]
P9[13.00,16.50,0.00]=1.99;P6[6.70,18.03,0.00]=7.40;P4[11.00,11.00,0.00]=7.20;P5[13.00,24.00,0.00]=6.60;[14.0, 17.52, 1.0]
