Anchor/Range;Anchor/Range;Anchor/Range;Anchor/Range;LS_Estimated
P1[0.00,0.00,0.00]=2.45;P2[8.00,2.40,0.00]=5.63;P3[13.00,0.00,0.00]=10.62;P8[5.90,10.00,0.00]=9.05;[2.47, 1.59, 0.0]
P1[0.00,0.00,0.00]=2.40;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.55;P8[5.90,10.00,0.00]=9.06;[2.54, 1.55, -0.0]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.15;[2.54, 1.46, 0.0]
P1[0.00,0.00,0.00]=2.60;P2[8.00,2.40,0.00]=5.51;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.15;[2.59, 1.44, 0.0]
P1[0.00,0.00,0.00]=2.61;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.49;P8[5.90,10.00,0.00]=9.18;[2.58, 1.42, 0.0]
P1[0.00,0.00,0.00]=2.59;P2[8.00,2.40,0.00]=5.50;P3[13.00,0.00,0.00]=10.42;P8[5.90,10.00,0.00]=9.12;[2.64, 1.45, -0.0]
P1[0.00,0.00,0.00]=2.57;P2[8.00,2.40,0.00]=5.55;P3[13.00,0.00,0.00]=10.48;P8[5.90,10.00,0.00]=9.08;[2.59, 1.51, 0.0]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.53;P3[13.00,0.00,0.00]=10.47;P8[5.90,10.00,0.00]=9.06;[2.6, 1.52, 0.0]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.52;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=8.94;[2.59, 1.65, 0.0]
P1[0.00,0.00,0.00]=2.54;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.18;[2.57, 1.42, -0.0]
P1[0.00,0.00,0.00]=2.49;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.14;null;[2.54, 1.47, 0.0]
P1[0.00,0.00,0.00]=2.50;P2[8.00,2.40,0.00]=5.56;P3[13.00,0.00,0.00]=10.57;P8[5.90,10.00,0.00]=9.14;[2.52, 1.48, 0.0]
P1[0.00,0.00,0.00]=2.43;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=8.97;[2.58, 1.61, 0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.55;P3[13.00,0.00,0.00]=10.51;P8[5.90,10.00,0.00]=8.96;[2.58, 1.63, 0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.50;P3[13.00,0.00,0.00]=10.59;P8[5.90,10.00,0.00]=9.09;[2.52, 1.54, 0.0]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.04;[2.58, 1.55, -0.0]
P1[0.00,0.00,0.00]=2.55;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.61;P8[5.90,10.00,0.00]=9.13;[2.49, 1.51, 0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.03;[2.54, 1.58, 0.0]
P1[0.00,0.00,0.00]=2.51;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.56;P8[5.90,10.00,0.00]=9.07;[2.53, 1.55, 0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.58;P3[13.00,0.00,0.00]=10.61;P8[5.90,10.00,0.00]=9.13;[2.48, 1.51, 0.0]
P1[0.00,0.00,0.00]=2.49;P2[8.00,2.40,0.00]=5.57;P8[5.90,10.00,0.00]=9.05;null;[2.42, 1.63, 0.0]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.53;P3[13.00,0.00,0.00]=10.56;P8[5.90,10.00,0.00]=9.14;[2.53, 1.48, 0.0]
P1[0.00,0.00,0.00]=2.56;P2[8.00,2.40,0.00]=5.53;P3[13.00,0.00,0.00]=10.50;P8[5.90,10.00,0.00]=9.09;[2.58, 1.5, -0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.46;P3[13.00,0.00,0.00]=10.55;P8[5.90,10.00,0.00]=8.98;[2.56, 1.63, 0.0]
P1[0.00,0.00,0.00]=2.53;P2[8.00,2.40,0.00]=5.54;P3[13.00,0.00,0.00]=10.51;P8[5.90,10.00,0.00]=9.20;[2.56, 1.4, 0.0]
P1[0.00,0.00,0.00]=2.52;P2[8.00,2.40,0.00]=5.57;P3[13.00,0.00,0.00]=10.54;P8[5.90,10.00,0.00]=9.09;[2.54, 1.52, 0.0]
